response_id,time,subscale,item,score
R_1F3bzU7bH2MFG8B,before,stress,1,NA
R_1F3bzU7bH2MFG8B,before,anxiety,2,3
R_1F3bzU7bH2MFG8B,before,depression,3,NA
R_1F3bzU7bH2MFG8B,before,anxiety,4,0
R_1F3bzU7bH2MFG8B,before,depression,5,NA
R_1F3bzU7bH2MFG8B,before,stress,6,0
R_1F3bzU7bH2MFG8B,before,anxiety,7,0
R_1F3bzU7bH2MFG8B,before,stress,8,NA
R_1F3bzU7bH2MFG8B,before,anxiety,9,0
R_1F3bzU7bH2MFG8B,before,depression,10,0
R_1F3bzU7bH2MFG8B,before,stress,11,0
R_1F3bzU7bH2MFG8B,before,stress,12,0
R_1F3bzU7bH2MFG8B,before,depression,13,0
R_1F3bzU7bH2MFG8B,before,stress,14,0
R_1F3bzU7bH2MFG8B,before,anxiety,15,0
R_1F3bzU7bH2MFG8B,before,depression,16,0
R_1F3bzU7bH2MFG8B,before,depression,17,0
R_1F3bzU7bH2MFG8B,before,stress,18,0
R_1F3bzU7bH2MFG8B,before,anxiety,19,0
R_1F3bzU7bH2MFG8B,before,anxiety,20,0
R_1F3bzU7bH2MFG8B,before,depression,21,0
R_1F3bzU7bH2MFG8B,after,stress,1,0
R_1F3bzU7bH2MFG8B,after,anxiety,2,0
R_1F3bzU7bH2MFG8B,after,depression,3,0
R_1F3bzU7bH2MFG8B,after,anxiety,4,0
R_1F3bzU7bH2MFG8B,after,depression,5,0
R_1F3bzU7bH2MFG8B,after,stress,6,0
R_1F3bzU7bH2MFG8B,after,anxiety,7,0
R_1F3bzU7bH2MFG8B,after,stress,8,0
R_1F3bzU7bH2MFG8B,after,anxiety,9,0
R_1F3bzU7bH2MFG8B,after,depression,10,0
R_1F3bzU7bH2MFG8B,after,stress,11,0
R_1F3bzU7bH2MFG8B,after,stress,12,0
R_1F3bzU7bH2MFG8B,after,depression,13,0
R_1F3bzU7bH2MFG8B,after,stress,14,0
R_1F3bzU7bH2MFG8B,after,anxiety,15,0
R_1F3bzU7bH2MFG8B,after,depression,16,0
R_1F3bzU7bH2MFG8B,after,depression,17,0
R_1F3bzU7bH2MFG8B,after,stress,18,0
R_1F3bzU7bH2MFG8B,after,anxiety,19,0
R_1F3bzU7bH2MFG8B,after,anxiety,20,0
R_1F3bzU7bH2MFG8B,after,depression,21,0
R_28NVjdZPvV2fLBs,before,stress,1,2
R_28NVjdZPvV2fLBs,before,anxiety,2,3
R_28NVjdZPvV2fLBs,before,depression,3,3
R_28NVjdZPvV2fLBs,before,anxiety,4,1
R_28NVjdZPvV2fLBs,before,depression,5,3
R_28NVjdZPvV2fLBs,before,stress,6,1
R_28NVjdZPvV2fLBs,before,anxiety,7,3
R_28NVjdZPvV2fLBs,before,stress,8,3
R_28NVjdZPvV2fLBs,before,anxiety,9,3
R_28NVjdZPvV2fLBs,before,depression,10,3
R_28NVjdZPvV2fLBs,before,stress,11,3
R_28NVjdZPvV2fLBs,before,stress,12,3
R_28NVjdZPvV2fLBs,before,depression,13,3
R_28NVjdZPvV2fLBs,before,stress,14,3
R_28NVjdZPvV2fLBs,before,anxiety,15,3
R_28NVjdZPvV2fLBs,before,depression,16,3
R_28NVjdZPvV2fLBs,before,depression,17,3
R_28NVjdZPvV2fLBs,before,stress,18,2
R_28NVjdZPvV2fLBs,before,anxiety,19,2
R_28NVjdZPvV2fLBs,before,anxiety,20,0
R_28NVjdZPvV2fLBs,before,depression,21,3
R_28NVjdZPvV2fLBs,after,stress,1,3
R_28NVjdZPvV2fLBs,after,anxiety,2,3
R_28NVjdZPvV2fLBs,after,depression,3,3
R_28NVjdZPvV2fLBs,after,anxiety,4,3
R_28NVjdZPvV2fLBs,after,depression,5,3
R_28NVjdZPvV2fLBs,after,stress,6,3
R_28NVjdZPvV2fLBs,after,anxiety,7,3
R_28NVjdZPvV2fLBs,after,stress,8,3
R_28NVjdZPvV2fLBs,after,anxiety,9,3
R_28NVjdZPvV2fLBs,after,depression,10,3
R_28NVjdZPvV2fLBs,after,stress,11,3
R_28NVjdZPvV2fLBs,after,stress,12,3
R_28NVjdZPvV2fLBs,after,depression,13,3
R_28NVjdZPvV2fLBs,after,stress,14,3
R_28NVjdZPvV2fLBs,after,anxiety,15,3
R_28NVjdZPvV2fLBs,after,depression,16,3
R_28NVjdZPvV2fLBs,after,depression,17,3
R_28NVjdZPvV2fLBs,after,stress,18,3
R_28NVjdZPvV2fLBs,after,anxiety,19,3
R_28NVjdZPvV2fLBs,after,anxiety,20,3
R_28NVjdZPvV2fLBs,after,depression,21,3
R_2rPjSQLcIC8CDty,before,stress,1,1
R_2rPjSQLcIC8CDty,before,anxiety,2,0
R_2rPjSQLcIC8CDty,before,depression,3,1
R_2rPjSQLcIC8CDty,before,anxiety,4,0
R_2rPjSQLcIC8CDty,before,depression,5,2
R_2rPjSQLcIC8CDty,before,stress,6,1
R_2rPjSQLcIC8CDty,before,anxiety,7,0
R_2rPjSQLcIC8CDty,before,stress,8,2
R_2rPjSQLcIC8CDty,before,anxiety,9,2
R_2rPjSQLcIC8CDty,before,depression,10,0
R_2rPjSQLcIC8CDty,before,stress,11,1
R_2rPjSQLcIC8CDty,before,stress,12,1
R_2rPjSQLcIC8CDty,before,depression,13,1
R_2rPjSQLcIC8CDty,before,stress,14,1
R_2rPjSQLcIC8CDty,before,anxiety,15,1
R_2rPjSQLcIC8CDty,before,depression,16,0
R_2rPjSQLcIC8CDty,before,depression,17,0
R_2rPjSQLcIC8CDty,before,stress,18,1
R_2rPjSQLcIC8CDty,before,anxiety,19,1
R_2rPjSQLcIC8CDty,before,anxiety,20,1
R_2rPjSQLcIC8CDty,before,depression,21,0
R_2rPjSQLcIC8CDty,after,stress,1,2
R_2rPjSQLcIC8CDty,after,anxiety,2,1
R_2rPjSQLcIC8CDty,after,depression,3,2
R_2rPjSQLcIC8CDty,after,anxiety,4,2
R_2rPjSQLcIC8CDty,after,depression,5,2
R_2rPjSQLcIC8CDty,after,stress,6,2
R_2rPjSQLcIC8CDty,after,anxiety,7,1
R_2rPjSQLcIC8CDty,after,stress,8,1
R_2rPjSQLcIC8CDty,after,anxiety,9,1
R_2rPjSQLcIC8CDty,after,depression,10,1
R_2rPjSQLcIC8CDty,after,stress,11,2
R_2rPjSQLcIC8CDty,after,stress,12,1
R_2rPjSQLcIC8CDty,after,depression,13,1
R_2rPjSQLcIC8CDty,after,stress,14,1
R_2rPjSQLcIC8CDty,after,anxiety,15,1
R_2rPjSQLcIC8CDty,after,depression,16,1
R_2rPjSQLcIC8CDty,after,depression,17,0
R_2rPjSQLcIC8CDty,after,stress,18,1
R_2rPjSQLcIC8CDty,after,anxiety,19,1
R_2rPjSQLcIC8CDty,after,anxiety,20,1
R_2rPjSQLcIC8CDty,after,depression,21,1
R_upLgg7PndxOE2Vr,before,stress,1,2
R_upLgg7PndxOE2Vr,before,anxiety,2,1
R_upLgg7PndxOE2Vr,before,depression,3,0
R_upLgg7PndxOE2Vr,before,anxiety,4,0
R_upLgg7PndxOE2Vr,before,depression,5,2
R_upLgg7PndxOE2Vr,before,stress,6,0
R_upLgg7PndxOE2Vr,before,anxiety,7,0
R_upLgg7PndxOE2Vr,before,stress,8,0
R_upLgg7PndxOE2Vr,before,anxiety,9,1
R_upLgg7PndxOE2Vr,before,depression,10,0
R_upLgg7PndxOE2Vr,before,stress,11,1
R_upLgg7PndxOE2Vr,before,stress,12,2
R_upLgg7PndxOE2Vr,before,depression,13,1
R_upLgg7PndxOE2Vr,before,stress,14,1
R_upLgg7PndxOE2Vr,before,anxiety,15,0
R_upLgg7PndxOE2Vr,before,depression,16,1
R_upLgg7PndxOE2Vr,before,depression,17,3
R_upLgg7PndxOE2Vr,before,stress,18,1
R_upLgg7PndxOE2Vr,before,anxiety,19,1
R_upLgg7PndxOE2Vr,before,anxiety,20,1
R_upLgg7PndxOE2Vr,before,depression,21,2
R_upLgg7PndxOE2Vr,after,stress,1,3
R_upLgg7PndxOE2Vr,after,anxiety,2,0
R_upLgg7PndxOE2Vr,after,depression,3,0
R_upLgg7PndxOE2Vr,after,anxiety,4,2
R_upLgg7PndxOE2Vr,after,depression,5,1
R_upLgg7PndxOE2Vr,after,stress,6,0
R_upLgg7PndxOE2Vr,after,anxiety,7,0
R_upLgg7PndxOE2Vr,after,stress,8,0
R_upLgg7PndxOE2Vr,after,anxiety,9,0
R_upLgg7PndxOE2Vr,after,depression,10,1
R_upLgg7PndxOE2Vr,after,stress,11,0
R_upLgg7PndxOE2Vr,after,stress,12,0
R_upLgg7PndxOE2Vr,after,depression,13,1
R_upLgg7PndxOE2Vr,after,stress,14,0
R_upLgg7PndxOE2Vr,after,anxiety,15,0
R_upLgg7PndxOE2Vr,after,depression,16,1
R_upLgg7PndxOE2Vr,after,depression,17,1
R_upLgg7PndxOE2Vr,after,stress,18,0
R_upLgg7PndxOE2Vr,after,anxiety,19,1
R_upLgg7PndxOE2Vr,after,anxiety,20,1
