response_id,game,lockdown_period,hours,regularly_play,single_multi
R_28NVjdZPvV2fLBs,1,before,0,yes,NA
R_28NVjdZPvV2fLBs,2,before,1.5,yes,alone
R_28NVjdZPvV2fLBs,3,before,9,yes,multiplayer
R_28NVjdZPvV2fLBs,4,before,3,yes,multiplayer
R_28NVjdZPvV2fLBs,5,before,0,yes,NA
R_28NVjdZPvV2fLBs,6,before,0,yes,NA
R_28NVjdZPvV2fLBs,7,before,1.5,yes,alone
R_28NVjdZPvV2fLBs,8,before,0,yes,NA
R_28NVjdZPvV2fLBs,9,before,0,yes,NA
R_28NVjdZPvV2fLBs,1,during,0,yes,NA
R_28NVjdZPvV2fLBs,2,during,0,yes,NA
R_28NVjdZPvV2fLBs,3,during,27,yes,multiplayer
R_28NVjdZPvV2fLBs,4,during,9,yes,multiplayer
R_28NVjdZPvV2fLBs,5,during,0,yes,NA
R_28NVjdZPvV2fLBs,6,during,0,yes,NA
R_28NVjdZPvV2fLBs,7,during,9,yes,alone
R_28NVjdZPvV2fLBs,8,during,0,yes,NA
R_28NVjdZPvV2fLBs,9,during,0,yes,NA
R_2rPjSQLcIC8CDty,1,before,0,yes,NA
R_2rPjSQLcIC8CDty,2,before,0.75,yes,alone
R_2rPjSQLcIC8CDty,3,before,12,yes,alone
R_2rPjSQLcIC8CDty,4,before,0,yes,NA
R_2rPjSQLcIC8CDty,5,before,0,yes,NA
R_2rPjSQLcIC8CDty,6,before,2.25,yes,multiplayer
R_2rPjSQLcIC8CDty,7,before,0,yes,NA
R_2rPjSQLcIC8CDty,8,before,0,yes,NA
R_2rPjSQLcIC8CDty,9,before,0,yes,NA
R_2rPjSQLcIC8CDty,1,during,0,yes,NA
R_2rPjSQLcIC8CDty,2,during,0,yes,NA
R_2rPjSQLcIC8CDty,3,during,27,yes,alone
R_2rPjSQLcIC8CDty,4,during,0,yes,NA
R_2rPjSQLcIC8CDty,5,during,0,yes,NA
R_2rPjSQLcIC8CDty,6,during,3,yes,multiplayer
R_2rPjSQLcIC8CDty,7,during,0,yes,NA
R_2rPjSQLcIC8CDty,8,during,0,yes,NA
R_2rPjSQLcIC8CDty,9,during,0,yes,NA
R_upLgg7PndxOE2Vr,1,before,0.72,yes,alone
R_upLgg7PndxOE2Vr,2,before,0,yes,NA
R_upLgg7PndxOE2Vr,3,before,3,yes,multiplayer
R_upLgg7PndxOE2Vr,4,before,7.8,yes,multiplayer
R_upLgg7PndxOE2Vr,5,before,0,yes,NA
R_upLgg7PndxOE2Vr,6,before,0,yes,NA
R_upLgg7PndxOE2Vr,7,before,0,yes,NA
R_upLgg7PndxOE2Vr,8,before,0.48,yes,alone
R_upLgg7PndxOE2Vr,9,before,0,yes,NA
