response_id,recorded_date,start_date,end_date,progress,duration,finished,consent,age,sex,highest_education_level,secondary_school_current,college_current,undergrad_current,postgrad_current,employed_full_current,employed_part_current,employed_self_current,unemployed_current,other_education_employ_current,lockdown_worked_as_normal,lockdown_worked_at_home,lockdown_made_redundant,lockdown_furloughed,lockdown_other,living_with_partner,living_with_parents_caregivers,living_with_housemates,living_alone,living_other
R_28NVjdZPvV2fLBs,2020-05-22T10:04:00Z,2020-05-22T20:09:58Z,2020-05-22T20:10:04Z,100,352S,1,1,20,male,college,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_2rPjSQLcIC8CDty,2020-05-22T10:10:00Z,2020-05-22T20:09:56Z,2020-05-22T20:10:10Z,100,846S,1,1,20,female,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_upLgg7PndxOE2Vr,2020-05-22T10:11:00Z,2020-05-22T20:10:00Z,2020-05-22T20:10:11Z,100,696S,1,1,35,male,postgraduate_degree,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
R_1NmQkOcQT42agWF,2020-05-22T10:12:00Z,2020-05-22T20:10:00Z,2020-05-22T20:10:12Z,100,728S,1,1,28,female,undergraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
R_2SwMBZLcD2f52ij,2020-05-22T10:15:00Z,2020-05-22T20:10:05Z,2020-05-22T20:10:15Z,100,593S,1,1,29,male,undergraduate_degree,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
R_2QJLcvGH3VwNmlZ,2020-05-22T10:16:00Z,2020-05-22T20:10:06Z,2020-05-22T20:10:16Z,100,602S,1,1,40,male,other,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
R_000jgq6zfKH3jcB,2020-05-22T10:17:00Z,2020-05-22T20:10:10Z,2020-05-22T20:10:17Z,100,393S,1,1,23,female,college,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
R_2cd59QR5hZHKBZT,2020-05-22T10:17:00Z,2020-05-22T20:10:06Z,2020-05-22T20:10:17Z,100,638S,1,1,19,female,college,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_2dQRwob8W5KZXgY,2020-05-22T10:27:00Z,2020-05-22T20:10:19Z,2020-05-22T20:10:27Z,100,478S,1,1,22,female,undergraduate_degree,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
R_2tqUYhzsg6ITwD1,2020-05-22T10:29:00Z,2020-05-22T20:10:07Z,2020-05-22T20:10:29Z,100,1337S,1,1,21,female,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
R_2SvQK62v9Z0NpaC,2020-05-22T10:30:00Z,2020-05-22T20:10:21Z,2020-05-22T20:10:30Z,100,499S,1,1,31,female,college,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
R_1q9BHkV242D62cG,2020-05-22T10:34:00Z,2020-05-22T20:10:16Z,2020-05-22T20:10:34Z,100,1118S,1,1,36,male,postgraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
R_1LCosfUrLhSMxRQ,2020-05-22T10:36:00Z,2020-05-22T20:10:29Z,2020-05-22T20:10:36Z,100,406S,1,1,25,female,undergraduate_degree,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_2f82SUumXJ91Tm8,2020-05-22T10:37:00Z,2020-05-22T20:10:03Z,2020-05-22T20:10:37Z,100,2016S,1,1,33,male,college,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
R_3PjYxPdMelfAuAx,2020-05-22T10:53:00Z,2020-05-22T20:10:36Z,2020-05-22T20:10:53Z,100,999S,1,1,20,male,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
R_6rhaURmMWIpWVwd,2020-05-22T10:58:00Z,2020-05-22T20:10:48Z,2020-05-22T20:10:58Z,100,564S,1,1,28,male,postgraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
R_2tJtUaHMu03QTQ1,2020-05-22T11:06:00Z,2020-05-22T20:10:52Z,2020-05-22T20:11:06Z,100,861S,1,1,21,female,undergraduate_degree,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
R_20NVUurOXIj6JN6,2020-05-22T11:06:00Z,2020-05-22T20:10:59Z,2020-05-22T20:11:06Z,100,433S,1,1,25,female,college,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R_1FKyUMNfVFCfhAP,2020-05-22T11:07:00Z,2020-05-22T20:10:53Z,2020-05-22T20:11:07Z,100,842S,1,1,28,male,college,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_OPvs1zUpPEvZoEp,2020-05-22T11:18:00Z,2020-05-22T20:11:10Z,2020-05-22T20:11:18Z,100,511S,1,1,22,male,college,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
R_54O3tQvET3fkQAV,2020-05-22T11:18:00Z,2020-05-22T20:11:09Z,2020-05-22T20:11:18Z,100,552S,1,1,27,male,college,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
R_2TBpq77Wwtwqrfh,2020-05-22T11:27:00Z,2020-05-22T20:11:17Z,2020-05-22T20:11:27Z,100,606S,1,1,20,female,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_2e2R7LJzpLYQiWW,2020-05-22T11:34:00Z,2020-05-22T20:11:13Z,2020-05-22T20:11:34Z,100,1238S,1,1,22,male,college,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_2Sq2mphrvRDkWOh,2020-05-22T11:54:00Z,2020-05-22T20:11:40Z,2020-05-22T20:11:54Z,100,839S,1,1,32,male,undergraduate_degree,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
R_9Z70MwcyCsPC9X3,2020-05-22T12:17:00Z,2020-05-22T20:11:14Z,2020-05-22T20:12:17Z,100,3818S,1,1,31,male,postgraduate_degree,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
R_2zBXAI5qUYmV4DB,2020-05-22T12:44:00Z,2020-05-22T20:12:28Z,2020-05-22T20:12:44Z,100,974S,1,1,32,female,undergraduate_degree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R_1Ow1FDuzbwtWStS,2020-05-22T12:45:00Z,2020-05-22T20:10:34Z,2020-05-22T20:12:45Z,100,7849S,1,1,35,female,undergraduate_degree,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
R_33ElcIgec3OQYlt,2020-05-22T13:50:00Z,2020-05-22T20:13:40Z,2020-05-22T20:13:50Z,100,586S,1,1,22,female,undergraduate_degree,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
R_SBupPeUb0kJ7NJL,2020-05-22T14:36:00Z,2020-05-22T20:12:46Z,2020-05-22T20:14:36Z,100,6596S,1,1,30,female,undergraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
R_z7JR0f6BK2Ps1i1,2020-05-22T15:03:00Z,2020-05-22T20:14:39Z,2020-05-22T20:15:03Z,100,1422S,1,1,28,female,postgraduate_degree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
