response_id,amotivation_during,amotivation_before,external_regulation_during,external_regulation_before,identified_regulation_during,identified_regulation_before,instrinsic_motivation_during,instrinsic_motivation_before,integrated_regulation_during,integrated_regulation_before,introjected_regulation_during,introjected_regulation_before
R_000jgq6zfKH3jcB,24,22,28,26,24,22,28,24,24,24,24,18
R_06y6RQMIag7OLT3,6,6,20,22,6,8,30,22,16,14,8,8
R_0D28y4Gxg25qSR3,18,12,8,18,20,20,22,26,10,20,12,14
R_0Ii8fPkhD9I10Yh,6,12,26,24,6,10,14,22,6,6,6,12
R_0pRhQEssmj1aIbT,6,6,14,14,28,26,34,30,32,32,14,8
R_0vTXEcLGjOc6uRj,6,6,18,18,24,28,32,30,36,36,8,10
R_10IYWwAbUvh1Uhh,6,6,16,16,14,20,20,24,18,20,8,6
R_10TobIjLKGhA3cQ,6,6,18,14,6,6,20,30,6,6,6,6
R_111rjgTikYEbPtb,12,10,16,10,26,30,28,30,32,34,16,18
R_12LI8ats6sqsq4j,18,16,18,22,20,22,28,30,20,20,14,10
R_1BXwMl8IvhYRkFs,6,6,22,22,30,24,30,30,30,30,14,14
R_1CkeSqHcTu6ioRR,6,6,6,6,6,6,16,14,6,6,6,6
R_1cSrZsKJbMLVpfn,10,10,18,12,10,12,16,18,6,6,6,6
R_1Cy9Qzx0gi4C0n2,6,8,30,24,18,18,30,26,22,18,22,18
R_1dFdkaSKE6hI4m0,14,12,28,18,14,20,26,26,16,20,18,14
R_1DtGqgKOtlhl4vS,6,24,26,22,32,20,36,22,32,18,22,20
R_1E0SL2RcGCHB4YG,8,12,14,18,20,20,30,26,10,20,6,14
R_1E5vpihv0BCn2Jo,12,8,8,12,12,20,22,24,12,16,8,6
R_1eqNc6OUIYqj3s8,6,6,12,12,10,14,22,24,6,10,6,6
R_1FKyUMNfVFCfhAP,6,8,28,28,14,14,34,26,8,18,16,10
R_1Fl9AQQ2mrxHqGW,8,10,24,20,10,8,28,18,10,6,16,12
R_1FmqwzhhGgMovg2,16,12,28,18,14,20,32,26,16,20,24,14
R_1GKJM6pEM2FrpLP,6,6,6,6,6,6,18,24,8,8,6,6
R_1GPMTpTMgSvK0K5,6,6,28,20,32,32,36,36,26,20,12,10
R_1H78Zq7MMV4bmUw,6,6,6,12,20,36,26,36,18,36,10,16
R_1HbCUjufNKWfBV4,24,30,6,22,6,14,12,28,12,18,12,18
R_1IFBVZISRpLTJit,6,6,6,6,30,36,30,36,30,36,24,26
R_1ImlmXBKKlXZVm0,6,10,32,24,16,14,30,30,12,18,8,12
R_1isdeJ0akLVA05z,12,12,30,36,20,18,20,22,26,30,26,30
R_1jf9Sx7JAoAu6dB,36,30,34,22,10,10,28,28,10,22,18,8
R_1jkddLsj0iUCBlG,6,6,18,16,20,22,26,22,12,20,6,6
R_1jptKS7BPpIT1cD,6,6,22,8,8,12,22,26,12,14,6,6
R_1K1Fc63G8b1FSAP,6,6,6,6,6,8,12,20,6,14,8,10
R_1Ka3YhFFxRPhu6A,24,24,14,14,22,22,30,36,18,22,22,16
R_1KlistIPWgoY83s,6,12,10,18,14,20,22,26,14,20,6,14
R_1LCosfUrLhSMxRQ,6,10,20,22,14,18,26,26,20,14,18,16
R_1llE7wmaJfKwhMv,24,12,32,18,18,20,34,26,24,20,22,14
