response_id,time,regularly_play,total_hours_played
R_1F3bzU7bH2MFG8B,before,no,0
R_1F3bzU7bH2MFG8B,after,yes,112.00000000000001
R_28NVjdZPvV2fLBs,before,yes,15
R_28NVjdZPvV2fLBs,after,yes,45
R_2rPjSQLcIC8CDty,before,yes,15
R_2rPjSQLcIC8CDty,after,yes,30
R_upLgg7PndxOE2Vr,before,yes,12
R_upLgg7PndxOE2Vr,after,yes,35
R_1NmQkOcQT42agWF,before,yes,15
R_1NmQkOcQT42agWF,after,yes,20
R_2SwMBZLcD2f52ij,before,yes,0
R_2SwMBZLcD2f52ij,after,yes,0
R_2QJLcvGH3VwNmlZ,before,no,0
R_2QJLcvGH3VwNmlZ,after,yes,20
R_000jgq6zfKH3jcB,before,yes,10
R_000jgq6zfKH3jcB,after,yes,35
R_2cd59QR5hZHKBZT,before,yes,16
R_2cd59QR5hZHKBZT,after,yes,55
R_3Kwm6MO1bfGie9a,before,yes,90
R_3Kwm6MO1bfGie9a,after,yes,104
R_2dQRwob8W5KZXgY,before,yes,0
R_2dQRwob8W5KZXgY,after,yes,0
R_2tqUYhzsg6ITwD1,before,yes,35
R_2tqUYhzsg6ITwD1,after,yes,50
R_2SvQK62v9Z0NpaC,before,no,0
R_2SvQK62v9Z0NpaC,after,yes,30
R_1q9BHkV242D62cG,before,yes,30
R_1q9BHkV242D62cG,after,yes,45
R_1LCosfUrLhSMxRQ,before,yes,15
R_1LCosfUrLhSMxRQ,after,yes,9
R_2f82SUumXJ91Tm8,before,yes,60
R_2f82SUumXJ91Tm8,after,yes,90
R_3PjYxPdMelfAuAx,before,yes,25
R_3PjYxPdMelfAuAx,after,yes,30
R_6rhaURmMWIpWVwd,before,no,0
R_6rhaURmMWIpWVwd,after,yes,18
R_2tJtUaHMu03QTQ1,before,yes,10
R_2tJtUaHMu03QTQ1,after,yes,20
R_20NVUurOXIj6JN6,before,yes,45
R_20NVUurOXIj6JN6,after,yes,30
R_1FKyUMNfVFCfhAP,before,yes,15
R_1FKyUMNfVFCfhAP,after,yes,41
R_OPvs1zUpPEvZoEp,before,yes,24
R_OPvs1zUpPEvZoEp,after,yes,50
R_54O3tQvET3fkQAV,before,yes,45
R_54O3tQvET3fkQAV,after,yes,45
R_2TBpq77Wwtwqrfh,before,no,0
R_2TBpq77Wwtwqrfh,after,yes,10
R_2e2R7LJzpLYQiWW,before,yes,10
R_2e2R7LJzpLYQiWW,after,yes,20
R_2Sq2mphrvRDkWOh,before,yes,4
R_2Sq2mphrvRDkWOh,after,yes,16
R_9Z70MwcyCsPC9X3,before,yes,15
R_9Z70MwcyCsPC9X3,after,yes,10
R_2zBXAI5qUYmV4DB,before,yes,25
R_2zBXAI5qUYmV4DB,after,yes,45
R_1Ow1FDuzbwtWStS,before,yes,0
R_1Ow1FDuzbwtWStS,after,yes,0
R_33ElcIgec3OQYlt,before,yes,30
R_33ElcIgec3OQYlt,after,yes,0
R_SBupPeUb0kJ7NJL,before,yes,20
R_SBupPeUb0kJ7NJL,after,yes,36
R_z7JR0f6BK2Ps1i1,before,yes,25
R_z7JR0f6BK2Ps1i1,after,yes,37
R_0Ii8fPkhD9I10Yh,before,yes,0
R_0Ii8fPkhD9I10Yh,after,yes,0
R_UoPiHE2v8sEVOJb,before,yes,7.000000000000001
R_UoPiHE2v8sEVOJb,after,yes,26
R_A5JYMcChIUBrgWJ,before,yes,0
R_A5JYMcChIUBrgWJ,after,yes,0
R_2QlDr5bgON19Dbf,before,no,0
R_2QlDr5bgON19Dbf,after,yes,0
R_1ls2eVKvEiK6S4N,before,yes,25
R_1ls2eVKvEiK6S4N,after,yes,45
R_3efCQahFkiEWLUo,before,yes,10
R_3efCQahFkiEWLUo,after,yes,22
R_3EtZJ865VyxA1dS,before,yes,0
R_3EtZJ865VyxA1dS,after,yes,0
R_1CkeSqHcTu6ioRR,before,yes,8
R_1CkeSqHcTu6ioRR,after,yes,4
R_12LI8ats6sqsq4j,before,yes,25
R_12LI8ats6sqsq4j,after,yes,35
R_21vy4qSSLUBhkI5,before,yes,14.000000000000002
R_21vy4qSSLUBhkI5,after,yes,30
R_2DZSUz54Rl39uyo,before,yes,12
R_2DZSUz54Rl39uyo,after,yes,5
R_3gYE1Oyb2ecCXAO,before,yes,20
R_3gYE1Oyb2ecCXAO,after,yes,40
R_R80uXkBmWsWOzfP,before,yes,33
R_R80uXkBmWsWOzfP,after,yes,46
R_RePvY6Xpy9N1z45,before,yes,0
R_RePvY6Xpy9N1z45,after,yes,0
R_0pRhQEssmj1aIbT,before,yes,22
R_0pRhQEssmj1aIbT,after,yes,30
R_1mEDv9S4U18sxZe,before,yes,4
R_1mEDv9S4U18sxZe,after,yes,7.000000000000001
R_06y6RQMIag7OLT3,before,yes,10
R_06y6RQMIag7OLT3,after,yes,35
