response_id,loneliness_before,loneliness_after
R_000jgq6zfKH3jcB,5,7
R_06y6RQMIag7OLT3,6,3
R_0D28y4Gxg25qSR3,8,8
R_0Ii8fPkhD9I10Yh,6,6
R_0pRhQEssmj1aIbT,4,5
R_0vTXEcLGjOc6uRj,3,3
R_10IYWwAbUvh1Uhh,5,5
R_10TobIjLKGhA3cQ,4,3
R_111rjgTikYEbPtb,4,3
R_12LI8ats6sqsq4j,5,5
R_1BXwMl8IvhYRkFs,4,5
R_1CkeSqHcTu6ioRR,3,4
R_1cSrZsKJbMLVpfn,7,7
R_1Cy9Qzx0gi4C0n2,6,6
R_1dFdkaSKE6hI4m0,6,7
R_1DtGqgKOtlhl4vS,3,5
R_1E0SL2RcGCHB4YG,7,5
R_1E5vpihv0BCn2Jo,8,9
R_1eqNc6OUIYqj3s8,3,3
R_1FKyUMNfVFCfhAP,5,4
R_1Fl9AQQ2mrxHqGW,4,7
R_1FmqwzhhGgMovg2,5,6
R_1GKJM6pEM2FrpLP,3,3
R_1GPMTpTMgSvK0K5,3,3
R_1H78Zq7MMV4bmUw,3,3
R_1HbCUjufNKWfBV4,7,6
R_1IFBVZISRpLTJit,5,9
R_1ImlmXBKKlXZVm0,5,6
R_1isdeJ0akLVA05z,6,6
R_1jf9Sx7JAoAu6dB,4,6
R_1jkddLsj0iUCBlG,5,7
R_1jptKS7BPpIT1cD,6,7
R_1K1Fc63G8b1FSAP,3,4
R_1Ka3YhFFxRPhu6A,4,6
R_1KlistIPWgoY83s,3,3
R_1LCosfUrLhSMxRQ,3,4
R_1llE7wmaJfKwhMv,6,7
R_1ls2eVKvEiK6S4N,4,5
R_1M3DvETU5JOu5b0,3,3
R_1M5w3AllKLTG9vr,3,5
R_1mEDv9S4U18sxZe,8,8
R_1mIvz4scUnVKLx7,7,8
R_1mmJ4ZOT1aKUnz7,5,5
R_1MXmVmetdFpHiB4,6,9
R_1N9O72YdQ4GZFDi,4,7
R_1N9QWsuqE4dwJj0,3,4
R_1Nady9hvbIvDcLg,8,9
R_1NfE7qpbaFYk306,4,4
R_1NmQkOcQT42agWF,6,6
R_1nSWaU6aHeoCVz1,5,5
R_1oCk4T1oiygv2K1,3,3
R_1OIk0siawnKDTiy,3,5
R_1OVLo23ZSViJv0e,3,6
R_1Ow1FDuzbwtWStS,3,3
R_1PYHLXLRtVtLKCC,3,3
R_1pYYllRKHfnN46F,9,9
R_1q9BHkV242D62cG,8,9
R_1QfJ0V1q7quecwG,7,7
R_1riU7KvjYAwtXJE,9,9
R_20NVUurOXIj6JN6,9,9
R_217aRM2HjOL4rwC,7,6
R_21mMIqW3mCkwgHy,5,8
R_21vy4qSSLUBhkI5,6,5
R_23Ulx9Mu6ClxGOJ,6,6
R_246tBSBZyx6fChw,3,9
R_24isskypHAzj6a4,6,6
R_25z3VIIwpNMoGjS,4,6
R_27D28zcmps8GRka,6,6
R_27ExcEAbe7WWZAY,5,8
R_28NVjdZPvV2fLBs,9,9
R_2947NV0sa0o6uqa,4,3
R_29gj9i4nykxouwi,6,6
R_29sTVuZYJRxiKzv,3,5
R_2aM58IL6PRjl31M,6,9
R_2ARphcLKbG8pCbs,3,4
R_2B4II5QqOBTuBsc,8,9
R_2bVGOK2omxjKHpn,6,6
R_2CB7Tu6CfOt3tUN,6,5
R_2cd59QR5hZHKBZT,9,6
R_2cdROg831T1vhEC,5,5
R_2Clwma6pSIEIvrW,3,3
R_2CTWdkSw6ViCuJq,4,3
R_2cvas4XCHYE6Kkz,3,4
R_2CvKeTojbEMdWFy,3,3
R_2dQRwob8W5KZXgY,4,6
R_2DUjHNE8XFxwngK,4,6
R_2DZSUz54Rl39uyo,3,6
R_2e2R7LJzpLYQiWW,3,7
R_2E4NIJT672CNqhY,3,3
R_2e9aZobX5Mrf2mF,6,8
R_2f82SUumXJ91Tm8,3,4
R_2fIesR987yHKjDw,4,7
R_2fvruv9ZivyF7o5,6,6
R_2fvUAwVkhV1ypOM,9,9
R_2OPDHtEfJyTCxsv,6,9
R_2OYGHuXGBqkz2JB,3,3
R_2QJLcvGH3VwNmlZ,5,3
R_2QlDr5bgON19Dbf,6,7
R_2qrC4O6fVkjwiry,4,4
R_2QzW5HTDKSQoIdW,3,3
R_2R97eLv3ogd7F2s,3,3
R_2rhWa2106Du6K5T,6,6
R_2rPjSQLcIC8CDty,3,5
R_2rZRXqFfn0ikBOS,3,3
R_2SeikFcu2AS9w7X,4,3
R_2SH3IlYMix1JYmN,3,3
R_2Sq2mphrvRDkWOh,4,5
R_2SvQK62v9Z0NpaC,4,8
R_2SwMBZLcD2f52ij,6,6
R_2TBpq77Wwtwqrfh,3,7
R_2TG0VS1cyTZTOII,3,3
R_2tJtUaHMu03QTQ1,8,9
R_2tqUYhzsg6ITwD1,7,5
R_2trlnajiLWtBHVS,8,8
R_2TSJxMqN9gOlUOV,5,4
R_2UVJlgmzYG5Xn9P,6,6
R_2VkJBjNuuyAttyZ,4,9
R_2vZKXOkrXwQOPM0,4,8
