response_id,n_missing,has_missing
R_1F3bzU7bH2MFG8B,4,1
R_28NVjdZPvV2fLBs,0,0
R_2rPjSQLcIC8CDty,0,0
R_upLgg7PndxOE2Vr,0,0
R_1NmQkOcQT42agWF,0,0
R_2SwMBZLcD2f52ij,0,0
R_2QJLcvGH3VwNmlZ,0,0
R_000jgq6zfKH3jcB,0,0
R_2cd59QR5hZHKBZT,0,0
R_3Kwm6MO1bfGie9a,0,0
R_2dQRwob8W5KZXgY,0,0
R_2tqUYhzsg6ITwD1,0,0
R_2SvQK62v9Z0NpaC,0,0
R_1q9BHkV242D62cG,0,0
R_1LCosfUrLhSMxRQ,0,0
R_2f82SUumXJ91Tm8,0,0
R_3PjYxPdMelfAuAx,0,0
R_6rhaURmMWIpWVwd,0,0
R_2tJtUaHMu03QTQ1,0,0
R_20NVUurOXIj6JN6,0,0
R_1FKyUMNfVFCfhAP,0,0
R_OPvs1zUpPEvZoEp,0,0
R_54O3tQvET3fkQAV,0,0
R_2TBpq77Wwtwqrfh,0,0
R_2e2R7LJzpLYQiWW,0,0
R_2Sq2mphrvRDkWOh,0,0
R_9Z70MwcyCsPC9X3,0,0
R_2zBXAI5qUYmV4DB,0,0
R_1Ow1FDuzbwtWStS,0,0
R_33ElcIgec3OQYlt,0,0
R_SBupPeUb0kJ7NJL,1,1
R_z7JR0f6BK2Ps1i1,0,0
R_0Ii8fPkhD9I10Yh,0,0
R_UoPiHE2v8sEVOJb,0,0
R_A5JYMcChIUBrgWJ,0,0
R_2QlDr5bgON19Dbf,0,0
R_1ls2eVKvEiK6S4N,0,0
R_3efCQahFkiEWLUo,1,1
R_3EtZJ865VyxA1dS,0,0
R_1CkeSqHcTu6ioRR,0,0
R_12LI8ats6sqsq4j,0,0
R_21vy4qSSLUBhkI5,0,0
R_2DZSUz54Rl39uyo,1,1
R_3gYE1Oyb2ecCXAO,0,0
R_R80uXkBmWsWOzfP,0,0
R_RePvY6Xpy9N1z45,1,1
R_0pRhQEssmj1aIbT,0,0
R_1mEDv9S4U18sxZe,0,0
R_06y6RQMIag7OLT3,1,1
R_23Ulx9Mu6ClxGOJ,0,0
R_3nkCL8JrVmutsy2,0,0
R_10IYWwAbUvh1Uhh,0,0
R_1BXwMl8IvhYRkFs,0,0
R_Zgzav0hvyZ96c6d,0,0
R_1K1Fc63G8b1FSAP,0,0
R_3oLsLBM6ZWrfpVQ,0,0
R_3qyQeKqDkX0mMPk,1,1
R_1ImlmXBKKlXZVm0,0,0
R_3Gg2Ve4XnzJBPL1,0,0
R_2fIesR987yHKjDw,0,0
R_3G0VtsBQfB5T8jI,1,1
R_3sAOu08DzJCbsCx,0,0
R_1NfE7qpbaFYk306,0,0
R_1pYYllRKHfnN46F,0,0
R_WerDtRBiVK6hlnP,0,0
R_333VdNEK4f8Xyui,0,0
R_2cdROg831T1vhEC,0,0
R_p5CA0SZn571DSEN,0,0
R_2CvKeTojbEMdWFy,0,0
R_3hywX9R1oSIynmb,0,0
R_27ExcEAbe7WWZAY,0,0
R_cTISqj1k1d4BAOd,1,1
R_3OEuDPyfhuyKTkd,0,0
R_1H78Zq7MMV4bmUw,0,0
R_2cvas4XCHYE6Kkz,0,0
R_3HpP9AcM8KfmlN5,0,0
R_1MXmVmetdFpHiB4,0,0
R_2rZRXqFfn0ikBOS,0,0
R_1Cy9Qzx0gi4C0n2,0,0
R_3LXrDOSOEDocie5,0,0
R_3PAINhZstYwZKnG,1,1
R_RzB3YPB2gpL3ylr,0,0
R_BueCPimsWc9Utd7,1,1
R_2Clwma6pSIEIvrW,0,0
R_0D28y4Gxg25qSR3,0,0
