response_id,lockdown_period,subscale,score,id,total_hours_played,total_hours_played_s,score_ord
R_000jgq6zfKH3jcB,before,loneliness,5,1,10,-0.5998048058726152,5
R_000jgq6zfKH3jcB,during,loneliness,7,1,35,0.6555207174162604,7
R_06y6RQMIag7OLT3,before,loneliness,6,2,10,-0.5998048058726152,6
R_06y6RQMIag7OLT3,during,loneliness,3,2,35,0.6555207174162604,3
R_0D28y4Gxg25qSR3,before,loneliness,8,3,0,-1.1019350151881655,8
R_0D28y4Gxg25qSR3,during,loneliness,8,3,15,-0.3487397012148401,8
R_0Ii8fPkhD9I10Yh,before,loneliness,6,4,0,-1.1019350151881655,6
R_0Ii8fPkhD9I10Yh,during,loneliness,6,4,0,-1.1019350151881655,6
R_0pRhQEssmj1aIbT,before,loneliness,4,5,22,0.0027514453060450473,4
R_0pRhQEssmj1aIbT,during,loneliness,5,5,30,0.40445561275848524,5
R_0vTXEcLGjOc6uRj,before,loneliness,3,6,22,0.0027514453060450473,3
R_0vTXEcLGjOc6uRj,during,loneliness,3,6,30,0.40445561275848524,3
R_10IYWwAbUvh1Uhh,before,loneliness,5,7,0,-1.1019350151881655,5
R_10IYWwAbUvh1Uhh,during,loneliness,5,7,0,-1.1019350151881655,5
R_10TobIjLKGhA3cQ,before,loneliness,4,8,15,-0.3487397012148401,4
R_10TobIjLKGhA3cQ,during,loneliness,3,8,15,-0.3487397012148401,3
R_111rjgTikYEbPtb,before,loneliness,4,9,20,-0.09767459655706501,4
R_111rjgTikYEbPtb,during,loneliness,3,9,80,2.9151066593362365,3
R_12LI8ats6sqsq4j,before,loneliness,5,10,25,0.15339050810071012,5
R_12LI8ats6sqsq4j,during,loneliness,5,10,35,0.6555207174162604,5
R_1BXwMl8IvhYRkFs,before,loneliness,4,11,30,0.40445561275848524,4
R_1BXwMl8IvhYRkFs,during,loneliness,5,11,0,-1.1019350151881655,5
R_1CkeSqHcTu6ioRR,before,loneliness,3,12,8,-0.7002308477357253,3
R_1CkeSqHcTu6ioRR,during,loneliness,4,12,4,-0.9010829314619454,4
R_1cSrZsKJbMLVpfn,before,loneliness,7,13,10,-0.5998048058726152,7
R_1cSrZsKJbMLVpfn,during,loneliness,7,13,35,0.6555207174162604,7
R_1Cy9Qzx0gi4C0n2,before,loneliness,6,14,0,-1.1019350151881655,6
R_1Cy9Qzx0gi4C0n2,during,loneliness,6,14,0,-1.1019350151881655,6
R_1dFdkaSKE6hI4m0,before,loneliness,6,15,0,-1.1019350151881655,6
R_1dFdkaSKE6hI4m0,during,loneliness,7,15,15,-0.3487397012148401,7
R_1DtGqgKOtlhl4vS,before,loneliness,3,16,75,2.6640415546784615,3
R_1DtGqgKOtlhl4vS,during,loneliness,5,16,60,1.910846240705136,5
R_1E0SL2RcGCHB4YG,before,loneliness,7,17,0,-1.1019350151881655,7
R_1E0SL2RcGCHB4YG,during,loneliness,5,17,24,0.10317748716915509,5
R_1E5vpihv0BCn2Jo,before,loneliness,8,18,31,0.4546686336900403,8
R_1E5vpihv0BCn2Jo,during,loneliness,9,18,40,0.9065858220740355,9
R_1eqNc6OUIYqj3s8,before,loneliness,3,19,40,0.9065858220740355,3
R_1eqNc6OUIYqj3s8,during,loneliness,3,19,64,2.111698324431356,3
R_1FKyUMNfVFCfhAP,before,loneliness,5,20,15,-0.3487397012148401,5
R_1FKyUMNfVFCfhAP,during,loneliness,4,20,41,0.9567988430055905,4
R_1Fl9AQQ2mrxHqGW,before,loneliness,4,21,15,-0.3487397012148401,4
R_1Fl9AQQ2mrxHqGW,during,loneliness,7,21,35,0.6555207174162604,7
R_1FmqwzhhGgMovg2,before,loneliness,5,22,0,-1.1019350151881655,5
R_1FmqwzhhGgMovg2,during,loneliness,6,22,30,0.40445561275848524,6
R_1GKJM6pEM2FrpLP,before,loneliness,3,23,14.000000000000002,-0.39895272214639504,3
