subscale,id,score_before,score_during,total_hours_played_before,total_hours_played_during,hours_diff,score_diff,score_before_ord,score_during_ord
loneliness,1,5,7,10,35,25,2,5,7
loneliness,2,6,3,10,35,25,-3,6,3
loneliness,3,8,8,0,15,15,0,8,8
loneliness,4,6,6,0,0,0,0,6,6
loneliness,5,4,5,22,30,8,1,4,5
loneliness,6,3,3,22,30,8,0,3,3
loneliness,7,5,5,0,0,0,0,5,5
loneliness,8,4,3,15,15,0,-1,4,3
loneliness,9,4,3,20,80,60,-1,4,3
loneliness,10,5,5,25,35,10,0,5,5
loneliness,11,4,5,30,0,-30,1,4,5
loneliness,12,3,4,8,4,-4,1,3,4
loneliness,13,7,7,10,35,25,0,7,7
loneliness,14,6,6,0,0,0,0,6,6
loneliness,15,6,7,0,15,15,1,6,7
loneliness,16,3,5,75,60,-15,2,3,5
loneliness,17,7,5,0,24,24,-2,7,5
loneliness,18,8,9,31,40,9,1,8,9
loneliness,19,3,3,40,64,24,0,3,3
loneliness,20,5,4,15,41,26,-1,5,4
loneliness,21,4,7,15,35,20,3,4,7
loneliness,22,5,6,0,30,30,1,5,6
loneliness,23,3,3,14.000000000000002,28.999999999999996,14.999999999999995,0,3,3
loneliness,24,3,3,0,0,0,0,3,3
loneliness,25,3,3,15,45,30,0,3,3
loneliness,26,7,6,35,15.75,-19.25,-1,7,6
loneliness,27,5,9,0,0,0,4,5,9
loneliness,28,5,6,12,40,28,1,5,6
loneliness,29,6,6,35,35,0,0,6,6
loneliness,30,4,6,20,40,20,2,4,6
loneliness,31,5,7,6,18,12,2,5,7
loneliness,32,6,7,30,30,0,1,6,7
loneliness,33,3,4,10,10,0,1,3,4
loneliness,34,4,6,30,70,40,2,4,6
loneliness,35,3,3,0,21,21,0,3,3
loneliness,36,3,4,15,9,-6,1,3,4
loneliness,37,6,7,0,32,32,1,6,7
loneliness,38,4,5,25,45,20,1,4,5
loneliness,39,3,3,0,0,0,0,3,3
loneliness,40,3,5,43.2,56.24,13.04,2,3,5
loneliness,41,8,8,4,7.000000000000001,3.000000000000001,0,8,8
loneliness,42,7,8,5,8,3,1,7,8
loneliness,43,5,5,0,90,90,0,5,5
loneliness,44,6,9,6,25,19,3,6,9
loneliness,45,4,7,48,40,-8,3,4,7
loneliness,46,3,4,50,0,-50,1,3,4
loneliness,47,8,9,21,30,9,1,8,9
loneliness,48,4,4,40,35,-5,0,4,4
loneliness,49,6,6,15,20,5,0,6,6
loneliness,50,5,5,2,15,13,0,5,5
loneliness,51,3,3,0,0,0,0,3,3
loneliness,52,3,5,20,50,30,2,3,5
loneliness,53,3,6,8,14,6,3,3,6
loneliness,54,3,3,0,0,0,0,3,3
loneliness,55,3,3,20,22,2,0,3,3
loneliness,56,9,9,6,14.000000000000002,8.000000000000002,0,9,9
loneliness,57,8,9,30,45,15,1,8,9
loneliness,58,7,7,15,0,-15,0,7,7
loneliness,59,9,9,0,0,0,0,9,9
