response_id,time,subscale,score
R_000jgq6zfKH3jcB,after,anxiety,3
R_000jgq6zfKH3jcB,after,depression,2.857142857142857
R_000jgq6zfKH3jcB,after,stress,3.4285714285714284
R_000jgq6zfKH3jcB,before,anxiety,2.2857142857142856
R_000jgq6zfKH3jcB,before,depression,2
R_000jgq6zfKH3jcB,before,stress,2.2857142857142856
R_06y6RQMIag7OLT3,after,anxiety,1
R_06y6RQMIag7OLT3,after,depression,1.1666666666666667
R_06y6RQMIag7OLT3,after,stress,1
R_06y6RQMIag7OLT3,before,anxiety,1
R_06y6RQMIag7OLT3,before,depression,1.1428571428571428
R_06y6RQMIag7OLT3,before,stress,1
R_0Ii8fPkhD9I10Yh,after,anxiety,1
R_0Ii8fPkhD9I10Yh,after,depression,1.4285714285714286
R_0Ii8fPkhD9I10Yh,after,stress,2.5714285714285716
R_0Ii8fPkhD9I10Yh,before,anxiety,1
R_0Ii8fPkhD9I10Yh,before,depression,1.7142857142857142
R_0Ii8fPkhD9I10Yh,before,stress,2.4285714285714284
R_0pRhQEssmj1aIbT,after,anxiety,2.4285714285714284
R_0pRhQEssmj1aIbT,after,depression,2.5714285714285716
R_0pRhQEssmj1aIbT,after,stress,3.5714285714285716
R_0pRhQEssmj1aIbT,before,anxiety,1
R_0pRhQEssmj1aIbT,before,depression,2
R_0pRhQEssmj1aIbT,before,stress,2.4285714285714284
R_0vTXEcLGjOc6uRj,after,anxiety,1.1428571428571428
R_0vTXEcLGjOc6uRj,after,depression,1.1428571428571428
R_0vTXEcLGjOc6uRj,after,stress,1.4285714285714286
R_0vTXEcLGjOc6uRj,before,anxiety,1.1428571428571428
R_0vTXEcLGjOc6uRj,before,depression,1.1666666666666667
R_0vTXEcLGjOc6uRj,before,stress,1.5714285714285714
R_10IYWwAbUvh1Uhh,after,anxiety,1.2857142857142858
R_10IYWwAbUvh1Uhh,after,depression,3
R_10IYWwAbUvh1Uhh,after,stress,2.142857142857143
R_10IYWwAbUvh1Uhh,before,anxiety,1.4285714285714286
R_10IYWwAbUvh1Uhh,before,depression,2.5714285714285716
R_10IYWwAbUvh1Uhh,before,stress,2.2857142857142856
R_10TobIjLKGhA3cQ,after,anxiety,1
R_10TobIjLKGhA3cQ,after,depression,1
R_10TobIjLKGhA3cQ,after,stress,1
R_10TobIjLKGhA3cQ,before,anxiety,1.1428571428571428
R_10TobIjLKGhA3cQ,before,depression,1
R_10TobIjLKGhA3cQ,before,stress,1
R_111rjgTikYEbPtb,after,anxiety,1.2857142857142858
R_111rjgTikYEbPtb,after,depression,1.2857142857142858
R_111rjgTikYEbPtb,after,stress,2
R_111rjgTikYEbPtb,before,anxiety,2.4285714285714284
R_111rjgTikYEbPtb,before,depression,2.2857142857142856
R_111rjgTikYEbPtb,before,stress,3.142857142857143
R_12LI8ats6sqsq4j,after,anxiety,1.8571428571428572
R_12LI8ats6sqsq4j,after,depression,2.142857142857143
R_12LI8ats6sqsq4j,after,stress,1.8571428571428572
R_12LI8ats6sqsq4j,before,anxiety,1.7142857142857142
R_12LI8ats6sqsq4j,before,depression,2
R_12LI8ats6sqsq4j,before,stress,2
R_1CkeSqHcTu6ioRR,after,anxiety,1
R_1CkeSqHcTu6ioRR,after,depression,1.4285714285714286
