response_id,recorded_date,start_date,end_date,progress,duration,finished,consent,age,sex,highest_education_level,secondary_school_current,college_current,undergrad_current,postgrad_current,employed_full_current,employed_part_current,employed_self_current,unemployed_current,other_education_employ_current,lockdown_worked_as_normal,lockdown_worked_at_home,lockdown_made_redundant,lockdown_furloughed,lockdown_other,living_with_partner,living_with_parents_caregivers,living_with_housemates,living_alone,living_other
R_28NVjdZPvV2fLBs,2020-05-22T10:04:00Z,2020-05-22T09:58:00Z,2020-05-22T10:04:00Z,100,352S,1,1,20,male,college,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_2rPjSQLcIC8CDty,2020-05-22T10:10:00Z,2020-05-22T09:56:00Z,2020-05-22T10:10:00Z,100,846S,1,1,20,female,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_upLgg7PndxOE2Vr,2020-05-22T10:11:00Z,2020-05-22T10:00:00Z,2020-05-22T10:11:00Z,100,696S,1,1,35,male,postgraduate_degree,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
R_1NmQkOcQT42agWF,2020-05-22T10:12:00Z,2020-05-22T10:00:00Z,2020-05-22T10:12:00Z,100,728S,1,1,28,female,undergraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
R_000jgq6zfKH3jcB,2020-05-22T10:17:00Z,2020-05-22T10:10:00Z,2020-05-22T10:17:00Z,100,393S,1,1,23,female,college,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
R_2cd59QR5hZHKBZT,2020-05-22T10:17:00Z,2020-05-22T10:06:00Z,2020-05-22T10:17:00Z,100,638S,1,1,19,female,college,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_2tqUYhzsg6ITwD1,2020-05-22T10:29:00Z,2020-05-22T10:07:00Z,2020-05-22T10:29:00Z,100,1337S,1,1,21,female,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
R_1q9BHkV242D62cG,2020-05-22T10:34:00Z,2020-05-22T10:16:00Z,2020-05-22T10:34:00Z,100,1118S,1,1,36,male,postgraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
R_1LCosfUrLhSMxRQ,2020-05-22T10:36:00Z,2020-05-22T10:29:00Z,2020-05-22T10:36:00Z,100,406S,1,1,25,female,undergraduate_degree,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_3PjYxPdMelfAuAx,2020-05-22T10:53:00Z,2020-05-22T10:36:00Z,2020-05-22T10:53:00Z,100,999S,1,1,20,male,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
R_2tJtUaHMu03QTQ1,2020-05-22T11:06:00Z,2020-05-22T10:52:00Z,2020-05-22T11:06:00Z,100,861S,1,1,21,female,undergraduate_degree,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
R_20NVUurOXIj6JN6,2020-05-22T11:06:00Z,2020-05-22T10:59:00Z,2020-05-22T11:06:00Z,100,433S,1,1,25,female,college,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R_1FKyUMNfVFCfhAP,2020-05-22T11:07:00Z,2020-05-22T10:53:00Z,2020-05-22T11:07:00Z,100,842S,1,1,28,male,college,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_OPvs1zUpPEvZoEp,2020-05-22T11:18:00Z,2020-05-22T11:10:00Z,2020-05-22T11:18:00Z,100,511S,1,1,22,male,college,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
R_54O3tQvET3fkQAV,2020-05-22T11:18:00Z,2020-05-22T11:09:00Z,2020-05-22T11:18:00Z,100,552S,1,1,27,male,college,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
R_2e2R7LJzpLYQiWW,2020-05-22T11:34:00Z,2020-05-22T11:13:00Z,2020-05-22T11:34:00Z,100,1238S,1,1,22,male,college,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_2Sq2mphrvRDkWOh,2020-05-22T11:54:00Z,2020-05-22T11:40:00Z,2020-05-22T11:54:00Z,100,839S,1,1,32,male,undergraduate_degree,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
R_9Z70MwcyCsPC9X3,2020-05-22T12:17:00Z,2020-05-22T11:14:00Z,2020-05-22T12:17:00Z,100,3818S,1,1,31,male,postgraduate_degree,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
R_2zBXAI5qUYmV4DB,2020-05-22T12:44:00Z,2020-05-22T12:28:00Z,2020-05-22T12:44:00Z,100,974S,1,1,32,female,undergraduate_degree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R_SBupPeUb0kJ7NJL,2020-05-22T14:36:00Z,2020-05-22T12:46:00Z,2020-05-22T14:36:00Z,100,6596S,1,1,30,female,undergraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
R_z7JR0f6BK2Ps1i1,2020-05-22T15:03:00Z,2020-05-22T14:39:00Z,2020-05-22T15:03:00Z,100,1422S,1,1,28,female,postgraduate_degree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R_UoPiHE2v8sEVOJb,2020-05-22T15:08:00Z,2020-05-22T14:59:00Z,2020-05-22T15:08:00Z,100,556S,1,1,34,female,postgraduate_degree,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R_1ls2eVKvEiK6S4N,2020-05-22T16:05:00Z,2020-05-22T15:50:00Z,2020-05-22T16:05:00Z,100,883S,1,1,23,male,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_3efCQahFkiEWLUo,2020-05-22T16:16:00Z,2020-05-22T16:07:00Z,2020-05-22T16:16:00Z,100,554S,1,1,25,female,postgraduate_degree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R_8CChr0q2zu0tWLf,2020-05-22T16:34:00Z,2020-05-22T16:17:00Z,2020-05-22T16:34:00Z,100,1037S,1,1,23,male,school,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R_1CkeSqHcTu6ioRR,2020-05-23T03:50:00Z,2020-05-23T03:38:00Z,2020-05-23T03:50:00Z,100,719S,1,1,38,male,undergraduate_degree,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R_2qaBXyfNpVCNqWK,2020-05-23T04:35:00Z,2020-05-23T04:22:00Z,2020-05-23T04:35:00Z,100,768S,1,1,31,male,undergraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
R_12LI8ats6sqsq4j,2020-05-23T06:39:00Z,2020-05-23T06:26:00Z,2020-05-23T06:39:00Z,100,768S,1,1,28,male,undergraduate_degree,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
R_21vy4qSSLUBhkI5,2020-05-23T06:40:00Z,2020-05-23T06:29:00Z,2020-05-23T06:40:00Z,100,651S,1,1,30,female,postgraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
R_2DZSUz54Rl39uyo,2020-05-23T06:43:00Z,2020-05-23T06:36:00Z,2020-05-23T06:43:00Z,100,445S,1,1,24,male,postgraduate_degree,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
R_3gYE1Oyb2ecCXAO,2020-05-23T11:10:00Z,2020-05-23T10:52:00Z,2020-05-23T11:10:00Z,100,1079S,1,1,29,male,postgraduate_degree,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
R_R80uXkBmWsWOzfP,2020-05-23T15:10:00Z,2020-05-23T13:56:00Z,2020-05-23T15:10:00Z,100,4469S,1,1,31,male,undergraduate_degree,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R_0pRhQEssmj1aIbT,2020-05-24T05:56:00Z,2020-05-24T05:41:00Z,2020-05-24T05:56:00Z,100,869S,1,1,31,female,postgraduate_degree,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
R_1mEDv9S4U18sxZe,2020-05-25T05:37:00Z,2020-05-25T05:19:00Z,2020-05-25T05:37:00Z,100,1075S,1,1,20,female,other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
R_06y6RQMIag7OLT3,2020-05-25T07:02:00Z,2020-05-25T06:43:00Z,2020-05-25T07:02:00Z,100,1139S,1,1,40,male,college,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
R_23Ulx9Mu6ClxGOJ,2020-05-25T12:09:00Z,2020-05-25T05:50:00Z,2020-05-25T12:09:00Z,100,22725S,1,1,23,female,college,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
R_4UciCNgShnGGPRv,2020-05-26T05:21:00Z,2020-05-26T05:11:00Z,2020-05-26T05:21:00Z,100,603S,1,1,19,male,undergraduate_degree,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_Zgzav0hvyZ96c6d,2020-05-26T05:25:00Z,2020-05-26T05:11:00Z,2020-05-26T05:25:00Z,100,846S,1,1,20,female,college,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_1K1Fc63G8b1FSAP,2020-05-26T05:34:00Z,2020-05-26T05:23:00Z,2020-05-26T05:34:00Z,100,670S,1,1,33,male,school,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
R_1ImlmXBKKlXZVm0,2020-05-26T06:47:00Z,2020-05-26T06:23:00Z,2020-05-26T06:47:00Z,100,1481S,1,1,40,male,school,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
R_2fIesR987yHKjDw,2020-05-26T06:58:00Z,2020-05-26T06:49:00Z,2020-05-26T06:58:00Z,100,549S,1,1,42,male,college,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R_3G0VtsBQfB5T8jI,2020-05-26T07:00:00Z,2020-05-26T06:51:00Z,2020-05-26T07:00:00Z,100,540S,1,1,45,male,undergraduate_degree,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R_1NfE7qpbaFYk306,2020-05-26T08:22:00Z,2020-05-26T08:00:00Z,2020-05-26T08:22:00Z,100,1311S,1,1,21,male,undergraduate_degree,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
