response_id,time,regularly_play,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,hours_1,hours_2,hours_3,hours_4,hours_5,hours_6,hours_7,hours_8,hours_9,total_hours,total_percent,single_multi_1,single_multi_2,single_multi_3,single_multi_4,single_multi_5,single_multi_6,single_multi_7,single_multi_8,single_multi_9
R_28NVjdZPvV2fLBs,before,yes,0,10,60,20,0,0,10,0,0,0,1.5,9,3,0,0,1.5,0,0,15,100,NA,alone,multiplayer,multiplayer,NA,NA,alone,NA,NA
R_28NVjdZPvV2fLBs,after,yes,0,0,60,20,0,0,20,0,0,0,0,27,9,0,0,9,0,0,45,100,NA,NA,multiplayer,multiplayer,NA,NA,alone,NA,NA
R_28MWgRnn8laQex4,before,yes,0,50,10,10,20,0,0,10,0,0,45,9,9,18,0,0,9,0,90,100,multiplayer,alone,alone,alone,alone,alone,NA,alone,NA
R_28MWgRnn8laQex4,after,yes,10,20,10,10,10,10,10,10,10,15,30,15,15,15,15,15,15,15,150,100,alone,alone,alone,alone,alone,alone,alone,alone,alone
R_2rPjSQLcIC8CDty,before,yes,0,5,80,0,0,15,0,0,0,0,0.75,12,0,0,2.25,0,0,0,15,100,NA,alone,alone,NA,NA,multiplayer,NA,NA,NA
R_2rPjSQLcIC8CDty,after,yes,0,0,90,0,0,10,0,0,0,0,0,27,0,0,3,0,0,0,30,100,NA,NA,alone,NA,NA,multiplayer,NA,NA,NA
R_upLgg7PndxOE2Vr,before,yes,6,0,25,65,0,0,0,4,0,0.72,0,3,7.8,0,0,0,0.48,0,12,100,alone,NA,multiplayer,multiplayer,NA,NA,NA,alone,NA
R_upLgg7PndxOE2Vr,after,yes,20,0,10,70,0,0,0,0,0,7,0,3.5,24.5,0,0,0,0,0,35,100,alone,NA,multiplayer,multiplayer,NA,NA,NA,alone,NA
R_1NmQkOcQT42agWF,before,yes,0,0,0,50,0,50,0,0,0,0,0,0,7.5,0,7.5,0,0,0,15,100,NA,NA,NA,multiplayer,NA,alone,NA,NA,NA
R_1NmQkOcQT42agWF,after,yes,0,0,0,70,0,30,0,0,0,0,0,0,14,0,6,0,0,0,20,100,NA,NA,NA,multiplayer,NA,alone,NA,NA,NA
R_2SwMBZLcD2f52ij,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multiplayer,alone,multiplayer,multiplayer,NA,NA,NA,NA,NA
R_2SwMBZLcD2f52ij,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multiplayer,multiplayer,multiplayer,multiplayer,multiplayer,NA,NA,NA,NA
R_000jgq6zfKH3jcB,before,yes,0,0,40,0,0,60,0,0,0,0,0,4,0,0,6,0,0,0,10,100,NA,NA,alone,NA,NA,alone,NA,NA,NA
R_000jgq6zfKH3jcB,after,yes,0,0,30,30,0,30,10,0,0,0,0,10.5,10.5,0,10.5,3.5,0,0,35,100,NA,NA,alone,alone,NA,alone,alone,NA,NA
R_2cd59QR5hZHKBZT,before,yes,0,40,0,0,0,40,0,20,0,0,6.4,0,0,0,6.4,0,3.2,0,16,100,NA,alone,NA,NA,NA,multiplayer,NA,multiplayer,NA
R_2cd59QR5hZHKBZT,after,yes,0,30,70,0,0,0,0,0,0,0,16.5,38.5,0,0,0,0,0,0,55,100,NA,multiplayer,multiplayer,NA,NA,NA,NA,NA,NA
R_3Kwm6MO1bfGie9a,before,yes,0,0,50,0,20,30,0,0,0,0,0,45,0,18,27,0,0,0,90,100,multiplayer,NA,alone,multiplayer,NA,multiplayer,NA,NA,NA
R_3Kwm6MO1bfGie9a,after,yes,0,0,80,0,0,20,0,0,0,0,0,83.2,0,0,20.8,0,0,0,104,100,NA,NA,multiplayer,NA,NA,multiplayer,NA,NA,NA
R_2dQRwob8W5KZXgY,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multiplayer,alone,alone,multiplayer,NA,NA,alone,multiplayer,multiplayer
R_2dQRwob8W5KZXgY,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multiplayer,alone,multiplayer,multiplayer,multiplayer,multiplayer,multiplayer,multiplayer,multiplayer
R_2tqUYhzsg6ITwD1,before,yes,0,0,25,0,0,50,0,25,0,0,0,8.75,0,0,17.5,0,8.75,0,35,100,NA,NA,multiplayer,NA,NA,alone,NA,alone,NA
R_2tqUYhzsg6ITwD1,after,yes,0,0,20,0,0,80,0,0,0,0,0,10,0,0,40,0,0,0,50,100,NA,NA,multiplayer,NA,NA,multiplayer,NA,NA,NA
R_1q9BHkV242D62cG,before,yes,0,20,20,0,0,20,0,40,0,0,6,6,0,0,6,0,12,0,30,100,NA,alone,alone,NA,NA,alone,alone,NA,NA
R_1q9BHkV242D62cG,after,yes,0,20,20,0,0,20,40,0,0,0,9,9,0,0,9,18,0,0,45,100,NA,alone,alone,NA,NA,alone,alone,NA,NA
R_1LCosfUrLhSMxRQ,before,yes,0,0,0,100,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,100,NA,NA,NA,alone,NA,NA,NA,NA,NA
R_1LCosfUrLhSMxRQ,after,yes,0,0,0,100,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,100,NA,NA,NA,alone,NA,NA,NA,NA,NA
R_2f82SUumXJ91Tm8,before,yes,0,20,10,40,0,10,0,20,0,0,12,6,24,0,6,0,12,0,60,100,NA,alone,alone,multiplayer,NA,alone,NA,alone,NA
R_2f82SUumXJ91Tm8,after,yes,0,30,10,10,0,40,0,10,0,0,27,9,9,0,36,0,9,0,90,100,NA,alone,alone,multiplayer,NA,alone,NA,alone,NA
R_3PjYxPdMelfAuAx,before,yes,0,0,40,20,0,40,0,0,0,0,0,10,5,0,10,0,0,0,25,100,NA,NA,alone,multiplayer,NA,alone,NA,NA,NA
R_3PjYxPdMelfAuAx,after,yes,0,0,0,0,0,100,0,0,0,0,0,0,0,0,30,0,0,0,30,100,NA,NA,NA,NA,NA,alone,NA,NA,NA
R_2tJtUaHMu03QTQ1,before,yes,0,80,0,0,20,0,0,0,0,0,8,0,0,2,0,0,0,0,10,100,alone,alone,NA,NA,multiplayer,NA,NA,NA,NA
R_2tJtUaHMu03QTQ1,after,yes,0,70,0,0,10,0,20,0,0,0,14,0,0,2,0,4,0,0,20,100,NA,multiplayer,NA,NA,multiplayer,NA,multiplayer,NA,NA
R_20NVUurOXIj6JN6,before,yes,0,5,20,50,1,20,1,1,2,0,2.25,9,22.5,0.45,9,0.45,0.45,0.9,45,100,NA,alone,multiplayer,multiplayer,NA,alone,NA,NA,NA
R_20NVUurOXIj6JN6,after,yes,0,10,20,70,0,0,0,0,0,0,3,6,21,0,0,0,0,0,30,100,NA,alone,multiplayer,multiplayer,NA,multiplayer,NA,NA,NA
R_1FKyUMNfVFCfhAP,before,yes,0,20,15,25,0,40,0,0,0,0,3,2.25,3.75,0,6,0,0,0,15,100,NA,alone,alone,alone,NA,alone,NA,NA,NA
R_1FKyUMNfVFCfhAP,after,yes,0,20,50,0,0,30,0,0,0,0,8.2,20.5,0,0,12.299999999999999,0,0,0,41,100,NA,multiplayer,alone,NA,NA,alone,NA,NA,NA
R_OPvs1zUpPEvZoEp,before,yes,0,0,30,70,0,0,0,0,0,0,0,7.199999999999999,16.8,0,0,0,0,0,24,100,NA,NA,multiplayer,multiplayer,NA,NA,NA,NA,NA
R_OPvs1zUpPEvZoEp,after,yes,0,0,0,100,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,100,NA,NA,NA,multiplayer,NA,NA,NA,NA,NA
R_54O3tQvET3fkQAV,before,yes,15,15,55,0,5,10,0,0,0,6.75,6.75,24.75,0,2.25,4.5,0,0,0,45,100,multiplayer,alone,multiplayer,multiplayer,multiplayer,alone,NA,NA,NA
R_54O3tQvET3fkQAV,after,yes,15,15,55,5,5,5,0,0,0,6.75,6.75,24.75,2.25,2.25,2.25,0,0,0,45,100,multiplayer,alone,multiplayer,multiplayer,multiplayer,alone,NA,NA,NA
R_2e2R7LJzpLYQiWW,before,yes,0,1,5,0,4,0,0,0,0,0,0.1,0.5,0,0.4,0,0,0,0,1,10,NA,alone,alone,NA,multiplayer,NA,NA,NA,NA
R_2e2R7LJzpLYQiWW,after,yes,0,2,18,0,0,0,0,0,0,0,0.4,3.6,0,0,0,0,0,0,4,20,NA,alone,alone,NA,NA,NA,NA,NA,NA
R_2Sq2mphrvRDkWOh,before,yes,0,0,75,0,0,0,25,0,0,0,0,3,0,0,0,1,0,0,4,100,NA,NA,multiplayer,NA,NA,NA,alone,NA,NA
R_2Sq2mphrvRDkWOh,after,yes,0,0,50,0,0,0,25,25,0,0,0,8,0,0,0,4,4,0,16,100,NA,NA,multiplayer,NA,NA,NA,alone,alone,NA
R_9Z70MwcyCsPC9X3,before,yes,0,5,80,0,0,0,0,15,0,0,0.75,12,0,0,0,0,2.25,0,15,100,NA,alone,multiplayer,NA,NA,NA,NA,alone,NA
R_9Z70MwcyCsPC9X3,after,yes,0,5,80,0,0,0,0,15,0,0,0.5,8,0,0,0,0,1.5,0,10,100,NA,alone,multiplayer,NA,NA,NA,NA,alone,NA
R_2zBXAI5qUYmV4DB,before,yes,0,5,30,0,0,65,0,0,0,0,1.25,7.5,0,0,16.25,0,0,0,25,100,NA,alone,alone,NA,NA,alone,NA,NA,NA
R_2zBXAI5qUYmV4DB,after,yes,0,5,40,15,0,40,0,0,0,0,2.25,18,6.75,0,18,0,0,0,45,100,NA,alone,alone,multiplayer,NA,alone,NA,NA,NA
R_1Ow1FDuzbwtWStS,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,multiplayer,NA,NA,multiplayer,multiplayer,NA,NA
R_1Ow1FDuzbwtWStS,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,multiplayer,NA,multiplayer,NA
R_SBupPeUb0kJ7NJL,before,yes,0,0,80,0,0,20,0,0,0,0,0,16,0,0,4,0,0,0,20,100,NA,NA,multiplayer,NA,NA,alone,NA,NA,NA
R_SBupPeUb0kJ7NJL,after,yes,0,0,40,0,0,20,40,0,0,0,0,14.399999999999999,0,0,7.199999999999999,14.399999999999999,0,0,36,100,NA,NA,multiplayer,NA,NA,alone,multiplayer,NA,NA
R_z7JR0f6BK2Ps1i1,before,yes,0,0,0,0,0,20,0,5,0,0,0,0,0,0,5,0,1.25,0,6.25,25,NA,NA,NA,NA,NA,alone,NA,alone,NA
R_z7JR0f6BK2Ps1i1,after,yes,0,0,0,0,0,25,0,7,5,0,0,0,0,0,9.25,0,2.59,1.85,13.69,37,NA,NA,NA,NA,NA,multiplayer,NA,alone,alone
R_0Ii8fPkhD9I10Yh,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,multiplayer,multiplayer,NA,NA,NA,NA,NA
R_0Ii8fPkhD9I10Yh,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,alone,multiplayer,NA,NA,NA,NA,NA
R_UoPiHE2v8sEVOJb,before,yes,0,25,25,0,0,50,0,0,0,0,1.7500000000000002,1.7500000000000002,0,0,3.5000000000000004,0,0,0,7.000000000000001,100,NA,alone,alone,NA,NA,alone,NA,NA,NA
R_UoPiHE2v8sEVOJb,after,yes,0,30,15,0,0,20,0,35,0,0,7.800000000000001,3.9000000000000004,0,0,5.2,0,9.1,0,26,100,NA,alone,alone,NA,NA,alone,NA,alone,NA
R_A5JYMcChIUBrgWJ,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alone,alone,NA,multiplayer,NA,NA,NA,NA,alone
R_A5JYMcChIUBrgWJ,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alone,alone,NA,multiplayer,multiplayer,NA,NA,NA,alone
R_1ls2eVKvEiK6S4N,before,yes,0,0,10,10,0,50,0,30,0,0,0,2.5,2.5,0,12.5,0,7.5,0,25,100,NA,NA,alone,multiplayer,NA,alone,NA,multiplayer,NA
R_1ls2eVKvEiK6S4N,after,yes,0,0,0,0,0,80,0,20,0,0,0,0,0,0,36,0,9,0,45,100,NA,NA,NA,NA,NA,alone,NA,multiplayer,NA
R_3efCQahFkiEWLUo,before,yes,0,0,40,0,0,60,0,0,0,0,0,4,0,0,6,0,0,0,10,100,NA,NA,multiplayer,NA,NA,multiplayer,NA,NA,NA
R_3efCQahFkiEWLUo,after,yes,0,0,15,0,0,85,0,0,0,0,0,3.3,0,0,18.7,0,0,0,22,100,NA,NA,multiplayer,NA,NA,multiplayer,NA,NA,NA
R_8CChr0q2zu0tWLf,before,yes,0,10,20,0,0,50,0,20,0,0,7,14,0,0,35,0,14,0,70,100,NA,alone,alone,NA,NA,alone,NA,alone,NA
R_8CChr0q2zu0tWLf,after,yes,0,5,10,0,0,60,0,25,0,0,5,10,0,0,60,0,25,0,100,100,NA,alone,alone,NA,NA,multiplayer,NA,alone,NA
R_3EtZJ865VyxA1dS,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,alone,multiplayer,NA,NA,alone,alone,NA,alone
R_3EtZJ865VyxA1dS,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,alone,alone,NA,multiplayer,alone,NA,NA,NA
R_1CkeSqHcTu6ioRR,before,yes,0,0,50,0,0,50,0,0,0,0,0,4,0,0,4,0,0,0,8,100,NA,NA,alone,NA,NA,alone,NA,NA,NA
