response_id,time,subscale,score
R_000jgq6zfKH3jcB,after,anxiety,21
R_000jgq6zfKH3jcB,after,depression,20
R_000jgq6zfKH3jcB,after,stress,24
R_000jgq6zfKH3jcB,before,anxiety,16
R_000jgq6zfKH3jcB,before,depression,14
R_000jgq6zfKH3jcB,before,stress,16
R_06y6RQMIag7OLT3,after,anxiety,7
R_06y6RQMIag7OLT3,after,depression,9.042105263157895
R_06y6RQMIag7OLT3,after,stress,7
R_06y6RQMIag7OLT3,before,anxiety,7
R_06y6RQMIag7OLT3,before,depression,8
R_06y6RQMIag7OLT3,before,stress,7
R_0Ii8fPkhD9I10Yh,after,anxiety,7
R_0Ii8fPkhD9I10Yh,after,depression,10
R_0Ii8fPkhD9I10Yh,after,stress,18
R_0Ii8fPkhD9I10Yh,before,anxiety,7
R_0Ii8fPkhD9I10Yh,before,depression,12
R_0Ii8fPkhD9I10Yh,before,stress,17
R_0pRhQEssmj1aIbT,after,anxiety,17
R_0pRhQEssmj1aIbT,after,depression,18
R_0pRhQEssmj1aIbT,after,stress,25
R_0pRhQEssmj1aIbT,before,anxiety,7
R_0pRhQEssmj1aIbT,before,depression,14
R_0pRhQEssmj1aIbT,before,stress,17
R_0vTXEcLGjOc6uRj,after,anxiety,8
R_0vTXEcLGjOc6uRj,after,depression,8
R_0vTXEcLGjOc6uRj,after,stress,10
R_0vTXEcLGjOc6uRj,before,anxiety,8
R_0vTXEcLGjOc6uRj,before,depression,8.764705882352942
R_0vTXEcLGjOc6uRj,before,stress,11
R_10IYWwAbUvh1Uhh,after,anxiety,9
R_10IYWwAbUvh1Uhh,after,depression,21
R_10IYWwAbUvh1Uhh,after,stress,15
R_10IYWwAbUvh1Uhh,before,anxiety,10
R_10IYWwAbUvh1Uhh,before,depression,18
R_10IYWwAbUvh1Uhh,before,stress,16
R_10TobIjLKGhA3cQ,after,anxiety,7
R_10TobIjLKGhA3cQ,after,depression,7
R_10TobIjLKGhA3cQ,after,stress,7
R_10TobIjLKGhA3cQ,before,anxiety,8
R_10TobIjLKGhA3cQ,before,depression,7
R_10TobIjLKGhA3cQ,before,stress,7
R_111rjgTikYEbPtb,after,anxiety,9
R_111rjgTikYEbPtb,after,depression,9
R_111rjgTikYEbPtb,after,stress,14
R_111rjgTikYEbPtb,before,anxiety,17
R_111rjgTikYEbPtb,before,depression,16
R_111rjgTikYEbPtb,before,stress,22
R_12LI8ats6sqsq4j,after,anxiety,13
R_12LI8ats6sqsq4j,after,depression,15
R_12LI8ats6sqsq4j,after,stress,13
R_12LI8ats6sqsq4j,before,anxiety,12
R_12LI8ats6sqsq4j,before,depression,14
R_12LI8ats6sqsq4j,before,stress,14
R_1CkeSqHcTu6ioRR,after,anxiety,7
R_1CkeSqHcTu6ioRR,after,depression,10
R_1CkeSqHcTu6ioRR,after,stress,10
R_1CkeSqHcTu6ioRR,before,anxiety,7
R_1CkeSqHcTu6ioRR,before,depression,8
R_1CkeSqHcTu6ioRR,before,stress,7
R_1cSrZsKJbMLVpfn,after,anxiety,8
R_1cSrZsKJbMLVpfn,after,depression,14
R_1cSrZsKJbMLVpfn,after,stress,9
R_1cSrZsKJbMLVpfn,before,anxiety,8
R_1cSrZsKJbMLVpfn,before,depression,12
R_1cSrZsKJbMLVpfn,before,stress,10
R_1Cy9Qzx0gi4C0n2,after,anxiety,10
R_1Cy9Qzx0gi4C0n2,after,depression,28
R_1Cy9Qzx0gi4C0n2,after,stress,26
R_1Cy9Qzx0gi4C0n2,before,anxiety,10
R_1Cy9Qzx0gi4C0n2,before,depression,19
R_1Cy9Qzx0gi4C0n2,before,stress,19
R_1DtGqgKOtlhl4vS,after,anxiety,11
R_1DtGqgKOtlhl4vS,after,depression,19
R_1DtGqgKOtlhl4vS,after,stress,16
R_1DtGqgKOtlhl4vS,before,anxiety,8
R_1DtGqgKOtlhl4vS,before,depression,8
R_1DtGqgKOtlhl4vS,before,stress,7
R_1E5vpihv0BCn2Jo,after,anxiety,13
R_1E5vpihv0BCn2Jo,after,depression,24
R_1E5vpihv0BCn2Jo,after,stress,19
R_1E5vpihv0BCn2Jo,before,anxiety,13
R_1E5vpihv0BCn2Jo,before,depression,22
R_1E5vpihv0BCn2Jo,before,stress,20
R_1eqNc6OUIYqj3s8,after,anxiety,7
R_1eqNc6OUIYqj3s8,after,depression,7
R_1eqNc6OUIYqj3s8,after,stress,7
R_1eqNc6OUIYqj3s8,before,anxiety,14
R_1eqNc6OUIYqj3s8,before,depression,10
R_1eqNc6OUIYqj3s8,before,stress,13
R_1FKyUMNfVFCfhAP,after,anxiety,9
R_1FKyUMNfVFCfhAP,after,depression,15
R_1FKyUMNfVFCfhAP,after,stress,15
R_1FKyUMNfVFCfhAP,before,anxiety,7
R_1FKyUMNfVFCfhAP,before,depression,12
R_1FKyUMNfVFCfhAP,before,stress,13
R_1Fl9AQQ2mrxHqGW,after,anxiety,7
R_1Fl9AQQ2mrxHqGW,after,depression,12
R_1Fl9AQQ2mrxHqGW,after,stress,13
R_1Fl9AQQ2mrxHqGW,before,anxiety,7
