response_id,time,subscale,score
R_000jgq6zfKH3jcB,after,amotivation,24
R_000jgq6zfKH3jcB,after,external_regulation,28
R_000jgq6zfKH3jcB,after,identified_regulation,24
R_000jgq6zfKH3jcB,after,instrinsic_motivation,28
R_000jgq6zfKH3jcB,after,introjected_regulation,24
R_000jgq6zfKH3jcB,after,itegrated_regulation,24
R_000jgq6zfKH3jcB,before,amotivation,22
R_000jgq6zfKH3jcB,before,external_regulation,26
R_000jgq6zfKH3jcB,before,identified_regulation,22
R_000jgq6zfKH3jcB,before,instrinsic_motivation,24
R_000jgq6zfKH3jcB,before,introjected_regulation,18
R_000jgq6zfKH3jcB,before,itegrated_regulation,24
R_06y6RQMIag7OLT3,after,amotivation,6
R_06y6RQMIag7OLT3,after,external_regulation,20
R_06y6RQMIag7OLT3,after,identified_regulation,6
R_06y6RQMIag7OLT3,after,instrinsic_motivation,30
R_06y6RQMIag7OLT3,after,introjected_regulation,8
R_06y6RQMIag7OLT3,after,itegrated_regulation,16
R_06y6RQMIag7OLT3,before,amotivation,6
R_06y6RQMIag7OLT3,before,external_regulation,22
R_06y6RQMIag7OLT3,before,identified_regulation,8
R_06y6RQMIag7OLT3,before,instrinsic_motivation,22
R_06y6RQMIag7OLT3,before,introjected_regulation,8
R_06y6RQMIag7OLT3,before,itegrated_regulation,14
R_0pRhQEssmj1aIbT,after,amotivation,6
R_0pRhQEssmj1aIbT,after,external_regulation,14
R_0pRhQEssmj1aIbT,after,identified_regulation,28
R_0pRhQEssmj1aIbT,after,instrinsic_motivation,34
R_0pRhQEssmj1aIbT,after,introjected_regulation,14
R_0pRhQEssmj1aIbT,after,itegrated_regulation,32
R_0pRhQEssmj1aIbT,before,amotivation,6
R_0pRhQEssmj1aIbT,before,external_regulation,14
R_0pRhQEssmj1aIbT,before,identified_regulation,26
R_0pRhQEssmj1aIbT,before,instrinsic_motivation,30
R_0pRhQEssmj1aIbT,before,introjected_regulation,8
R_0pRhQEssmj1aIbT,before,itegrated_regulation,32
R_0vTXEcLGjOc6uRj,after,amotivation,6
R_0vTXEcLGjOc6uRj,after,external_regulation,18
R_0vTXEcLGjOc6uRj,after,identified_regulation,24
R_0vTXEcLGjOc6uRj,after,instrinsic_motivation,32
R_0vTXEcLGjOc6uRj,after,introjected_regulation,8
R_0vTXEcLGjOc6uRj,after,itegrated_regulation,36
R_0vTXEcLGjOc6uRj,before,amotivation,6
