response_id,time,score
R_000jgq6zfKH3jcB,after,7
R_000jgq6zfKH3jcB,before,5
R_06y6RQMIag7OLT3,after,3
R_06y6RQMIag7OLT3,before,6
R_0pRhQEssmj1aIbT,after,5
R_0pRhQEssmj1aIbT,before,4
R_0vTXEcLGjOc6uRj,after,3
R_0vTXEcLGjOc6uRj,before,3
R_10TobIjLKGhA3cQ,after,3
R_10TobIjLKGhA3cQ,before,4
R_111rjgTikYEbPtb,after,3
R_111rjgTikYEbPtb,before,4
R_12LI8ats6sqsq4j,after,5
R_12LI8ats6sqsq4j,before,5
R_1CkeSqHcTu6ioRR,after,4
R_1CkeSqHcTu6ioRR,before,3
R_1cSrZsKJbMLVpfn,after,7
R_1cSrZsKJbMLVpfn,before,7
R_1DtGqgKOtlhl4vS,after,5
R_1DtGqgKOtlhl4vS,before,3
R_1E5vpihv0BCn2Jo,after,9
R_1E5vpihv0BCn2Jo,before,8
R_1eqNc6OUIYqj3s8,after,3
R_1eqNc6OUIYqj3s8,before,3
R_1FKyUMNfVFCfhAP,after,4
R_1FKyUMNfVFCfhAP,before,5
R_1Fl9AQQ2mrxHqGW,after,7
R_1Fl9AQQ2mrxHqGW,before,4
R_1FxCH5IloFh2zpE,after,6
R_1FxCH5IloFh2zpE,before,5
R_1GKJM6pEM2FrpLP,after,3
R_1GKJM6pEM2FrpLP,before,3
R_1H78Zq7MMV4bmUw,after,3
R_1H78Zq7MMV4bmUw,before,3
R_1HbCUjufNKWfBV4,after,6
R_1HbCUjufNKWfBV4,before,7
R_1ImlmXBKKlXZVm0,after,6
R_1ImlmXBKKlXZVm0,before,5
R_1isdeJ0akLVA05z,after,6
R_1isdeJ0akLVA05z,before,6
R_1jf9Sx7JAoAu6dB,after,6
R_1jf9Sx7JAoAu6dB,before,4
R_1jkddLsj0iUCBlG,after,7
R_1jkddLsj0iUCBlG,before,5
R_1jptKS7BPpIT1cD,after,7
R_1jptKS7BPpIT1cD,before,6
R_1K1Fc63G8b1FSAP,after,4
R_1K1Fc63G8b1FSAP,before,3
R_1Ka3YhFFxRPhu6A,after,6
R_1Ka3YhFFxRPhu6A,before,4
R_1LCosfUrLhSMxRQ,after,4
R_1LCosfUrLhSMxRQ,before,3
R_1ls2eVKvEiK6S4N,after,5
R_1ls2eVKvEiK6S4N,before,4
R_1M5w3AllKLTG9vr,after,5
R_1M5w3AllKLTG9vr,before,3
R_1mEDv9S4U18sxZe,after,8
R_1mEDv9S4U18sxZe,before,8
R_1mIvz4scUnVKLx7,after,8
R_1mIvz4scUnVKLx7,before,7
R_1MXmVmetdFpHiB4,after,9
R_1MXmVmetdFpHiB4,before,6
R_1N9O72YdQ4GZFDi,after,7
R_1N9O72YdQ4GZFDi,before,4
R_1Nady9hvbIvDcLg,after,9
R_1Nady9hvbIvDcLg,before,8
R_1NfE7qpbaFYk306,after,4
R_1NfE7qpbaFYk306,before,4
R_1NmQkOcQT42agWF,after,6
R_1NmQkOcQT42agWF,before,6
R_1nSWaU6aHeoCVz1,after,5
R_1nSWaU6aHeoCVz1,before,5
R_1OIk0siawnKDTiy,after,5
R_1OIk0siawnKDTiy,before,3
R_1OVLo23ZSViJv0e,after,6
R_1OVLo23ZSViJv0e,before,3
R_1PYHLXLRtVtLKCC,after,3
R_1PYHLXLRtVtLKCC,before,3
R_1pYYllRKHfnN46F,after,9
R_1pYYllRKHfnN46F,before,9
R_1q9BHkV242D62cG,after,9
R_1q9BHkV242D62cG,before,8
R_20NVUurOXIj6JN6,after,9
R_20NVUurOXIj6JN6,before,9
R_21vy4qSSLUBhkI5,after,5
R_21vy4qSSLUBhkI5,before,6
R_23Ulx9Mu6ClxGOJ,after,6
R_23Ulx9Mu6ClxGOJ,before,6
R_24isskypHAzj6a4,after,6
R_24isskypHAzj6a4,before,6
R_25z3VIIwpNMoGjS,after,6
R_25z3VIIwpNMoGjS,before,4
R_273DuWgjgujvJYE,after,4
R_273DuWgjgujvJYE,before,4
R_27D28zcmps8GRka,after,6
R_27D28zcmps8GRka,before,6
R_27ExcEAbe7WWZAY,after,8
R_27ExcEAbe7WWZAY,before,5
R_28NVjdZPvV2fLBs,after,9
R_28NVjdZPvV2fLBs,before,9
R_2947NV0sa0o6uqa,after,3
R_2947NV0sa0o6uqa,before,4
R_29gj9i4nykxouwi,after,6
R_29gj9i4nykxouwi,before,6
R_29sTVuZYJRxiKzv,after,5
R_29sTVuZYJRxiKzv,before,3
R_2aM58IL6PRjl31M,after,9
R_2aM58IL6PRjl31M,before,6
R_2ARphcLKbG8pCbs,after,4
R_2ARphcLKbG8pCbs,before,3
R_2B4II5QqOBTuBsc,after,9
R_2B4II5QqOBTuBsc,before,8
R_2bVGOK2omxjKHpn,after,6
R_2bVGOK2omxjKHpn,before,6
R_2CB7Tu6CfOt3tUN,after,5
R_2CB7Tu6CfOt3tUN,before,6
R_2cd59QR5hZHKBZT,after,6
R_2cd59QR5hZHKBZT,before,9
R_2cdROg831T1vhEC,after,5
R_2cdROg831T1vhEC,before,5
R_2Clwma6pSIEIvrW,after,3
R_2Clwma6pSIEIvrW,before,3
R_2CTWdkSw6ViCuJq,after,3
R_2CTWdkSw6ViCuJq,before,4
R_2CvKeTojbEMdWFy,after,3
R_2CvKeTojbEMdWFy,before,3
R_2DZSUz54Rl39uyo,after,6
R_2DZSUz54Rl39uyo,before,3
R_2e2R7LJzpLYQiWW,after,7
R_2e2R7LJzpLYQiWW,before,3
R_2E4NIJT672CNqhY,after,3
R_2E4NIJT672CNqhY,before,3
R_2fIesR987yHKjDw,after,7
R_2fIesR987yHKjDw,before,4
R_2fvruv9ZivyF7o5,after,6
R_2fvruv9ZivyF7o5,before,6
R_2OPDHtEfJyTCxsv,after,9
R_2OPDHtEfJyTCxsv,before,6
R_2OYGHuXGBqkz2JB,after,3
R_2OYGHuXGBqkz2JB,before,3
R_2qaBXyfNpVCNqWK,after,4
R_2qaBXyfNpVCNqWK,before,7
R_2qrC4O6fVkjwiry,after,4
R_2qrC4O6fVkjwiry,before,4
R_2QzW5HTDKSQoIdW,after,3
R_2QzW5HTDKSQoIdW,before,3
R_2R97eLv3ogd7F2s,after,3
R_2R97eLv3ogd7F2s,before,3
R_2rPjSQLcIC8CDty,after,5
R_2rPjSQLcIC8CDty,before,3
R_2SeikFcu2AS9w7X,after,3
R_2SeikFcu2AS9w7X,before,4
R_2SH3IlYMix1JYmN,after,3
R_2SH3IlYMix1JYmN,before,3
R_2Sq2mphrvRDkWOh,after,5
R_2Sq2mphrvRDkWOh,before,4
R_2TG0VS1cyTZTOII,after,3
R_2TG0VS1cyTZTOII,before,3
R_2tJtUaHMu03QTQ1,after,9
R_2tJtUaHMu03QTQ1,before,8
R_2tqUYhzsg6ITwD1,after,5
R_2tqUYhzsg6ITwD1,before,7
R_2trlnajiLWtBHVS,after,8
R_2trlnajiLWtBHVS,before,8
R_2TSJxMqN9gOlUOV,after,4
R_2TSJxMqN9gOlUOV,before,5
R_2VkJBjNuuyAttyZ,after,9
R_2VkJBjNuuyAttyZ,before,4
R_2vZKXOkrXwQOPM0,after,8
R_2vZKXOkrXwQOPM0,before,4
R_2w0lomFwVXQMEH5,after,3
R_2w0lomFwVXQMEH5,before,3
R_2wmnaQBPNB7V2gM,after,6
R_2wmnaQBPNB7V2gM,before,6
R_2XcEmd1YzcIXw1Y,after,4
R_2XcEmd1YzcIXw1Y,before,5
R_2YJKbEV4DDO8Lc0,after,8
R_2YJKbEV4DDO8Lc0,before,6
R_2yrXHzzzgNeI0Ry,after,3
R_2yrXHzzzgNeI0Ry,before,3
R_2YyK6503UwmpO2W,after,4
R_2YyK6503UwmpO2W,before,4
R_2YyT0OjStuntyXf,after,9
R_2YyT0OjStuntyXf,before,9
R_2zBXAI5qUYmV4DB,after,5
R_2zBXAI5qUYmV4DB,before,6
R_2zUqq1urUzBGq6C,after,5
R_2zUqq1urUzBGq6C,before,5
R_30uRCB7vSqjK8Tf,after,6
R_30uRCB7vSqjK8Tf,before,7
R_31LSyq6W3sTmpY5,after,7
R_31LSyq6W3sTmpY5,before,9
R_33m18XGfnq4Vj9o,after,4
R_33m18XGfnq4Vj9o,before,4
R_3asqcGii6ulHk9X,after,5
R_3asqcGii6ulHk9X,before,3
R_3DcJPhdo2DHBes3,after,7
R_3DcJPhdo2DHBes3,before,7
R_3e1VGffpt89tw8h,after,9
R_3e1VGffpt89tw8h,before,7
R_3efCQahFkiEWLUo,after,5
R_3efCQahFkiEWLUo,before,4
R_3G0VtsBQfB5T8jI,after,3
R_3G0VtsBQfB5T8jI,before,3
R_3gYE1Oyb2ecCXAO,after,4
R_3gYE1Oyb2ecCXAO,before,3
R_3hEAA1sGTLuhlZP,after,9
R_3hEAA1sGTLuhlZP,before,3
R_3HpP9AcM8KfmlN5,after,7
R_3HpP9AcM8KfmlN5,before,6
R_3HS9n2GsIIHkDkT,after,3
R_3HS9n2GsIIHkDkT,before,3
R_3hywX9R1oSIynmb,after,8
R_3hywX9R1oSIynmb,before,5
R_3JecnAA27cFGR9J,after,4
R_3JecnAA27cFGR9J,before,3
R_3jV6I52yPFAZ8oy,after,6
R_3jV6I52yPFAZ8oy,before,6
R_3KCvZebmGxmSVat,after,5
R_3KCvZebmGxmSVat,before,5
R_3koLHqG1bLK3yy5,after,6
R_3koLHqG1bLK3yy5,before,6
R_3lxovCWhEaeqaCs,after,8
R_3lxovCWhEaeqaCs,before,7
R_3m4gEtF4OFDZWgM,after,3
R_3m4gEtF4OFDZWgM,before,3
R_3M4IeaDW99mC9dK,after,6
R_3M4IeaDW99mC9dK,before,7
R_3n2iadGDdM5zQ7k,after,4
R_3n2iadGDdM5zQ7k,before,3
R_3ne0xvsnUk3Dg2b,after,8
R_3ne0xvsnUk3Dg2b,before,3
R_3O0Oame9dqBbP5b,after,4
R_3O0Oame9dqBbP5b,before,4
R_3PAINhZstYwZKnG,after,6
R_3PAINhZstYwZKnG,before,6
R_3pajSVQnjGXyVpt,after,7
R_3pajSVQnjGXyVpt,before,7
R_3PjYxPdMelfAuAx,after,9
R_3PjYxPdMelfAuAx,before,9
R_3scUafsIK61edPZ,after,7
R_3scUafsIK61edPZ,before,3
R_3VJUdRxHSSY9KRH,after,6
R_3VJUdRxHSSY9KRH,before,6
R_4IVTY228ghNiU4V,after,5
R_4IVTY228ghNiU4V,before,5
R_54O3tQvET3fkQAV,after,7
R_54O3tQvET3fkQAV,before,6
R_6kZae0087zktvOx,after,5
R_6kZae0087zktvOx,before,5
R_8jHHv1qsC7vCAz7,after,4
R_8jHHv1qsC7vCAz7,before,3
R_9tazVdP7WtK9BAJ,after,6
R_9tazVdP7WtK9BAJ,before,3
R_9Z70MwcyCsPC9X3,after,7
R_9Z70MwcyCsPC9X3,before,6
R_b25c1SzzqBXhNlf,after,9
R_b25c1SzzqBXhNlf,before,9
R_b3OqdK3QYKKuHYd,after,5
R_b3OqdK3QYKKuHYd,before,6
R_BDGcUeEGjSpIacN,after,9
R_BDGcUeEGjSpIacN,before,6
R_BPqFXh1wkgyB1Tz,after,9
R_BPqFXh1wkgyB1Tz,before,8
R_brWqcjWNLR2SR6p,after,6
R_brWqcjWNLR2SR6p,before,3
R_BSsMj7rx2Tnixot,after,5
R_BSsMj7rx2Tnixot,before,5
R_BueCPimsWc9Utd7,after,3
R_BueCPimsWc9Utd7,before,4
R_DejQ8cSCeZ4rekp,after,9
R_DejQ8cSCeZ4rekp,before,7
R_Oju76sshryv7YAh,after,7
R_Oju76sshryv7YAh,before,5
R_OP7imJenh3QEzHr,after,9
R_OP7imJenh3QEzHr,before,9
R_OPvs1zUpPEvZoEp,after,3
R_OPvs1zUpPEvZoEp,before,3
R_p5CA0SZn571DSEN,after,6
R_p5CA0SZn571DSEN,before,4
R_piX57LSmaReTby1,after,4
R_piX57LSmaReTby1,before,4
R_pJBqW9a6blfxMnn,after,6
R_pJBqW9a6blfxMnn,before,5
R_R80uXkBmWsWOzfP,after,3
