response_id,loneliness_before,loneliness_after
R_000jgq6zfKH3jcB,5,7
R_06y6RQMIag7OLT3,6,3
R_0pRhQEssmj1aIbT,4,5
R_0vTXEcLGjOc6uRj,3,3
R_10TobIjLKGhA3cQ,4,3
R_111rjgTikYEbPtb,4,3
R_12LI8ats6sqsq4j,5,5
R_1CkeSqHcTu6ioRR,3,4
R_1cSrZsKJbMLVpfn,7,7
R_1DtGqgKOtlhl4vS,3,5
R_1E5vpihv0BCn2Jo,8,9
R_1eqNc6OUIYqj3s8,3,3
R_1FKyUMNfVFCfhAP,5,4
R_1Fl9AQQ2mrxHqGW,4,7
R_1GKJM6pEM2FrpLP,3,3
R_1H78Zq7MMV4bmUw,3,3
R_1HbCUjufNKWfBV4,7,6
R_1ImlmXBKKlXZVm0,5,6
R_1isdeJ0akLVA05z,6,6
R_1jf9Sx7JAoAu6dB,4,6
R_1jkddLsj0iUCBlG,5,7
R_1jptKS7BPpIT1cD,6,7
R_1K1Fc63G8b1FSAP,3,4
R_1Ka3YhFFxRPhu6A,4,6
R_1LCosfUrLhSMxRQ,3,4
R_1ls2eVKvEiK6S4N,4,5
R_1M5w3AllKLTG9vr,3,5
R_1mEDv9S4U18sxZe,8,8
R_1mIvz4scUnVKLx7,7,8
R_1MXmVmetdFpHiB4,6,9
R_1N9O72YdQ4GZFDi,4,7
R_1Nady9hvbIvDcLg,8,9
R_1NfE7qpbaFYk306,4,4
R_1NmQkOcQT42agWF,6,6
R_1nSWaU6aHeoCVz1,5,5
R_1OIk0siawnKDTiy,3,5
R_1OVLo23ZSViJv0e,3,6
R_1PYHLXLRtVtLKCC,3,3
R_1pYYllRKHfnN46F,9,9
R_1q9BHkV242D62cG,8,9
R_20NVUurOXIj6JN6,9,9
R_21vy4qSSLUBhkI5,6,5
R_23Ulx9Mu6ClxGOJ,6,6
R_24isskypHAzj6a4,6,6
R_25z3VIIwpNMoGjS,4,6
R_27D28zcmps8GRka,6,6
R_27ExcEAbe7WWZAY,5,8
R_28NVjdZPvV2fLBs,9,9
R_2947NV0sa0o6uqa,4,3
R_29gj9i4nykxouwi,6,6
R_29sTVuZYJRxiKzv,3,5
R_2aM58IL6PRjl31M,6,9
R_2ARphcLKbG8pCbs,3,4
R_2B4II5QqOBTuBsc,8,9
R_2bVGOK2omxjKHpn,6,6
R_2CB7Tu6CfOt3tUN,6,5
R_2cd59QR5hZHKBZT,9,6
R_2cdROg831T1vhEC,5,5
R_2Clwma6pSIEIvrW,3,3
R_2CTWdkSw6ViCuJq,4,3
R_2CvKeTojbEMdWFy,3,3
R_2DZSUz54Rl39uyo,3,6
R_2e2R7LJzpLYQiWW,3,7
R_2E4NIJT672CNqhY,3,3
R_2fIesR987yHKjDw,4,7
R_2fvruv9ZivyF7o5,6,6
R_2OPDHtEfJyTCxsv,6,9
R_2OYGHuXGBqkz2JB,3,3
R_2qrC4O6fVkjwiry,4,4
R_2QzW5HTDKSQoIdW,3,3
R_2R97eLv3ogd7F2s,3,3
R_2rPjSQLcIC8CDty,3,5
R_2SeikFcu2AS9w7X,4,3
R_2SH3IlYMix1JYmN,3,3
R_2Sq2mphrvRDkWOh,4,5
R_2TG0VS1cyTZTOII,3,3
R_2tJtUaHMu03QTQ1,8,9
R_2tqUYhzsg6ITwD1,7,5
R_2trlnajiLWtBHVS,8,8
R_2TSJxMqN9gOlUOV,5,4
R_2VkJBjNuuyAttyZ,4,9
R_2vZKXOkrXwQOPM0,4,8
R_2wmnaQBPNB7V2gM,6,6
R_2XcEmd1YzcIXw1Y,5,4
R_2YJKbEV4DDO8Lc0,6,8
R_2yrXHzzzgNeI0Ry,3,3
R_2YyK6503UwmpO2W,4,4
R_2YyT0OjStuntyXf,9,9
R_2zBXAI5qUYmV4DB,6,5
R_2zUqq1urUzBGq6C,5,5
R_30uRCB7vSqjK8Tf,7,6
R_31LSyq6W3sTmpY5,9,7
R_33m18XGfnq4Vj9o,4,4
R_3asqcGii6ulHk9X,3,5
R_3DcJPhdo2DHBes3,7,7
R_3e1VGffpt89tw8h,7,9
R_3efCQahFkiEWLUo,4,5
R_3G0VtsBQfB5T8jI,3,3
R_3gYE1Oyb2ecCXAO,3,4
R_3hEAA1sGTLuhlZP,3,9
R_3HpP9AcM8KfmlN5,6,7
R_3HS9n2GsIIHkDkT,3,3
R_3hywX9R1oSIynmb,5,8
R_3JecnAA27cFGR9J,3,4
R_3jV6I52yPFAZ8oy,6,6
R_3KCvZebmGxmSVat,5,5
R_3koLHqG1bLK3yy5,6,6
R_3lxovCWhEaeqaCs,7,8
R_3m4gEtF4OFDZWgM,3,3
R_3M4IeaDW99mC9dK,7,6
R_3n2iadGDdM5zQ7k,3,4
R_3ne0xvsnUk3Dg2b,3,8
R_3O0Oame9dqBbP5b,4,4
R_3PAINhZstYwZKnG,6,6
R_3pajSVQnjGXyVpt,7,7
R_3PjYxPdMelfAuAx,9,9
R_3scUafsIK61edPZ,3,7
R_3VJUdRxHSSY9KRH,6,6
