response_id,lockdown_period,subscale,item,score
R_3L0dsQEmJBoz6CB,before,instrinsic_motivation,1,6
R_3L0dsQEmJBoz6CB,before,instrinsic_motivation,2,5
R_3L0dsQEmJBoz6CB,before,instrinsic_motivation,3,5
R_3L0dsQEmJBoz6CB,before,integrated_regulation,4,6
R_3L0dsQEmJBoz6CB,before,integrated_regulation,5,5
R_3L0dsQEmJBoz6CB,before,integrated_regulation,6,3
R_3L0dsQEmJBoz6CB,before,identified_regulation,7,2
R_3L0dsQEmJBoz6CB,before,identified_regulation,8,6
R_3L0dsQEmJBoz6CB,before,identified_regulation,9,6
R_3L0dsQEmJBoz6CB,before,introjected_regulation,10,6
R_3L0dsQEmJBoz6CB,before,introjected_regulation,11,2
R_3L0dsQEmJBoz6CB,before,introjected_regulation,12,2
R_3L0dsQEmJBoz6CB,before,external_regulation,13,6
R_3L0dsQEmJBoz6CB,before,external_regulation,14,4
R_3L0dsQEmJBoz6CB,before,external_regulation,15,3
R_3L0dsQEmJBoz6CB,before,amotivation,16,6
R_3L0dsQEmJBoz6CB,before,amotivation,17,4
R_3L0dsQEmJBoz6CB,before,amotivation,18,5
R_3L0dsQEmJBoz6CB,during,instrinsic_motivation,1,5
R_3L0dsQEmJBoz6CB,during,instrinsic_motivation,2,4
R_3L0dsQEmJBoz6CB,during,instrinsic_motivation,3,4
R_3L0dsQEmJBoz6CB,during,integrated_regulation,4,2
R_3L0dsQEmJBoz6CB,during,integrated_regulation,5,4
R_3L0dsQEmJBoz6CB,during,integrated_regulation,6,4
R_3L0dsQEmJBoz6CB,during,identified_regulation,7,2
R_3L0dsQEmJBoz6CB,during,identified_regulation,8,5
R_3L0dsQEmJBoz6CB,during,identified_regulation,9,5
R_3L0dsQEmJBoz6CB,during,introjected_regulation,10,5
R_3L0dsQEmJBoz6CB,during,introjected_regulation,11,3
R_3L0dsQEmJBoz6CB,during,introjected_regulation,12,3
R_3L0dsQEmJBoz6CB,during,external_regulation,13,6
R_3L0dsQEmJBoz6CB,during,external_regulation,14,6
R_3L0dsQEmJBoz6CB,during,external_regulation,15,4
R_3L0dsQEmJBoz6CB,during,amotivation,16,6
R_3L0dsQEmJBoz6CB,during,amotivation,17,6
R_3L0dsQEmJBoz6CB,during,amotivation,18,6
R_55QtESMR1CmR1bb,before,instrinsic_motivation,1,5
R_55QtESMR1CmR1bb,before,instrinsic_motivation,2,2
R_55QtESMR1CmR1bb,before,instrinsic_motivation,3,4
R_55QtESMR1CmR1bb,before,integrated_regulation,4,4
