response_id,game,lockdown_period,hours,regularly_play
R_3L0dsQEmJBoz6CB,1,before,NA,yes
R_3L0dsQEmJBoz6CB,2,before,NA,yes
R_3L0dsQEmJBoz6CB,3,before,21,yes
R_3L0dsQEmJBoz6CB,4,before,40,yes
R_3L0dsQEmJBoz6CB,5,before,NA,yes
R_3L0dsQEmJBoz6CB,6,before,NA,yes
R_3L0dsQEmJBoz6CB,7,before,NA,yes
R_3L0dsQEmJBoz6CB,8,before,NA,yes
R_3L0dsQEmJBoz6CB,9,before,NA,yes
R_3L0dsQEmJBoz6CB,1,during,NA,yes
R_3L0dsQEmJBoz6CB,2,during,NA,yes
R_3L0dsQEmJBoz6CB,3,during,20,yes
R_3L0dsQEmJBoz6CB,4,during,25,yes
R_3L0dsQEmJBoz6CB,5,during,NA,yes
R_3L0dsQEmJBoz6CB,6,during,NA,yes
R_3L0dsQEmJBoz6CB,7,during,NA,yes
R_3L0dsQEmJBoz6CB,8,during,NA,yes
R_3L0dsQEmJBoz6CB,9,during,NA,yes
R_55QtESMR1CmR1bb,1,before,NA,yes
R_55QtESMR1CmR1bb,2,before,14,yes
R_55QtESMR1CmR1bb,3,before,NA,yes
R_55QtESMR1CmR1bb,4,before,NA,yes
R_55QtESMR1CmR1bb,5,before,NA,yes
R_55QtESMR1CmR1bb,6,before,11,yes
R_55QtESMR1CmR1bb,7,before,NA,yes
R_55QtESMR1CmR1bb,8,before,10,yes
R_55QtESMR1CmR1bb,9,before,NA,yes
R_55QtESMR1CmR1bb,1,during,NA,yes
R_55QtESMR1CmR1bb,2,during,NA,yes
R_55QtESMR1CmR1bb,3,during,NA,yes
R_55QtESMR1CmR1bb,4,during,NA,yes
R_55QtESMR1CmR1bb,5,during,NA,yes
R_55QtESMR1CmR1bb,6,during,10,yes
R_55QtESMR1CmR1bb,7,during,NA,yes
R_55QtESMR1CmR1bb,8,during,NA,yes
R_55QtESMR1CmR1bb,9,during,NA,yes
R_egrPbOmESOQ7LH3,1,before,NA,yes
R_egrPbOmESOQ7LH3,2,before,NA,yes
R_egrPbOmESOQ7LH3,3,before,4,yes
R_egrPbOmESOQ7LH3,4,before,15,yes
R_egrPbOmESOQ7LH3,5,before,NA,yes
R_egrPbOmESOQ7LH3,6,before,NA,yes
R_egrPbOmESOQ7LH3,7,before,NA,yes
R_egrPbOmESOQ7LH3,8,before,NA,yes
R_egrPbOmESOQ7LH3,9,before,NA,yes
R_egrPbOmESOQ7LH3,1,during,NA,yes
R_egrPbOmESOQ7LH3,2,during,NA,yes
R_egrPbOmESOQ7LH3,3,during,4,yes
R_egrPbOmESOQ7LH3,4,during,15,yes
R_egrPbOmESOQ7LH3,5,during,NA,yes
R_egrPbOmESOQ7LH3,6,during,4,yes
R_egrPbOmESOQ7LH3,7,during,NA,yes
R_egrPbOmESOQ7LH3,8,during,NA,yes
R_egrPbOmESOQ7LH3,9,during,NA,yes
R_1DM7yYCOiYR4ya2,1,before,7,yes
R_1DM7yYCOiYR4ya2,2,before,NA,yes
R_1DM7yYCOiYR4ya2,3,before,12,yes
R_1DM7yYCOiYR4ya2,4,before,NA,yes
R_1DM7yYCOiYR4ya2,5,before,NA,yes
R_1DM7yYCOiYR4ya2,6,before,4,yes
R_1DM7yYCOiYR4ya2,7,before,NA,yes
R_1DM7yYCOiYR4ya2,8,before,NA,yes
R_1DM7yYCOiYR4ya2,9,before,NA,yes
R_1DM7yYCOiYR4ya2,1,during,15,yes
R_1DM7yYCOiYR4ya2,2,during,NA,yes
R_1DM7yYCOiYR4ya2,3,during,20,yes
R_1DM7yYCOiYR4ya2,4,during,NA,yes
R_1DM7yYCOiYR4ya2,5,during,NA,yes
R_1DM7yYCOiYR4ya2,6,during,NA,yes
R_1DM7yYCOiYR4ya2,7,during,NA,yes
R_1DM7yYCOiYR4ya2,8,during,NA,yes
R_1DM7yYCOiYR4ya2,9,during,6,yes
R_A672rfL6ej9Rq8h,1,before,NA,no
R_A672rfL6ej9Rq8h,2,before,NA,no
R_A672rfL6ej9Rq8h,3,before,NA,no
R_A672rfL6ej9Rq8h,4,before,NA,no
R_A672rfL6ej9Rq8h,5,before,NA,no
R_A672rfL6ej9Rq8h,6,before,NA,no
R_A672rfL6ej9Rq8h,7,before,NA,no
R_A672rfL6ej9Rq8h,8,before,NA,no
R_A672rfL6ej9Rq8h,9,before,NA,no
R_A672rfL6ej9Rq8h,1,during,NA,yes
R_A672rfL6ej9Rq8h,2,during,10,yes
R_A672rfL6ej9Rq8h,3,during,20,yes
R_A672rfL6ej9Rq8h,4,during,NA,yes
R_A672rfL6ej9Rq8h,5,during,10,yes
R_A672rfL6ej9Rq8h,6,during,NA,yes
R_A672rfL6ej9Rq8h,7,during,NA,yes
R_A672rfL6ej9Rq8h,8,during,NA,yes
R_A672rfL6ej9Rq8h,9,during,NA,yes
R_3nIcJNaem29eD3m,1,before,20,yes
R_3nIcJNaem29eD3m,2,before,NA,yes
R_3nIcJNaem29eD3m,3,before,20,yes
R_3nIcJNaem29eD3m,4,before,10,yes
R_3nIcJNaem29eD3m,5,before,NA,yes
R_3nIcJNaem29eD3m,6,before,15,yes
R_3nIcJNaem29eD3m,7,before,NA,yes
R_3nIcJNaem29eD3m,8,before,10,yes
R_3nIcJNaem29eD3m,9,before,NA,yes
R_3nIcJNaem29eD3m,1,during,20,yes
R_3nIcJNaem29eD3m,2,during,NA,yes
R_3nIcJNaem29eD3m,3,during,20,yes
R_3nIcJNaem29eD3m,4,during,20,yes
R_3nIcJNaem29eD3m,5,during,NA,yes
R_3nIcJNaem29eD3m,6,during,10,yes
R_3nIcJNaem29eD3m,7,during,NA,yes
R_3nIcJNaem29eD3m,8,during,NA,yes
R_3nIcJNaem29eD3m,9,during,NA,yes
R_3IXNsI0MDPSrAEU,1,before,15,yes
R_3IXNsI0MDPSrAEU,2,before,10,yes
R_3IXNsI0MDPSrAEU,3,before,NA,yes
R_3IXNsI0MDPSrAEU,4,before,NA,yes
R_3IXNsI0MDPSrAEU,5,before,4,yes
R_3IXNsI0MDPSrAEU,6,before,8,yes
R_3IXNsI0MDPSrAEU,7,before,NA,yes
R_3IXNsI0MDPSrAEU,8,before,NA,yes
R_3IXNsI0MDPSrAEU,9,before,2,yes
R_3IXNsI0MDPSrAEU,1,during,9,yes
R_3IXNsI0MDPSrAEU,2,during,6,yes
R_3IXNsI0MDPSrAEU,3,during,NA,yes
R_3IXNsI0MDPSrAEU,4,during,NA,yes
R_3IXNsI0MDPSrAEU,5,during,NA,yes
R_3IXNsI0MDPSrAEU,6,during,NA,yes
R_3IXNsI0MDPSrAEU,7,during,NA,yes
R_3IXNsI0MDPSrAEU,8,during,NA,yes
R_3IXNsI0MDPSrAEU,9,during,13,yes
R_3mltujcfVRDBFwo,1,before,NA,no
R_3mltujcfVRDBFwo,2,before,NA,no
R_3mltujcfVRDBFwo,3,before,NA,no
R_3mltujcfVRDBFwo,4,before,NA,no
R_3mltujcfVRDBFwo,5,before,NA,no
R_3mltujcfVRDBFwo,6,before,NA,no
R_3mltujcfVRDBFwo,7,before,NA,no
R_3mltujcfVRDBFwo,8,before,NA,no
R_3mltujcfVRDBFwo,9,before,NA,no
R_3mltujcfVRDBFwo,1,during,NA,no
R_3mltujcfVRDBFwo,2,during,NA,no
R_3mltujcfVRDBFwo,3,during,NA,no
R_3mltujcfVRDBFwo,4,during,NA,no
R_3mltujcfVRDBFwo,5,during,NA,no
R_3mltujcfVRDBFwo,6,during,NA,no
R_3mltujcfVRDBFwo,7,during,NA,no
R_3mltujcfVRDBFwo,8,during,NA,no
R_3mltujcfVRDBFwo,9,during,NA,no
R_21b9j1WapXLQCLl,1,before,NA,no
R_21b9j1WapXLQCLl,2,before,NA,no
R_21b9j1WapXLQCLl,3,before,NA,no
R_21b9j1WapXLQCLl,4,before,NA,no
R_21b9j1WapXLQCLl,5,before,NA,no
R_21b9j1WapXLQCLl,6,before,NA,no
R_21b9j1WapXLQCLl,7,before,NA,no
R_21b9j1WapXLQCLl,8,before,NA,no
R_21b9j1WapXLQCLl,9,before,NA,no
R_21b9j1WapXLQCLl,1,during,NA,yes
R_21b9j1WapXLQCLl,2,during,10,yes
R_21b9j1WapXLQCLl,3,during,NA,yes
R_21b9j1WapXLQCLl,4,during,NA,yes
R_21b9j1WapXLQCLl,5,during,20,yes
R_21b9j1WapXLQCLl,6,during,25,yes
R_21b9j1WapXLQCLl,7,during,NA,yes
R_21b9j1WapXLQCLl,8,during,NA,yes
R_21b9j1WapXLQCLl,9,during,25,yes
R_CZwSxUPuv8a4BYl,1,before,NA,yes
R_CZwSxUPuv8a4BYl,2,before,6,yes
R_CZwSxUPuv8a4BYl,3,before,NA,yes
R_CZwSxUPuv8a4BYl,4,before,NA,yes
R_CZwSxUPuv8a4BYl,5,before,NA,yes
R_CZwSxUPuv8a4BYl,6,before,NA,yes
R_CZwSxUPuv8a4BYl,7,before,NA,yes
R_CZwSxUPuv8a4BYl,8,before,NA,yes
R_CZwSxUPuv8a4BYl,9,before,7,yes
R_CZwSxUPuv8a4BYl,1,during,NA,yes
R_CZwSxUPuv8a4BYl,2,during,6,yes
R_CZwSxUPuv8a4BYl,3,during,NA,yes
R_CZwSxUPuv8a4BYl,4,during,NA,yes
R_CZwSxUPuv8a4BYl,5,during,NA,yes
R_CZwSxUPuv8a4BYl,6,during,NA,yes
R_CZwSxUPuv8a4BYl,7,during,NA,yes
R_CZwSxUPuv8a4BYl,8,during,NA,yes
R_CZwSxUPuv8a4BYl,9,during,7,yes
R_0HrndcL3lki2lZ7,1,before,NA,yes
R_0HrndcL3lki2lZ7,2,before,7,yes
R_0HrndcL3lki2lZ7,3,before,7,yes
R_0HrndcL3lki2lZ7,4,before,NA,yes
R_0HrndcL3lki2lZ7,5,before,NA,yes
R_0HrndcL3lki2lZ7,6,before,10,yes
R_0HrndcL3lki2lZ7,7,before,NA,yes
R_0HrndcL3lki2lZ7,8,before,NA,yes
R_0HrndcL3lki2lZ7,9,before,NA,yes
R_0HrndcL3lki2lZ7,1,during,NA,yes
R_0HrndcL3lki2lZ7,2,during,14,yes
R_0HrndcL3lki2lZ7,3,during,15,yes
R_0HrndcL3lki2lZ7,4,during,NA,yes
R_0HrndcL3lki2lZ7,5,during,NA,yes
R_0HrndcL3lki2lZ7,6,during,20,yes
R_0HrndcL3lki2lZ7,7,during,NA,yes
R_0HrndcL3lki2lZ7,8,during,NA,yes
R_0HrndcL3lki2lZ7,9,during,NA,yes
