response_id,lockdown_period,subscale,item,score,loneliness_subscale
R_3L0dsQEmJBoz6CB,before,loneliness_extended,1,0,social_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,2,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,3,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,4,1,social_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,5,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,6,0,emotional_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,7,1,social_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,8,1,social_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,9,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,10,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,before,loneliness_extended,11,1,social_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,1,0,social_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,2,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,3,0,emotional_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,4,1,social_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,5,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,6,0,emotional_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,7,1,social_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,8,0,social_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,9,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,10,1,emotional_loneliness
R_3L0dsQEmJBoz6CB,after,loneliness_extended,11,1,social_loneliness
R_55QtESMR1CmR1bb,before,loneliness_extended,1,1,social_loneliness
R_55QtESMR1CmR1bb,before,loneliness_extended,2,1,emotional_loneliness
R_55QtESMR1CmR1bb,before,loneliness_extended,3,1,emotional_loneliness
