response_id,lockdown_period,regularly_play,total_hours_played
R_3L0dsQEmJBoz6CB,before,yes,61
R_3L0dsQEmJBoz6CB,after,yes,45
R_55QtESMR1CmR1bb,before,yes,35
R_55QtESMR1CmR1bb,after,yes,10
R_egrPbOmESOQ7LH3,before,yes,19
R_egrPbOmESOQ7LH3,after,yes,23
R_1DM7yYCOiYR4ya2,before,yes,23
R_1DM7yYCOiYR4ya2,after,yes,41
R_A672rfL6ej9Rq8h,before,no,0
R_A672rfL6ej9Rq8h,after,yes,40
R_3nIcJNaem29eD3m,before,yes,75
R_3nIcJNaem29eD3m,after,yes,70
R_3IXNsI0MDPSrAEU,before,yes,39
R_3IXNsI0MDPSrAEU,after,yes,28
R_3mltujcfVRDBFwo,before,no,0
R_3mltujcfVRDBFwo,after,no,0
R_21b9j1WapXLQCLl,before,no,0
R_21b9j1WapXLQCLl,after,yes,80
R_CZwSxUPuv8a4BYl,before,yes,13
R_CZwSxUPuv8a4BYl,after,yes,13
R_0HrndcL3lki2lZ7,before,yes,24
R_0HrndcL3lki2lZ7,after,yes,49
R_3rYAprW0GQ77H60,before,yes,60
R_3rYAprW0GQ77H60,after,yes,30
R_2PCnueh0z8dxONX,before,yes,35
R_2PCnueh0z8dxONX,after,yes,60
R_30enO1wA4LKIhUd,before,yes,53
R_30enO1wA4LKIhUd,after,no,0
R_3feFL01maECWrJE,before,yes,15
R_3feFL01maECWrJE,after,yes,15
R_12JyJmQfO8sTgUl,before,yes,90
R_12JyJmQfO8sTgUl,after,no,0
R_2Xiozx8q35QPmPN,before,no,0
R_2Xiozx8q35QPmPN,after,no,0
R_x5Wbvksc6tIcvE5,before,yes,15
R_x5Wbvksc6tIcvE5,after,no,0
R_2U30JqzB8uJ3URG,before,yes,35
R_2U30JqzB8uJ3URG,after,yes,35
R_3CPHuI39ahB49V3,before,yes,3
R_3CPHuI39ahB49V3,after,yes,2
R_pJC3uBxyJBR1a1z,before,yes,20
R_pJC3uBxyJBR1a1z,after,yes,20
R_1QDQVGgr43kczoS,before,yes,62
R_1QDQVGgr43kczoS,after,yes,46
R_9zzr3A5XBoHiHol,before,no,0
R_9zzr3A5XBoHiHol,after,yes,15
R_3gSjiAkUHvZ1gGz,before,yes,20
R_3gSjiAkUHvZ1gGz,after,yes,21
R_b3Iy7fxUDsppxAJ,before,yes,54
R_b3Iy7fxUDsppxAJ,after,yes,57
R_2qEHaRpK9wttPrJ,before,yes,4
R_2qEHaRpK9wttPrJ,after,yes,9
R_2zVbcDhM4AXPsZT,before,yes,24
R_2zVbcDhM4AXPsZT,after,yes,26
R_3PcoH72zwQSCOj0,before,yes,40
R_3PcoH72zwQSCOj0,after,yes,51
R_ekEOouSfdEsS5vb,before,yes,105
R_ekEOouSfdEsS5vb,after,yes,54
R_1IWvRT0mkoPQqkR,before,yes,16
R_1IWvRT0mkoPQqkR,after,yes,33
R_0PSG9nkpvJ2cBah,before,yes,69
R_0PSG9nkpvJ2cBah,after,yes,59
R_3EbVJrxApyyyxvF,before,yes,58
R_3EbVJrxApyyyxvF,after,yes,29
R_3P6tAdx0tJOoBY2,before,yes,34
R_3P6tAdx0tJOoBY2,after,yes,45
R_1KcXIYg2VO1BoxX,before,yes,42
R_1KcXIYg2VO1BoxX,after,yes,57
R_1LOoKq6ur4rIe2k,before,yes,45
R_1LOoKq6ur4rIe2k,after,yes,0
R_Q4TbigA0CMUCMAF,before,yes,31
R_Q4TbigA0CMUCMAF,after,yes,69
R_2tmo57HEtiFMvam,before,yes,24
R_2tmo57HEtiFMvam,after,yes,12
R_efceETmT2E2TBXH,before,yes,19
R_efceETmT2E2TBXH,after,yes,34
R_2f7DrkD8sE89X7v,before,yes,43
R_2f7DrkD8sE89X7v,after,yes,38
R_3isVf81cZgHhWye,before,yes,24
R_3isVf81cZgHhWye,after,yes,18
R_3fxYkqCxaavMK2C,before,no,0
R_3fxYkqCxaavMK2C,after,yes,3
R_2WMfTALD7U10gRI,before,yes,9
R_2WMfTALD7U10gRI,after,no,0
R_1FFzNzuAi8fWUl4,before,yes,30
R_1FFzNzuAi8fWUl4,after,yes,42
R_3iw1b49YIXMCguO,before,yes,44
R_3iw1b49YIXMCguO,after,yes,32
R_1hVTVxhlItv93am,before,yes,22
R_1hVTVxhlItv93am,after,yes,14
R_1PRfsA5T7H2CKfS,before,yes,120
R_1PRfsA5T7H2CKfS,after,yes,61
R_21EuXEwnMl0yxTK,before,yes,65
R_21EuXEwnMl0yxTK,after,yes,69
R_2dEoEx60XXDHIIc,before,yes,85
R_2dEoEx60XXDHIIc,after,yes,70
R_3m96s3870QvAUkz,before,yes,45
R_3m96s3870QvAUkz,after,no,0
R_1OZgGesjhXXAzby,before,yes,20
R_1OZgGesjhXXAzby,after,yes,25
R_1q261O0L8N3K286,before,yes,20
R_1q261O0L8N3K286,after,yes,24
R_1GwdHSgm3odLvzg,before,yes,46
R_1GwdHSgm3odLvzg,after,yes,70
R_3PcqPxFcGNpruMf,before,yes,29
R_3PcqPxFcGNpruMf,after,yes,21
R_3pmQxy0TjRvKfQq,before,yes,6
R_3pmQxy0TjRvKfQq,after,no,0
R_3ffaX6ZxMiXrdas,before,yes,100
R_3ffaX6ZxMiXrdas,after,yes,118
R_3hh98EI7vZruSPW,before,yes,18
R_3hh98EI7vZruSPW,after,no,0
R_2CPzQnu9xzkVMwO,before,yes,72
R_2CPzQnu9xzkVMwO,after,yes,55
R_1Qza6Mn31sTJeYL,before,yes,14
R_1Qza6Mn31sTJeYL,after,yes,10
R_1ffI8lqVrhKTZ7E,before,yes,22
R_1ffI8lqVrhKTZ7E,after,yes,22
R_1jiU18Tkb0T0XV3,before,yes,27
R_1jiU18Tkb0T0XV3,after,yes,30
R_3siyKpiPmQRcuE2,before,yes,17
R_3siyKpiPmQRcuE2,after,yes,16
R_1meXA4TrxC5Vg18,before,no,0
R_1meXA4TrxC5Vg18,after,yes,47
R_2doSEH7IKdCE7CF,before,yes,91
R_2doSEH7IKdCE7CF,after,yes,121
R_3KHiukMNRuxucCu,before,yes,25
R_3KHiukMNRuxucCu,after,yes,43
R_1i5qKh6GOnE0oJ3,before,yes,11
R_1i5qKh6GOnE0oJ3,after,yes,11
R_330XwyrcBDhgBbG,before,yes,24
R_330XwyrcBDhgBbG,after,yes,24
R_3gZQ1C8SCyoh4Yc,before,yes,16
R_3gZQ1C8SCyoh4Yc,after,yes,30
R_2uNXceKKzdWqUIT,before,yes,12
R_2uNXceKKzdWqUIT,after,yes,31
R_SSMMEEODX9uDbLr,before,yes,43
R_SSMMEEODX9uDbLr,after,yes,55
R_2VgXBPQ7UiiIILW,before,yes,31
R_2VgXBPQ7UiiIILW,after,yes,30
R_2U4rKifkmjVyf6B,before,yes,10
R_2U4rKifkmjVyf6B,after,yes,17
R_2v8uF7yPoq01u0w,before,yes,32
R_2v8uF7yPoq01u0w,after,yes,44
R_1H0rge5nxLFRo3v,before,yes,41
R_1H0rge5nxLFRo3v,after,yes,60
R_2ZNtv2mSWkr9BAA,before,yes,104
R_2ZNtv2mSWkr9BAA,after,yes,80
R_rqkHtlJzlFPbYgF,before,yes,7
R_rqkHtlJzlFPbYgF,after,yes,13
R_xAymUDRf13ewvE5,before,yes,32
R_xAymUDRf13ewvE5,after,yes,39
R_23W8Gu6uSBy5aEM,before,yes,25
R_23W8Gu6uSBy5aEM,after,yes,40
R_1PduFoVTfVrZ2rb,before,yes,109
R_1PduFoVTfVrZ2rb,after,yes,116
