response_id,lockdown_period,subscale,score,id,total_hours_played,total_hours_played_s,score_ord
R_0HrndcL3lki2lZ7,after,anxiety,18,1,49,0.4427881242960097,18
R_0HrndcL3lki2lZ7,before,anxiety,10,1,24,-0.4193862484639535,10
R_0PSG9nkpvJ2cBah,after,anxiety,12,2,59,0.787657873399995,12
R_0PSG9nkpvJ2cBah,before,anxiety,8,2,69,1.1325276225039802,8
R_12JyJmQfO8sTgUl,after,anxiety,30,3,0,-1.2470736463135181,30
R_12JyJmQfO8sTgUl,before,anxiety,22,3,90,1.8567540956223494,22
R_1DM7yYCOiYR4ya2,after,anxiety,24,4,41,0.16689232501282147,24
R_1DM7yYCOiYR4ya2,before,anxiety,22,4,23,-0.45387322337435204,22
R_1ffI8lqVrhKTZ7E,after,anxiety,0,5,22,-0.4883601982847506,0
R_1ffI8lqVrhKTZ7E,before,anxiety,0,5,22,-0.4883601982847506,0
R_1FFzNzuAi8fWUl4,after,anxiety,4,6,42,0.20137929992322,4
R_1FFzNzuAi8fWUl4,before,anxiety,2,6,30,-0.21246439900156233,2
R_1GwdHSgm3odLvzg,after,anxiety,30,7,70,1.1670145974143789,30
R_1GwdHSgm3odLvzg,before,anxiety,20,7,46,0.3393271995648141,20
R_1H0rge5nxLFRo3v,after,anxiety,10,8,60,0.8221448483103936,10
R_1H0rge5nxLFRo3v,before,anxiety,10,8,41,0.16689232501282147,10
R_1hVTVxhlItv93am,after,anxiety,12,9,14,-0.7642559975679388,12
R_1hVTVxhlItv93am,before,anxiety,6,9,22,-0.4883601982847506,6
R_1i5qKh6GOnE0oJ3,after,anxiety,4,10,11,-0.8677169222991343,4
R_1i5qKh6GOnE0oJ3,before,anxiety,10,10,11,-0.8677169222991343,10
R_1IWvRT0mkoPQqkR,after,anxiety,14,11,33,-0.10900347427036675,14
R_1IWvRT0mkoPQqkR,before,anxiety,16,11,16,-0.6952820477471418,16
R_1jiU18Tkb0T0XV3,after,anxiety,2,12,30,-0.21246439900156233,2
R_1jiU18Tkb0T0XV3,before,anxiety,4,12,27,-0.3159253237327579,4
R_1KcXIYg2VO1BoxX,after,anxiety,4,13,57,0.718683923579198,4
R_1KcXIYg2VO1BoxX,before,anxiety,2,13,42,0.20137929992322,2
R_1LOoKq6ur4rIe2k,after,anxiety,0,14,0,-1.2470736463135181,0
R_1LOoKq6ur4rIe2k,before,anxiety,6,14,45,0.3048402246544156,6
R_1meXA4TrxC5Vg18,after,anxiety,26,15,47,0.37381417447521265,26
R_1meXA4TrxC5Vg18,before,anxiety,14,15,0,-1.2470736463135181,14
R_1OZgGesjhXXAzby,after,anxiety,0,16,25,-0.38489927355355497,0
R_1OZgGesjhXXAzby,before,anxiety,4,16,20,-0.5573341481055476,4
R_1PduFoVTfVrZ2rb,after,anxiety,0,17,116,2.7534154432927114,0
R_1PduFoVTfVrZ2rb,before,anxiety,0,17,109,2.5120066189199215,0
R_1PRfsA5T7H2CKfS,after,anxiety,4,18,61,0.856631823220792,4
R_1PRfsA5T7H2CKfS,before,anxiety,4,18,120,2.8913633429343055,4
R_1q261O0L8N3K286,after,anxiety,2,19,24,-0.4193862484639535,2
R_1q261O0L8N3K286,before,anxiety,4,19,20,-0.5573341481055476,4
R_1QDQVGgr43kczoS,after,anxiety,8,20,46,0.3393271995648141,8
R_1QDQVGgr43kczoS,before,anxiety,14,20,62,0.8911187981311905,14
R_1Qza6Mn31sTJeYL,after,anxiety,18,21,10,-0.9022038972095329,18
R_1Qza6Mn31sTJeYL,before,anxiety,14,21,14,-0.7642559975679388,14
R_21b9j1WapXLQCLl,after,anxiety,10,22,80,1.511884346518364,10
R_21b9j1WapXLQCLl,before,anxiety,8,22,0,-1.2470736463135181,8
R_21EuXEwnMl0yxTK,after,anxiety,26,23,69,1.1325276225039802,26
R_21EuXEwnMl0yxTK,before,anxiety,28,23,65,0.9945797228623862,28
R_23W8Gu6uSBy5aEM,after,anxiety,2,24,40,0.13240535010242296,2
R_23W8Gu6uSBy5aEM,before,anxiety,2,24,25,-0.38489927355355497,2
R_2CPzQnu9xzkVMwO,after,anxiety,14,25,55,0.6497099737584009,14
R_2CPzQnu9xzkVMwO,before,anxiety,10,25,72,1.235988547235176,10
R_2dEoEx60XXDHIIc,after,anxiety,8,26,70,1.1670145974143789,8
R_2dEoEx60XXDHIIc,before,anxiety,6,26,85,1.6843192210703568,6
R_2doSEH7IKdCE7CF,after,anxiety,2,27,121,2.925850317844704,2
R_2doSEH7IKdCE7CF,before,anxiety,6,27,91,1.891241070532748,6
R_2f3rm3GgNbp4CRq,after,anxiety,2,28,78,1.4429103966975672,2
R_2f3rm3GgNbp4CRq,before,anxiety,0,28,103,2.3050847694575305,0
R_2f7DrkD8sE89X7v,after,anxiety,18,29,38,0.0634314002816259,18
R_2f7DrkD8sE89X7v,before,anxiety,6,29,43,0.23586627483361855,6
R_2PCnueh0z8dxONX,after,anxiety,8,30,60,0.8221448483103936,8
R_2PCnueh0z8dxONX,before,anxiety,4,30,35,-0.040029524449569684,4
R_2qEHaRpK9wttPrJ,after,anxiety,0,31,9,-0.9366908721199314,0
R_2qEHaRpK9wttPrJ,before,anxiety,2,31,4,-1.109125746671924,2
R_2tmo57HEtiFMvam,after,anxiety,4,32,12,-0.8332299473887359,4
R_2tmo57HEtiFMvam,before,anxiety,4,32,24,-0.4193862484639535,4
R_2U30JqzB8uJ3URG,after,anxiety,2,33,35,-0.040029524449569684,2
R_2U30JqzB8uJ3URG,before,anxiety,4,33,35,-0.040029524449569684,4
R_2U4rKifkmjVyf6B,after,anxiety,22,34,17,-0.6607950728367432,22
R_2U4rKifkmjVyf6B,before,anxiety,20,34,10,-0.9022038972095329,20
R_2uNXceKKzdWqUIT,after,anxiety,2,35,31,-0.1779774240911638,2
R_2uNXceKKzdWqUIT,before,anxiety,0,35,12,-0.8332299473887359,0
R_2v8uF7yPoq01u0w,after,anxiety,0,36,44,0.2703532497440171,0
R_2v8uF7yPoq01u0w,before,anxiety,2,36,32,-0.14349044918076528,2
R_2VgXBPQ7UiiIILW,after,anxiety,0,37,30,-0.21246439900156233,0
R_2VgXBPQ7UiiIILW,before,anxiety,0,37,31,-0.1779774240911638,0
R_2WMfTALD7U10gRI,after,anxiety,0,38,0,-1.2470736463135181,0
R_2WMfTALD7U10gRI,before,anxiety,0,38,9,-0.9366908721199314,0
R_2Xiozx8q35QPmPN,after,anxiety,10,39,0,-1.2470736463135181,10
R_2Xiozx8q35QPmPN,before,anxiety,2,39,0,-1.2470736463135181,2
R_2zMWZPoTl4gnah2,after,anxiety,0,40,4,-1.109125746671924,0
R_2zMWZPoTl4gnah2,before,anxiety,0,40,5,-1.0746387717615256,0
R_2ZNtv2mSWkr9BAA,after,anxiety,4,41,80,1.511884346518364,4
R_2ZNtv2mSWkr9BAA,before,anxiety,0,41,104,2.339571744367929,0
R_2zVbcDhM4AXPsZT,after,anxiety,26,42,26,-0.35041229864315643,26
R_2zVbcDhM4AXPsZT,before,anxiety,14,42,24,-0.4193862484639535,14
R_30enO1wA4LKIhUd,after,anxiety,6,43,0,-1.2470736463135181,6
R_30enO1wA4LKIhUd,before,anxiety,10,43,53,0.5807360239376038,10
R_325eUWTIGcn1611,after,anxiety,6,44,60,0.8221448483103936,6
R_325eUWTIGcn1611,before,anxiety,8,44,50,0.47727509920640826,8
R_330XwyrcBDhgBbG,after,anxiety,0,45,24,-0.4193862484639535,0
R_330XwyrcBDhgBbG,before,anxiety,0,45,24,-0.4193862484639535,0
R_3CPHuI39ahB49V3,after,anxiety,8,46,2,-1.178099696492721,8
R_3CPHuI39ahB49V3,before,anxiety,10,46,3,-1.1436127215823226,10
R_3EbVJrxApyyyxvF,after,anxiety,6,47,29,-0.24695137391196087,6
R_3EbVJrxApyyyxvF,before,anxiety,4,47,58,0.7531708984895965,4
R_3feFL01maECWrJE,after,anxiety,26,48,15,-0.7297690226575403,26
R_3feFL01maECWrJE,before,anxiety,22,48,15,-0.7297690226575403,22
R_3ffaX6ZxMiXrdas,after,anxiety,34,49,118,2.8223893931135087,34
R_3ffaX6ZxMiXrdas,before,anxiety,6,49,100,2.2016238447263348,6
R_3fxYkqCxaavMK2C,after,anxiety,6,50,3,-1.1436127215823226,6
R_3fxYkqCxaavMK2C,before,anxiety,6,50,0,-1.2470736463135181,6
R_3gSjiAkUHvZ1gGz,after,anxiety,0,51,21,-0.5228471731951491,0
R_3gSjiAkUHvZ1gGz,before,anxiety,6,51,20,-0.5573341481055476,6
R_3gZQ1C8SCyoh4Yc,after,anxiety,16,52,30,-0.21246439900156233,16
R_3gZQ1C8SCyoh4Yc,before,anxiety,12,52,16,-0.6952820477471418,12
R_3hh98EI7vZruSPW,after,anxiety,2,53,0,-1.2470736463135181,2
R_3hh98EI7vZruSPW,before,anxiety,2,53,18,-0.6263080979263447,2
R_3isVf81cZgHhWye,after,anxiety,2,54,18,-0.6263080979263447,2
R_3isVf81cZgHhWye,before,anxiety,2,54,24,-0.4193862484639535,2
R_3iw1b49YIXMCguO,after,anxiety,0,55,32,-0.14349044918076528,0
R_3iw1b49YIXMCguO,before,anxiety,0,55,44,0.2703532497440171,0
R_3IXNsI0MDPSrAEU,after,anxiety,12,56,28,-0.2814383488223594,12
R_3IXNsI0MDPSrAEU,before,anxiety,10,56,39,0.09791837519202443,10
R_3j2oWZoAEr1njjz,after,anxiety,20,57,19,-0.5918211230159461,20
R_3j2oWZoAEr1njjz,before,anxiety,22,57,18,-0.6263080979263447,22
R_3JKlZpSiIyeDuwv,after,anxiety,24,58,105,2.374058719278328,24
R_3JKlZpSiIyeDuwv,before,anxiety,20,58,25,-0.38489927355355497,20
R_3KHiukMNRuxucCu,after,anxiety,2,59,43,0.23586627483361855,2
R_3KHiukMNRuxucCu,before,anxiety,4,59,25,-0.38489927355355497,4
R_3L0dsQEmJBoz6CB,after,anxiety,0,60,45,0.3048402246544156,0
R_3L0dsQEmJBoz6CB,before,anxiety,4,60,61,0.856631823220792,4
R_3m96s3870QvAUkz,after,anxiety,6,61,0,-1.2470736463135181,6
R_3m96s3870QvAUkz,before,anxiety,8,61,45,0.3048402246544156,8
R_3mltujcfVRDBFwo,after,anxiety,4,62,0,-1.2470736463135181,4
R_3mltujcfVRDBFwo,before,anxiety,6,62,0,-1.2470736463135181,6
R_3nIcJNaem29eD3m,after,anxiety,6,63,70,1.1670145974143789,6
R_3nIcJNaem29eD3m,before,anxiety,4,63,75,1.3394494719663714,4
R_3P6tAdx0tJOoBY2,after,anxiety,6,64,45,0.3048402246544156,6
R_3P6tAdx0tJOoBY2,before,anxiety,2,64,34,-0.07451649935996821,2
R_3PcoH72zwQSCOj0,after,anxiety,2,65,51,0.5117620741168067,2
R_3PcoH72zwQSCOj0,before,anxiety,2,65,40,0.13240535010242296,2
R_3PcqPxFcGNpruMf,after,anxiety,0,66,21,-0.5228471731951491,0
R_3PcqPxFcGNpruMf,before,anxiety,0,66,29,-0.24695137391196087,0
R_3pmQxy0TjRvKfQq,after,anxiety,14,67,0,-1.2470736463135181,14
R_3pmQxy0TjRvKfQq,before,anxiety,10,67,6,-1.0401517968511271,10
R_3rYAprW0GQ77H60,after,anxiety,6,68,30,-0.21246439900156233,6
R_3rYAprW0GQ77H60,before,anxiety,14,68,60,0.8221448483103936,14
R_3siyKpiPmQRcuE2,after,anxiety,8,69,16,-0.6952820477471418,8
R_3siyKpiPmQRcuE2,before,anxiety,10,69,17,-0.6607950728367432,10
R_55QtESMR1CmR1bb,after,anxiety,4,70,10,-0.9022038972095329,4
R_55QtESMR1CmR1bb,before,anxiety,4,70,35,-0.040029524449569684,4
R_9zzr3A5XBoHiHol,after,anxiety,16,71,15,-0.7297690226575403,16
