id,score_before,score_after,total_hours_played_before,total_hours_played_after,hours_diff,score_diff
1,9,11,24,49,-25,-2
2,8,10,69,59,10,-2
3,10,10,90,0,90,0
4,5,7,23,41,-18,-2
5,5,5,22,22,0,0
6,8,9,30,42,-12,-1
7,11,11,46,70,-24,0
8,9,10,41,60,-19,-1
9,7,10,22,14,8,-3
10,10,11,11,11,0,-1
11,11,11,16,33,-17,0
12,6,7,27,30,-3,-1
13,3,1,42,57,-15,2
14,2,2,45,0,45,0
15,10,10,0,47,-47,0
16,8,10,20,25,-5,-2
17,3,2,20,24,-4,1
18,7,7,62,46,16,0
19,7,8,14,10,4,-1
20,10,9,0,80,-80,1
21,11,11,65,69,-4,0
22,10,11,25,40,-15,-1
23,5,5,72,55,17,0
24,7,10,85,70,15,-3
25,9,9,43,38,5,0
26,3,3,35,60,-25,0
27,7,8,4,9,-5,-1
28,8,8,24,12,12,0
29,8,9,35,35,0,-1
30,8,10,10,17,-7,-2
31,4,3,12,31,-19,1
32,9,8,32,44,-12,1
33,9,9,31,30,1,0
34,3,3,9,0,9,0
35,10,10,0,0,0,0
36,7,7,5,4,1,0
37,10,11,24,26,-2,-1
38,4,2,53,0,53,2
39,9,8,50,60,-10,1
40,3,3,24,24,0,0
41,5,4,3,2,1,1
42,11,10,58,29,29,1
43,9,11,15,15,0,-2
44,4,5,0,3,-3,-1
45,6,6,20,21,-1,0
46,10,8,16,30,-14,2
47,4,3,18,0,18,1
48,5,6,24,18,6,-1
49,0,0,44,32,12,0
50,7,9,39,28,11,-2
51,6,6,18,19,-1,0
52,4,6,25,43,-18,-2
53,9,7,61,45,16,2
54,7,7,45,0,45,0
55,1,1,0,0,0,0
56,2,2,75,70,5,0
57,9,11,34,45,-11,-2
58,6,7,40,51,-11,-1
59,1,2,29,21,8,-1
60,7,9,6,0,6,-2
61,4,3,60,30,30,1
62,0,0,17,16,1,0
63,10,10,35,10,25,0
64,11,11,0,15,-15,0
65,11,9,0,40,-40,2
66,11,10,54,57,-3,1
67,7,8,13,13,0,-1
68,3,3,19,34,-15,0
69,11,10,19,23,-4,1
70,10,10,20,20,0,0
71,5,11,31,69,-38,-6
72,5,5,7,13,-6,0
73,11,3,43,55,-12,8
74,2,2,72,66,6,0
75,1,1,15,0,15,0
76,7,3,32,39,-7,4
