response_id,lockdown_period,subscale,score,id,total_hours_played,total_hours_played_s,score_ord
R_0HrndcL3lki2lZ7,after,stress,32,1,49,0.4427881242960097,32
R_0HrndcL3lki2lZ7,before,stress,16,1,24,-0.4193862484639535,16
R_0PSG9nkpvJ2cBah,after,stress,26,2,59,0.787657873399995,26
R_0PSG9nkpvJ2cBah,before,stress,20,2,69,1.1325276225039802,20
R_12JyJmQfO8sTgUl,after,stress,30,3,0,-1.2470736463135181,30
R_12JyJmQfO8sTgUl,before,stress,32,3,90,1.8567540956223494,32
R_1DM7yYCOiYR4ya2,after,stress,26,4,41,0.16689232501282147,26
R_1DM7yYCOiYR4ya2,before,stress,20,4,23,-0.45387322337435204,20
R_1ffI8lqVrhKTZ7E,after,stress,0,5,22,-0.4883601982847506,0
R_1ffI8lqVrhKTZ7E,before,stress,0,5,22,-0.4883601982847506,0
R_1FFzNzuAi8fWUl4,after,stress,12,6,42,0.20137929992322,12
R_1FFzNzuAi8fWUl4,before,stress,16,6,30,-0.21246439900156233,16
R_1GwdHSgm3odLvzg,after,stress,38,7,70,1.1670145974143789,38
R_1GwdHSgm3odLvzg,before,stress,22,7,46,0.3393271995648141,22
R_1H0rge5nxLFRo3v,after,stress,22,8,60,0.8221448483103936,22
R_1H0rge5nxLFRo3v,before,stress,20,8,41,0.16689232501282147,20
R_1hVTVxhlItv93am,after,stress,12,9,14,-0.7642559975679388,12
R_1hVTVxhlItv93am,before,stress,4,9,22,-0.4883601982847506,4
R_1i5qKh6GOnE0oJ3,after,stress,6,10,11,-0.8677169222991343,6
R_1i5qKh6GOnE0oJ3,before,stress,12,10,11,-0.8677169222991343,12
R_1IWvRT0mkoPQqkR,after,stress,24,11,33,-0.10900347427036675,24
R_1IWvRT0mkoPQqkR,before,stress,22,11,16,-0.6952820477471418,22
R_1jiU18Tkb0T0XV3,after,stress,12,12,30,-0.21246439900156233,12
R_1jiU18Tkb0T0XV3,before,stress,14,12,27,-0.3159253237327579,14
R_1KcXIYg2VO1BoxX,after,stress,28,13,57,0.718683923579198,28
R_1KcXIYg2VO1BoxX,before,stress,20,13,42,0.20137929992322,20
R_1LOoKq6ur4rIe2k,after,stress,2,14,0,-1.2470736463135181,2
R_1LOoKq6ur4rIe2k,before,stress,8,14,45,0.3048402246544156,8
R_1meXA4TrxC5Vg18,after,stress,26,15,47,0.37381417447521265,26
R_1meXA4TrxC5Vg18,before,stress,24,15,0,-1.2470736463135181,24
R_1OZgGesjhXXAzby,after,stress,16,16,25,-0.38489927355355497,16
R_1OZgGesjhXXAzby,before,stress,18,16,20,-0.5573341481055476,18
R_1PduFoVTfVrZ2rb,after,stress,0,17,116,2.7534154432927114,0
R_1PduFoVTfVrZ2rb,before,stress,4,17,109,2.5120066189199215,4
R_1PRfsA5T7H2CKfS,after,stress,24,18,61,0.856631823220792,24
R_1PRfsA5T7H2CKfS,before,stress,26,18,120,2.8913633429343055,26
R_1q261O0L8N3K286,after,stress,12,19,24,-0.4193862484639535,12
R_1q261O0L8N3K286,before,stress,12,19,20,-0.5573341481055476,12
R_1QDQVGgr43kczoS,after,stress,10,20,46,0.3393271995648141,10
R_1QDQVGgr43kczoS,before,stress,6,20,62,0.8911187981311905,6
R_1Qza6Mn31sTJeYL,after,stress,40,21,10,-0.9022038972095329,40
