response_id,time,subscale,item,score
R_w7AV8G1eEuySSVr,before,loneliness,1,2
R_w7AV8G1eEuySSVr,before,loneliness,2,2
R_w7AV8G1eEuySSVr,before,loneliness,3,2
R_w7AV8G1eEuySSVr,after,loneliness,1,3
R_w7AV8G1eEuySSVr,after,loneliness,2,2
R_w7AV8G1eEuySSVr,after,loneliness,3,3
R_3g11OuFlZDreUWH,before,loneliness,1,2
R_3g11OuFlZDreUWH,before,loneliness,2,3
R_3g11OuFlZDreUWH,before,loneliness,3,3
R_3g11OuFlZDreUWH,after,loneliness,1,2
R_3g11OuFlZDreUWH,after,loneliness,2,2
R_3g11OuFlZDreUWH,after,loneliness,3,2
R_ZIyPy9Dq6G7mGIx,before,loneliness,1,3
R_ZIyPy9Dq6G7mGIx,before,loneliness,2,2
R_ZIyPy9Dq6G7mGIx,before,loneliness,3,3
R_ZIyPy9Dq6G7mGIx,after,loneliness,1,2
R_ZIyPy9Dq6G7mGIx,after,loneliness,2,2
R_ZIyPy9Dq6G7mGIx,after,loneliness,3,2
R_Rfb8RkRh6RRJLTr,before,loneliness,1,2
R_Rfb8RkRh6RRJLTr,before,loneliness,2,2
R_Rfb8RkRh6RRJLTr,before,loneliness,3,2
R_Rfb8RkRh6RRJLTr,after,loneliness,1,2
R_Rfb8RkRh6RRJLTr,after,loneliness,2,1
R_Rfb8RkRh6RRJLTr,after,loneliness,3,2
R_3EbuYRY1KfEPCX3,before,loneliness,1,1
R_3EbuYRY1KfEPCX3,before,loneliness,2,2
R_3EbuYRY1KfEPCX3,before,loneliness,3,2
R_3EbuYRY1KfEPCX3,after,loneliness,1,2
R_3EbuYRY1KfEPCX3,after,loneliness,2,2
R_3EbuYRY1KfEPCX3,after,loneliness,3,3
R_3fW7nwlGuhwYbo5,before,loneliness,1,1
R_3fW7nwlGuhwYbo5,before,loneliness,2,1
R_3fW7nwlGuhwYbo5,before,loneliness,3,1
R_3fW7nwlGuhwYbo5,after,loneliness,1,1
R_3fW7nwlGuhwYbo5,after,loneliness,2,2
R_3fW7nwlGuhwYbo5,after,loneliness,3,2
R_vlag3f3fIWmaxeV,before,loneliness,1,1
R_vlag3f3fIWmaxeV,before,loneliness,2,1
R_vlag3f3fIWmaxeV,before,loneliness,3,1
R_vlag3f3fIWmaxeV,after,loneliness,1,1
R_vlag3f3fIWmaxeV,after,loneliness,2,1
R_vlag3f3fIWmaxeV,after,loneliness,3,2
R_9Y4ZP3qLoi3t7fH,before,loneliness,1,2
R_9Y4ZP3qLoi3t7fH,before,loneliness,2,2
R_9Y4ZP3qLoi3t7fH,before,loneliness,3,3
R_9Y4ZP3qLoi3t7fH,after,loneliness,1,2
R_9Y4ZP3qLoi3t7fH,after,loneliness,2,2
R_9Y4ZP3qLoi3t7fH,after,loneliness,3,3
R_5AVWI45K9Om73Gh,before,loneliness,1,1
R_5AVWI45K9Om73Gh,before,loneliness,2,2
