response_id,lockdown_period,subscale,score
R_0Iq1QihJbkIZGG5,before,anxiety,0
R_0Iq1QihJbkIZGG5,before,depression,6
R_0Iq1QihJbkIZGG5,before,stress,10
R_0Iq1QihJbkIZGG5,during,anxiety,0
R_0Iq1QihJbkIZGG5,during,depression,6
R_0Iq1QihJbkIZGG5,during,stress,10
R_0xNlcN3NDWsWFsl,before,anxiety,0
R_0xNlcN3NDWsWFsl,before,depression,10
R_0xNlcN3NDWsWFsl,before,stress,10
R_0xNlcN3NDWsWFsl,during,anxiety,0
R_0xNlcN3NDWsWFsl,during,depression,12
R_0xNlcN3NDWsWFsl,during,stress,6
R_1Ghi9cuDLyS5Fvj,before,anxiety,10
R_1Ghi9cuDLyS5Fvj,before,depression,24
R_1Ghi9cuDLyS5Fvj,before,stress,20
R_1Ghi9cuDLyS5Fvj,during,anxiety,10
R_1Ghi9cuDLyS5Fvj,during,depression,24
R_1Ghi9cuDLyS5Fvj,during,stress,22
R_1GTWJReePx9Mt0Y,before,anxiety,10
R_1GTWJReePx9Mt0Y,before,depression,30
R_1GTWJReePx9Mt0Y,before,stress,10
R_1GTWJReePx9Mt0Y,during,anxiety,10
R_1GTWJReePx9Mt0Y,during,depression,14
R_1GTWJReePx9Mt0Y,during,stress,12
R_1jwyyqW3BkMXKqC,before,anxiety,8
R_1jwyyqW3BkMXKqC,before,depression,20
R_1jwyyqW3BkMXKqC,before,stress,16
R_1jwyyqW3BkMXKqC,during,anxiety,10
R_1jwyyqW3BkMXKqC,during,depression,14
R_1jwyyqW3BkMXKqC,during,stress,16
R_1l3QaBdaMZAzDNc,before,anxiety,12
R_1l3QaBdaMZAzDNc,before,depression,14
R_1l3QaBdaMZAzDNc,before,stress,30
R_1l3QaBdaMZAzDNc,during,anxiety,18
R_1l3QaBdaMZAzDNc,during,depression,18
R_1l3QaBdaMZAzDNc,during,stress,26
R_1OGOApUcrgQ9PDV,before,anxiety,30
R_1OGOApUcrgQ9PDV,before,depression,34
R_1OGOApUcrgQ9PDV,before,stress,34
R_1OGOApUcrgQ9PDV,during,anxiety,22
R_1OGOApUcrgQ9PDV,during,depression,24
R_1OGOApUcrgQ9PDV,during,stress,32
R_22Q9Iw4NYMriVYz,before,anxiety,0
R_22Q9Iw4NYMriVYz,before,depression,2
R_22Q9Iw4NYMriVYz,before,stress,16
R_22Q9Iw4NYMriVYz,during,anxiety,0
R_22Q9Iw4NYMriVYz,during,depression,2
R_22Q9Iw4NYMriVYz,during,stress,14
R_237akAEwp1ZNQtX,before,anxiety,0
R_237akAEwp1ZNQtX,before,depression,0
R_237akAEwp1ZNQtX,before,stress,0
R_237akAEwp1ZNQtX,during,anxiety,0
R_237akAEwp1ZNQtX,during,depression,4
R_237akAEwp1ZNQtX,during,stress,0
R_28YlGk4KWcNC1Hz,before,anxiety,40
R_28YlGk4KWcNC1Hz,before,depression,42
R_28YlGk4KWcNC1Hz,before,stress,36
R_28YlGk4KWcNC1Hz,during,anxiety,42
R_28YlGk4KWcNC1Hz,during,depression,42
R_28YlGk4KWcNC1Hz,during,stress,42
R_2ANDY1UL9QHh0bt,before,anxiety,0
R_2ANDY1UL9QHh0bt,before,depression,2
R_2ANDY1UL9QHh0bt,before,stress,10
R_2ANDY1UL9QHh0bt,during,anxiety,0
R_2ANDY1UL9QHh0bt,during,depression,2
R_2ANDY1UL9QHh0bt,during,stress,6
R_2fjoBMWdN1ICH1c,before,anxiety,6
R_2fjoBMWdN1ICH1c,before,depression,18
R_2fjoBMWdN1ICH1c,before,stress,24
R_2fjoBMWdN1ICH1c,during,anxiety,8
R_2fjoBMWdN1ICH1c,during,depression,8
R_2fjoBMWdN1ICH1c,during,stress,14
R_2fy7OLb5SO3rVpk,before,anxiety,8
R_2fy7OLb5SO3rVpk,before,depression,26
R_2fy7OLb5SO3rVpk,before,stress,24
R_2fy7OLb5SO3rVpk,during,anxiety,12
R_2fy7OLb5SO3rVpk,during,depression,22
R_2fy7OLb5SO3rVpk,during,stress,22
R_2qpx286lR9fjVMC,before,anxiety,8
R_2qpx286lR9fjVMC,before,depression,20
R_2qpx286lR9fjVMC,before,stress,26
R_2qpx286lR9fjVMC,during,anxiety,6
R_2qpx286lR9fjVMC,during,depression,14
R_2qpx286lR9fjVMC,during,stress,24
R_2ri38po4P4fnJtK,before,anxiety,0
R_2ri38po4P4fnJtK,before,depression,10
R_2ri38po4P4fnJtK,before,stress,0
R_2ri38po4P4fnJtK,during,anxiety,0
R_2ri38po4P4fnJtK,during,depression,10
R_2ri38po4P4fnJtK,during,stress,0
R_2riPjmHJ1ujE2AI,before,anxiety,18
R_2riPjmHJ1ujE2AI,before,depression,30
R_2riPjmHJ1ujE2AI,before,stress,32
R_2riPjmHJ1ujE2AI,during,anxiety,20
R_2riPjmHJ1ujE2AI,during,depression,32
R_2riPjmHJ1ujE2AI,during,stress,30
R_2VsTI6YcrvQkU00,before,anxiety,2
R_2VsTI6YcrvQkU00,before,depression,12
R_2VsTI6YcrvQkU00,before,stress,10
R_2VsTI6YcrvQkU00,during,anxiety,0
R_2VsTI6YcrvQkU00,during,depression,18
R_2VsTI6YcrvQkU00,during,stress,10
