response_id,time,subscale,score
R_0Iq1QihJbkIZGG5,after,amotivation,6
R_0Iq1QihJbkIZGG5,after,external_regulation,18
R_0Iq1QihJbkIZGG5,after,identified_regulation,18
R_0Iq1QihJbkIZGG5,after,instrinsic_motivation,18
R_0Iq1QihJbkIZGG5,after,integrated_regulation,18
R_0Iq1QihJbkIZGG5,after,introjected_regulation,14
R_0Iq1QihJbkIZGG5,before,amotivation,6
R_0Iq1QihJbkIZGG5,before,external_regulation,12
R_0Iq1QihJbkIZGG5,before,identified_regulation,18
R_0Iq1QihJbkIZGG5,before,instrinsic_motivation,28
R_0Iq1QihJbkIZGG5,before,integrated_regulation,18
R_0Iq1QihJbkIZGG5,before,introjected_regulation,12
R_0xNlcN3NDWsWFsl,after,amotivation,14
R_0xNlcN3NDWsWFsl,after,external_regulation,6
R_0xNlcN3NDWsWFsl,after,identified_regulation,6
R_0xNlcN3NDWsWFsl,after,instrinsic_motivation,6
R_0xNlcN3NDWsWFsl,after,integrated_regulation,6
R_0xNlcN3NDWsWFsl,after,introjected_regulation,6
R_0xNlcN3NDWsWFsl,before,amotivation,12
R_0xNlcN3NDWsWFsl,before,external_regulation,18
R_0xNlcN3NDWsWFsl,before,identified_regulation,20
R_0xNlcN3NDWsWFsl,before,instrinsic_motivation,26
R_0xNlcN3NDWsWFsl,before,integrated_regulation,18
R_0xNlcN3NDWsWFsl,before,introjected_regulation,14
R_1Ghi9cuDLyS5Fvj,after,amotivation,18
R_1Ghi9cuDLyS5Fvj,after,external_regulation,14
R_1Ghi9cuDLyS5Fvj,after,identified_regulation,16
R_1Ghi9cuDLyS5Fvj,after,instrinsic_motivation,16
R_1Ghi9cuDLyS5Fvj,after,integrated_regulation,12
R_1Ghi9cuDLyS5Fvj,after,introjected_regulation,8
R_1Ghi9cuDLyS5Fvj,before,amotivation,26
R_1Ghi9cuDLyS5Fvj,before,external_regulation,14
R_1Ghi9cuDLyS5Fvj,before,identified_regulation,12
R_1Ghi9cuDLyS5Fvj,before,instrinsic_motivation,16
R_1Ghi9cuDLyS5Fvj,before,integrated_regulation,10
R_1Ghi9cuDLyS5Fvj,before,introjected_regulation,8
R_1GTWJReePx9Mt0Y,after,amotivation,16
R_1GTWJReePx9Mt0Y,after,external_regulation,22
R_1GTWJReePx9Mt0Y,after,identified_regulation,14
R_1GTWJReePx9Mt0Y,after,instrinsic_motivation,14
R_1GTWJReePx9Mt0Y,after,integrated_regulation,14
R_1GTWJReePx9Mt0Y,after,introjected_regulation,18
R_1GTWJReePx9Mt0Y,before,amotivation,18
R_1GTWJReePx9Mt0Y,before,external_regulation,20
R_1GTWJReePx9Mt0Y,before,identified_regulation,12
R_1GTWJReePx9Mt0Y,before,instrinsic_motivation,16
R_1GTWJReePx9Mt0Y,before,integrated_regulation,20
R_1GTWJReePx9Mt0Y,before,introjected_regulation,18
R_1jwyyqW3BkMXKqC,after,amotivation,6
R_1jwyyqW3BkMXKqC,after,external_regulation,20
R_1jwyyqW3BkMXKqC,after,identified_regulation,20
R_1jwyyqW3BkMXKqC,after,instrinsic_motivation,24
R_1jwyyqW3BkMXKqC,after,integrated_regulation,20
R_1jwyyqW3BkMXKqC,after,introjected_regulation,12
R_1jwyyqW3BkMXKqC,before,amotivation,6
R_1jwyyqW3BkMXKqC,before,external_regulation,20
R_1jwyyqW3BkMXKqC,before,identified_regulation,20
R_1jwyyqW3BkMXKqC,before,instrinsic_motivation,26
R_1jwyyqW3BkMXKqC,before,integrated_regulation,20
R_1jwyyqW3BkMXKqC,before,introjected_regulation,18
R_1l3QaBdaMZAzDNc,after,amotivation,12
R_1l3QaBdaMZAzDNc,after,external_regulation,24
R_1l3QaBdaMZAzDNc,after,identified_regulation,18
R_1l3QaBdaMZAzDNc,after,instrinsic_motivation,28
R_1l3QaBdaMZAzDNc,after,integrated_regulation,12
R_1l3QaBdaMZAzDNc,after,introjected_regulation,16
R_1l3QaBdaMZAzDNc,before,amotivation,10
R_1l3QaBdaMZAzDNc,before,external_regulation,22
R_1l3QaBdaMZAzDNc,before,identified_regulation,18
R_1l3QaBdaMZAzDNc,before,instrinsic_motivation,30
R_1l3QaBdaMZAzDNc,before,integrated_regulation,12
R_1l3QaBdaMZAzDNc,before,introjected_regulation,12
