response_id,regularly_play_during,regularly_play_before,total_hours_played_during,total_hours_played_before
R_w7AV8G1eEuySSVr,yes,yes,35,35
R_3g11OuFlZDreUWH,yes,yes,41,19
R_ZIyPy9Dq6G7mGIx,yes,yes,35,22
R_Rfb8RkRh6RRJLTr,yes,no,7,0
R_3EbuYRY1KfEPCX3,yes,yes,4,5
R_3fW7nwlGuhwYbo5,yes,yes,31,35
R_vlag3f3fIWmaxeV,yes,yes,21,4
R_9Y4ZP3qLoi3t7fH,yes,yes,18,29
R_5AVWI45K9Om73Gh,yes,yes,58,48
R_0xNlcN3NDWsWFsl,yes,no,20,0
R_2ZNqbe16jkaSqDs,yes,yes,52,39
R_1jwyyqW3BkMXKqC,yes,yes,36,21
R_3Dhl5RDE5WPkhjZ,no,no,0,0
R_82Cae0gGCtZlvZD,yes,yes,68,70
R_0Iq1QihJbkIZGG5,yes,yes,31,35
R_XYYWZaTga3BEXdL,yes,yes,17,21
R_31BhgcJAtt4udIx,yes,yes,47,36
R_O22BvtbesSiM9H3,yes,yes,16,22
R_22Q9Iw4NYMriVYz,yes,yes,14,9
R_V213xJcCci8mpHj,yes,yes,74,52
R_3QM1yoXPn1WIPIp,no,no,0,0
R_O9VAqYUDUshWv73,no,no,0,0
R_2ANDY1UL9QHh0bt,yes,yes,42,40
R_3PNeMMqpSuzFgK6,yes,yes,7,5
R_2fjoBMWdN1ICH1c,no,no,0,0
R_p59dkfQNljmhosh,no,no,0,0
R_6nxz0eKfNc1cdKF,yes,yes,19,0
R_1Ghi9cuDLyS5Fvj,yes,yes,23,18
R_2ri38po4P4fnJtK,yes,yes,40,26
R_zSuKsNMuq2O2oA9,yes,yes,64,64
R_2Y3vSpPmQtCUg27,yes,yes,34,42
R_cTMYr4InmqWqxyx,no,no,0,0
R_Ub92pGLz1xv4fbr,yes,yes,36,23
R_2WUWSPXQGpkoYiQ,yes,yes,61,57
R_1GTWJReePx9Mt0Y,yes,yes,25,50
R_3HIxxqBts6Z0OZO,yes,yes,70,62
R_2VsTI6YcrvQkU00,yes,yes,79,52
R_bl5z1a8F19q4rol,yes,yes,71,71
R_2riPjmHJ1ujE2AI,no,yes,0,15
R_237akAEwp1ZNQtX,yes,yes,75,61
R_28YlGk4KWcNC1Hz,yes,yes,52,87
R_1l3QaBdaMZAzDNc,yes,yes,8,9
R_WkD2Xf1StVlY1k5,yes,yes,23,19
R_3e2GBC1tsXm5UH9,yes,yes,45,44
R_5A6WR2APgRZFueJ,yes,yes,44,40
R_1OGOApUcrgQ9PDV,yes,no,87,0
R_AFO5tTqn4Q8XmqB,yes,yes,15,20
R_3fiMnltHW0VY7HP,yes,yes,31,34
R_2qpx286lR9fjVMC,yes,yes,30,32
R_2fy7OLb5SO3rVpk,yes,yes,15,12
R_31RjR49IX1YOJ7y,yes,no,68,0
R_yl0OHDoTCu63b7b,yes,yes,30,30
R_8vUJrorD6qPhNCh,yes,yes,43,41
R_Wrr9h9YwjeBoNpf,yes,yes,8,8
R_SDnvXDdPlMdrs9r,yes,yes,28,34
