response_id,lockdown_period,type,hours
R_w7AV8G1eEuySSVr,hours_together_with_chat,before,20
R_w7AV8G1eEuySSVr,hours_together_without_chat,before,5
R_w7AV8G1eEuySSVr,hours_alone,before,NA
R_w7AV8G1eEuySSVr,hours_together_with_chat,after,20
R_w7AV8G1eEuySSVr,hours_together_without_chat,after,NA
R_w7AV8G1eEuySSVr,hours_alone_before,duplicate,NA
R_3g11OuFlZDreUWH,hours_together_with_chat,before,23
R_3g11OuFlZDreUWH,hours_together_without_chat,before,NA
R_3g11OuFlZDreUWH,hours_alone,before,20
R_3g11OuFlZDreUWH,hours_together_with_chat,after,15
R_3g11OuFlZDreUWH,hours_together_without_chat,after,5
R_3g11OuFlZDreUWH,hours_alone_before,duplicate,4
R_ZIyPy9Dq6G7mGIx,hours_together_with_chat,before,4
R_ZIyPy9Dq6G7mGIx,hours_together_without_chat,before,NA
R_ZIyPy9Dq6G7mGIx,hours_alone,before,NA
R_ZIyPy9Dq6G7mGIx,hours_together_with_chat,after,6
R_ZIyPy9Dq6G7mGIx,hours_together_without_chat,after,NA
R_ZIyPy9Dq6G7mGIx,hours_alone_before,duplicate,NA
R_Rfb8RkRh6RRJLTr,hours_together_with_chat,before,NA
R_Rfb8RkRh6RRJLTr,hours_together_without_chat,before,NA
R_Rfb8RkRh6RRJLTr,hours_alone,before,NA
R_Rfb8RkRh6RRJLTr,hours_together_with_chat,after,NA
R_Rfb8RkRh6RRJLTr,hours_together_without_chat,after,2
R_Rfb8RkRh6RRJLTr,hours_alone_before,duplicate,NA
R_3EbuYRY1KfEPCX3,hours_together_with_chat,before,1
R_3EbuYRY1KfEPCX3,hours_together_without_chat,before,NA
R_3EbuYRY1KfEPCX3,hours_alone,before,NA
R_3EbuYRY1KfEPCX3,hours_together_with_chat,after,5
R_3EbuYRY1KfEPCX3,hours_together_without_chat,after,NA
R_3EbuYRY1KfEPCX3,hours_alone_before,duplicate,NA
R_3fW7nwlGuhwYbo5,hours_together_with_chat,before,5
R_3fW7nwlGuhwYbo5,hours_together_without_chat,before,NA
R_3fW7nwlGuhwYbo5,hours_alone,before,10
R_3fW7nwlGuhwYbo5,hours_together_with_chat,after,NA
R_3fW7nwlGuhwYbo5,hours_together_without_chat,after,NA
R_3fW7nwlGuhwYbo5,hours_alone_before,duplicate,5
R_vlag3f3fIWmaxeV,hours_together_with_chat,before,NA
R_vlag3f3fIWmaxeV,hours_together_without_chat,before,4
R_vlag3f3fIWmaxeV,hours_alone,before,4
R_vlag3f3fIWmaxeV,hours_together_with_chat,after,NA
R_vlag3f3fIWmaxeV,hours_together_without_chat,after,11
R_vlag3f3fIWmaxeV,hours_alone_before,duplicate,7
R_9Y4ZP3qLoi3t7fH,hours_together_with_chat,before,NA
R_9Y4ZP3qLoi3t7fH,hours_together_without_chat,before,NA
R_9Y4ZP3qLoi3t7fH,hours_alone,before,NA
R_9Y4ZP3qLoi3t7fH,hours_together_with_chat,after,NA
R_9Y4ZP3qLoi3t7fH,hours_together_without_chat,after,NA
R_9Y4ZP3qLoi3t7fH,hours_alone_before,duplicate,NA
R_5AVWI45K9Om73Gh,hours_together_with_chat,before,NA
R_5AVWI45K9Om73Gh,hours_together_without_chat,before,9
R_5AVWI45K9Om73Gh,hours_alone,before,5
R_5AVWI45K9Om73Gh,hours_together_with_chat,after,NA
R_5AVWI45K9Om73Gh,hours_together_without_chat,after,9
R_5AVWI45K9Om73Gh,hours_alone_before,duplicate,7
R_0xNlcN3NDWsWFsl,hours_together_with_chat,before,NA
R_0xNlcN3NDWsWFsl,hours_together_without_chat,before,NA
R_0xNlcN3NDWsWFsl,hours_alone,before,NA
R_0xNlcN3NDWsWFsl,hours_together_with_chat,after,NA
R_0xNlcN3NDWsWFsl,hours_together_without_chat,after,NA
R_0xNlcN3NDWsWFsl,hours_alone_before,duplicate,NA
R_2ZNqbe16jkaSqDs,hours_together_with_chat,before,47
R_2ZNqbe16jkaSqDs,hours_together_without_chat,before,NA
R_2ZNqbe16jkaSqDs,hours_alone,before,NA
R_2ZNqbe16jkaSqDs,hours_together_with_chat,after,45
R_2ZNqbe16jkaSqDs,hours_together_without_chat,after,NA
R_2ZNqbe16jkaSqDs,hours_alone_before,duplicate,NA
R_1jwyyqW3BkMXKqC,hours_together_with_chat,before,20
R_1jwyyqW3BkMXKqC,hours_together_without_chat,before,9
R_1jwyyqW3BkMXKqC,hours_alone,before,8
R_1jwyyqW3BkMXKqC,hours_together_with_chat,after,13
R_1jwyyqW3BkMXKqC,hours_together_without_chat,after,8
R_1jwyyqW3BkMXKqC,hours_alone_before,duplicate,7
R_3Dhl5RDE5WPkhjZ,hours_together_with_chat,before,NA
