response_id,hours_together_with_chat_before,hours_together_without_chat_before,hours_alone_before,hours_together_with_chat_after,hours_together_without_chat_after,hours_alone_before_duplicate
R_w7AV8G1eEuySSVr,20,5,NA,20,NA,NA
R_3g11OuFlZDreUWH,23,NA,20,15,5,4
R_ZIyPy9Dq6G7mGIx,4,NA,NA,6,NA,NA
R_Rfb8RkRh6RRJLTr,NA,NA,NA,NA,2,NA
R_3EbuYRY1KfEPCX3,1,NA,NA,5,NA,NA
R_3fW7nwlGuhwYbo5,5,NA,10,NA,NA,5
R_vlag3f3fIWmaxeV,NA,4,4,NA,11,7
R_9Y4ZP3qLoi3t7fH,NA,NA,NA,NA,NA,NA
R_5AVWI45K9Om73Gh,NA,9,5,NA,9,7
R_0xNlcN3NDWsWFsl,NA,NA,NA,NA,NA,NA
R_2ZNqbe16jkaSqDs,47,NA,NA,45,NA,NA
R_1jwyyqW3BkMXKqC,20,9,8,13,8,7
R_3Dhl5RDE5WPkhjZ,NA,NA,NA,NA,NA,NA
R_82Cae0gGCtZlvZD,30,NA,20,31,NA,36
R_0Iq1QihJbkIZGG5,1,NA,NA,NA,NA,NA
R_XYYWZaTga3BEXdL,NA,NA,NA,NA,NA,NA
R_31BhgcJAtt4udIx,20,20,20,10,10,11
R_O22BvtbesSiM9H3,NA,NA,10,NA,NA,6
R_22Q9Iw4NYMriVYz,NA,NA,NA,NA,NA,NA
R_V213xJcCci8mpHj,12,12,8,10,18,12
R_3QM1yoXPn1WIPIp,NA,NA,NA,NA,NA,NA
R_O9VAqYUDUshWv73,NA,NA,NA,NA,NA,NA
R_2ANDY1UL9QHh0bt,NA,20,NA,NA,34,19
R_3PNeMMqpSuzFgK6,NA,NA,NA,NA,NA,NA
R_2fjoBMWdN1ICH1c,NA,NA,NA,NA,NA,NA
R_p59dkfQNljmhosh,NA,NA,NA,NA,NA,NA
R_6nxz0eKfNc1cdKF,NA,NA,NA,NA,NA,16
R_1Ghi9cuDLyS5Fvj,NA,NA,NA,NA,NA,NA
R_2ri38po4P4fnJtK,25,NA,NA,40,NA,1
R_zSuKsNMuq2O2oA9,3,NA,NA,2,NA,NA
R_2Y3vSpPmQtCUg27,6,7,6,11,11,11
R_cTMYr4InmqWqxyx,NA,NA,NA,NA,NA,NA
R_Ub92pGLz1xv4fbr,NA,10,12,NA,NA,10
R_2WUWSPXQGpkoYiQ,6,NA,24,5,NA,20
R_1GTWJReePx9Mt0Y,NA,NA,NA,NA,NA,NA
R_3HIxxqBts6Z0OZO,21,NA,34,10,NA,60
R_2VsTI6YcrvQkU00,NA,NA,45,NA,1,60
R_bl5z1a8F19q4rol,NA,NA,NA,NA,NA,NA
R_2riPjmHJ1ujE2AI,NA,NA,8,NA,NA,NA
R_237akAEwp1ZNQtX,44,29,30,30,30,30
R_28YlGk4KWcNC1Hz,88,17,20,22,12,NA
R_1l3QaBdaMZAzDNc,2,3,6,3,2,6
R_WkD2Xf1StVlY1k5,5,10,10,4,11,8
R_3e2GBC1tsXm5UH9,10,1,20,11,10,21
R_5A6WR2APgRZFueJ,NA,15,15,NA,NA,NA
R_1OGOApUcrgQ9PDV,NA,NA,NA,14,5,NA
R_AFO5tTqn4Q8XmqB,NA,10,5,NA,10,NA
R_3fiMnltHW0VY7HP,20,5,5,10,5,6
R_2qpx286lR9fjVMC,8,NA,12,8,NA,9
R_2fy7OLb5SO3rVpk,NA,NA,NA,NA,NA,NA
R_31RjR49IX1YOJ7y,NA,NA,NA,21,NA,NA
R_yl0OHDoTCu63b7b,NA,7,25,NA,6,25
R_8vUJrorD6qPhNCh,NA,NA,18,NA,NA,31
R_Wrr9h9YwjeBoNpf,10,NA,10,8,NA,NA
R_SDnvXDdPlMdrs9r,10,NA,20,11,NA,16
