response_id,lockdown_period,score_emotional_loneliness,score_social_loneliness,missing_emotional_loneliness,missing_social_loneliness,total_score,total_missing
R_0Iq1QihJbkIZGG5,before,5,1,0,0,6,0
R_0Iq1QihJbkIZGG5,after,4,0,0,0,4,0
R_0xNlcN3NDWsWFsl,before,4,1,0,0,5,0
R_0xNlcN3NDWsWFsl,after,4,1,0,0,5,0
R_1Ghi9cuDLyS5Fvj,before,5,5,0,0,10,0
R_1Ghi9cuDLyS5Fvj,after,6,5,0,0,11,0
R_1GTWJReePx9Mt0Y,before,4,5,0,0,9,0
R_1GTWJReePx9Mt0Y,after,2,5,0,0,7,0
R_1jwyyqW3BkMXKqC,before,5,4,0,0,9,0
R_1jwyyqW3BkMXKqC,after,5,5,0,0,10,0
R_1l3QaBdaMZAzDNc,before,3,3,0,0,6,0
R_1l3QaBdaMZAzDNc,after,3,3,0,0,6,0
R_1OGOApUcrgQ9PDV,before,4,2,0,0,6,0
R_1OGOApUcrgQ9PDV,after,5,2,0,0,7,0
R_22Q9Iw4NYMriVYz,before,4,0,0,0,4,0
R_22Q9Iw4NYMriVYz,after,3,0,0,0,3,0
R_237akAEwp1ZNQtX,before,3,1,0,0,4,0
R_237akAEwp1ZNQtX,after,2,2,0,0,4,0
R_28YlGk4KWcNC1Hz,before,6,3,0,0,9,0
R_28YlGk4KWcNC1Hz,after,6,1,0,0,7,0
R_2ANDY1UL9QHh0bt,before,4,2,0,0,6,0
R_2ANDY1UL9QHh0bt,after,5,3,0,0,8,0
R_2fjoBMWdN1ICH1c,before,5,1,0,0,6,0
R_2fjoBMWdN1ICH1c,after,5,1,0,0,6,0
R_2fy7OLb5SO3rVpk,before,5,4,0,0,9,0
R_2fy7OLb5SO3rVpk,after,5,4,0,0,9,0
R_2qpx286lR9fjVMC,before,4,3,0,0,7,0
R_2qpx286lR9fjVMC,after,4,4,0,0,8,0
R_2ri38po4P4fnJtK,before,5,1,0,0,6,0
R_2ri38po4P4fnJtK,after,5,0,0,0,5,0
R_2riPjmHJ1ujE2AI,before,6,5,0,0,11,0
R_2riPjmHJ1ujE2AI,after,6,5,0,0,11,0
R_2VsTI6YcrvQkU00,before,4,4,0,0,8,0
R_2VsTI6YcrvQkU00,after,5,5,0,0,10,0
R_2WUWSPXQGpkoYiQ,before,5,5,0,0,10,0
R_2WUWSPXQGpkoYiQ,after,4,5,0,0,9,0
R_2Y3vSpPmQtCUg27,before,5,5,0,0,10,0
R_2Y3vSpPmQtCUg27,after,3,5,0,0,8,0
R_2ZNqbe16jkaSqDs,before,0,0,0,0,0,0
R_2ZNqbe16jkaSqDs,after,0,0,0,0,0,0
R_31BhgcJAtt4udIx,before,6,4,0,0,10,0
R_31BhgcJAtt4udIx,after,6,2,0,0,8,0
R_31RjR49IX1YOJ7y,before,6,1,0,0,7,0
R_31RjR49IX1YOJ7y,after,6,4,0,0,10,0
R_3Dhl5RDE5WPkhjZ,before,0,2,0,0,2,0
R_3Dhl5RDE5WPkhjZ,after,0,1,0,0,1,0
R_3e2GBC1tsXm5UH9,before,5,2,0,0,7,0
R_3e2GBC1tsXm5UH9,after,5,4,0,0,9,0
R_3EbuYRY1KfEPCX3,before,4,0,0,0,4,0
R_3EbuYRY1KfEPCX3,after,4,0,0,0,4,0
R_3fiMnltHW0VY7HP,before,2,0,0,0,2,0
R_3fiMnltHW0VY7HP,after,2,0,0,0,2,0
R_3fW7nwlGuhwYbo5,before,5,1,0,0,6,0
R_3fW7nwlGuhwYbo5,after,5,4,0,0,9,0
R_3g11OuFlZDreUWH,before,6,5,0,0,11,0
R_3g11OuFlZDreUWH,after,5,5,0,0,10,0
R_3HIxxqBts6Z0OZO,before,5,4,0,0,9,0
R_3HIxxqBts6Z0OZO,after,4,3,0,0,7,0
R_3PNeMMqpSuzFgK6,before,3,2,0,0,5,0
R_3PNeMMqpSuzFgK6,after,4,2,0,0,6,0
R_3QM1yoXPn1WIPIp,before,6,4,0,0,10,0
R_3QM1yoXPn1WIPIp,after,6,5,0,0,11,0
R_5A6WR2APgRZFueJ,before,6,5,0,0,11,0
R_5A6WR2APgRZFueJ,after,6,5,0,0,11,0
R_5AVWI45K9Om73Gh,before,4,2,0,0,6,0
R_5AVWI45K9Om73Gh,after,4,1,0,0,5,0
R_6nxz0eKfNc1cdKF,before,4,5,0,0,9,0
R_6nxz0eKfNc1cdKF,after,6,5,0,0,11,0
R_82Cae0gGCtZlvZD,before,3,4,0,0,7,0
R_82Cae0gGCtZlvZD,after,6,3,0,0,9,0
R_8vUJrorD6qPhNCh,before,2,0,0,0,2,0
R_8vUJrorD6qPhNCh,after,2,1,0,0,3,0
R_9Y4ZP3qLoi3t7fH,before,5,5,0,0,10,0
R_9Y4ZP3qLoi3t7fH,after,5,5,0,0,10,0
R_AFO5tTqn4Q8XmqB,before,6,3,0,0,9,0
R_AFO5tTqn4Q8XmqB,after,6,5,0,0,11,0
R_bl5z1a8F19q4rol,before,0,3,0,0,3,0
R_bl5z1a8F19q4rol,after,0,3,0,0,3,0
R_cTMYr4InmqWqxyx,before,3,0,0,0,3,0
R_cTMYr4InmqWqxyx,after,4,0,0,0,4,0
R_O22BvtbesSiM9H3,before,6,4,0,0,10,0
R_O22BvtbesSiM9H3,after,6,4,0,0,10,0
R_O9VAqYUDUshWv73,before,5,1,0,0,6,0
R_O9VAqYUDUshWv73,after,4,0,0,0,4,0
R_p59dkfQNljmhosh,before,6,4,0,0,10,0
R_p59dkfQNljmhosh,after,6,5,0,0,11,0
R_Rfb8RkRh6RRJLTr,before,3,5,0,0,8,0
R_Rfb8RkRh6RRJLTr,after,6,4,0,0,10,0
R_SDnvXDdPlMdrs9r,before,3,0,0,0,3,0
R_SDnvXDdPlMdrs9r,after,5,1,0,0,6,0
R_Ub92pGLz1xv4fbr,before,3,1,0,0,4,0
R_Ub92pGLz1xv4fbr,after,4,1,0,0,5,0
R_V213xJcCci8mpHj,before,5,1,0,0,6,0
R_V213xJcCci8mpHj,after,5,1,0,0,6,0
R_vlag3f3fIWmaxeV,before,5,0,0,0,5,0
R_vlag3f3fIWmaxeV,after,5,2,0,0,7,0
R_w7AV8G1eEuySSVr,before,5,1,0,0,6,0
R_w7AV8G1eEuySSVr,after,5,1,0,0,6,0
R_WkD2Xf1StVlY1k5,before,6,5,0,0,11,0
R_WkD2Xf1StVlY1k5,after,6,4,0,0,10,0
R_Wrr9h9YwjeBoNpf,before,5,0,0,0,5,0
R_Wrr9h9YwjeBoNpf,after,3,0,0,0,3,0
R_XYYWZaTga3BEXdL,before,2,4,0,0,6,0
R_XYYWZaTga3BEXdL,after,2,3,0,0,5,0
R_yl0OHDoTCu63b7b,before,6,3,0,0,9,0
R_yl0OHDoTCu63b7b,after,6,4,0,0,10,0
R_ZIyPy9Dq6G7mGIx,before,4,4,0,0,8,0
R_ZIyPy9Dq6G7mGIx,after,3,3,0,0,6,0
R_zSuKsNMuq2O2oA9,before,3,2,0,0,5,0
R_zSuKsNMuq2O2oA9,after,4,4,0,0,8,0
