response_id,lockdown_period_during,lockdown_period_before,score_emotional_loneliness_during,score_emotional_loneliness_before,score_social_loneliness_during,score_social_loneliness_before,missing_emotional_loneliness_during,missing_emotional_loneliness_before,missing_social_loneliness_during,missing_social_loneliness_before,total_score_during,total_score_before,total_missing_during,total_missing_before
R_0Iq1QihJbkIZGG5,during,before,4,5,0,1,0,0,0,0,4,6,0,0
R_0xNlcN3NDWsWFsl,during,before,4,4,1,1,0,0,0,0,5,5,0,0
R_1Ghi9cuDLyS5Fvj,during,before,6,5,5,5,0,0,0,0,11,10,0,0
R_1GTWJReePx9Mt0Y,during,before,2,4,5,5,0,0,0,0,7,9,0,0
R_1jwyyqW3BkMXKqC,during,before,5,5,5,4,0,0,0,0,10,9,0,0
R_1l3QaBdaMZAzDNc,during,before,3,3,3,3,0,0,0,0,6,6,0,0
R_1OGOApUcrgQ9PDV,during,before,5,4,2,2,0,0,0,0,7,6,0,0
R_22Q9Iw4NYMriVYz,during,before,3,4,0,0,0,0,0,0,3,4,0,0
R_237akAEwp1ZNQtX,during,before,2,3,2,1,0,0,0,0,4,4,0,0
R_28YlGk4KWcNC1Hz,during,before,6,6,1,3,0,0,0,0,7,9,0,0
R_2ANDY1UL9QHh0bt,during,before,5,4,3,2,0,0,0,0,8,6,0,0
R_2fjoBMWdN1ICH1c,during,before,5,5,1,1,0,0,0,0,6,6,0,0
R_2fy7OLb5SO3rVpk,during,before,5,5,4,4,0,0,0,0,9,9,0,0
R_2qpx286lR9fjVMC,during,before,4,4,4,3,0,0,0,0,8,7,0,0
R_2ri38po4P4fnJtK,during,before,5,5,0,1,0,0,0,0,5,6,0,0
R_2riPjmHJ1ujE2AI,during,before,6,6,5,5,0,0,0,0,11,11,0,0
R_2VsTI6YcrvQkU00,during,before,5,4,5,4,0,0,0,0,10,8,0,0
R_2WUWSPXQGpkoYiQ,during,before,4,5,5,5,0,0,0,0,9,10,0,0
R_2Y3vSpPmQtCUg27,during,before,3,5,5,5,0,0,0,0,8,10,0,0
R_2ZNqbe16jkaSqDs,during,before,0,0,0,0,0,0,0,0,0,0,0,0
R_31BhgcJAtt4udIx,during,before,6,6,2,4,0,0,0,0,8,10,0,0
R_31RjR49IX1YOJ7y,during,before,6,6,4,1,0,0,0,0,10,7,0,0
R_3Dhl5RDE5WPkhjZ,during,before,0,0,1,2,0,0,0,0,1,2,0,0
R_3e2GBC1tsXm5UH9,during,before,5,5,4,2,0,0,0,0,9,7,0,0
R_3EbuYRY1KfEPCX3,during,before,4,4,0,0,0,0,0,0,4,4,0,0
R_3fiMnltHW0VY7HP,during,before,2,2,0,0,0,0,0,0,2,2,0,0
R_3fW7nwlGuhwYbo5,during,before,5,5,4,1,0,0,0,0,9,6,0,0
R_3g11OuFlZDreUWH,during,before,5,6,5,5,0,0,0,0,10,11,0,0
R_3HIxxqBts6Z0OZO,during,before,4,5,3,4,0,0,0,0,7,9,0,0
R_3PNeMMqpSuzFgK6,during,before,4,3,2,2,0,0,0,0,6,5,0,0
R_3QM1yoXPn1WIPIp,during,before,6,6,5,4,0,0,0,0,11,10,0,0
R_5A6WR2APgRZFueJ,during,before,6,6,5,5,0,0,0,0,11,11,0,0
R_5AVWI45K9Om73Gh,during,before,4,4,1,2,0,0,0,0,5,6,0,0
R_6nxz0eKfNc1cdKF,during,before,6,4,5,5,0,0,0,0,11,9,0,0
R_82Cae0gGCtZlvZD,during,before,6,3,3,4,0,0,0,0,9,7,0,0
R_8vUJrorD6qPhNCh,during,before,2,2,1,0,0,0,0,0,3,2,0,0
R_9Y4ZP3qLoi3t7fH,during,before,5,5,5,5,0,0,0,0,10,10,0,0
R_AFO5tTqn4Q8XmqB,during,before,6,6,5,3,0,0,0,0,11,9,0,0
R_bl5z1a8F19q4rol,during,before,0,0,3,3,0,0,0,0,3,3,0,0
R_cTMYr4InmqWqxyx,during,before,4,3,0,0,0,0,0,0,4,3,0,0
R_O22BvtbesSiM9H3,during,before,6,6,4,4,0,0,0,0,10,10,0,0
R_O9VAqYUDUshWv73,during,before,4,5,0,1,0,0,0,0,4,6,0,0
R_p59dkfQNljmhosh,during,before,6,6,5,4,0,0,0,0,11,10,0,0
R_Rfb8RkRh6RRJLTr,during,before,6,3,4,5,0,0,0,0,10,8,0,0
R_SDnvXDdPlMdrs9r,during,before,5,3,1,0,0,0,0,0,6,3,0,0
R_Ub92pGLz1xv4fbr,during,before,4,3,1,1,0,0,0,0,5,4,0,0
R_V213xJcCci8mpHj,during,before,5,5,1,1,0,0,0,0,6,6,0,0
R_vlag3f3fIWmaxeV,during,before,5,5,2,0,0,0,0,0,7,5,0,0
R_w7AV8G1eEuySSVr,during,before,5,5,1,1,0,0,0,0,6,6,0,0
R_WkD2Xf1StVlY1k5,during,before,6,6,4,5,0,0,0,0,10,11,0,0
R_Wrr9h9YwjeBoNpf,during,before,3,5,0,0,0,0,0,0,3,5,0,0
R_XYYWZaTga3BEXdL,during,before,2,2,3,4,0,0,0,0,5,6,0,0
R_yl0OHDoTCu63b7b,during,before,6,6,4,3,0,0,0,0,10,9,0,0
R_ZIyPy9Dq6G7mGIx,during,before,3,4,3,4,0,0,0,0,6,8,0,0
R_zSuKsNMuq2O2oA9,during,before,4,3,4,2,0,0,0,0,8,5,0,0
