response_id,loneliness_during,loneliness_before
R_0Iq1QihJbkIZGG5,3,6
R_0xNlcN3NDWsWFsl,6,6
R_1Ghi9cuDLyS5Fvj,8,7
R_1GTWJReePx9Mt0Y,6,6
R_1jwyyqW3BkMXKqC,7,7
R_1l3QaBdaMZAzDNc,6,5
R_1OGOApUcrgQ9PDV,6,7
R_22Q9Iw4NYMriVYz,3,3
R_237akAEwp1ZNQtX,3,4
R_28YlGk4KWcNC1Hz,9,9
R_2ANDY1UL9QHh0bt,6,4
R_2fjoBMWdN1ICH1c,9,7
R_2fy7OLb5SO3rVpk,7,5
R_2qpx286lR9fjVMC,6,6
R_2ri38po4P4fnJtK,5,5
R_2riPjmHJ1ujE2AI,9,6
R_2VsTI6YcrvQkU00,7,8
R_2WUWSPXQGpkoYiQ,7,7
R_2Y3vSpPmQtCUg27,4,6
R_2ZNqbe16jkaSqDs,3,3
R_31BhgcJAtt4udIx,8,7
R_31RjR49IX1YOJ7y,7,5
R_3Dhl5RDE5WPkhjZ,3,3
R_3e2GBC1tsXm5UH9,3,3
R_3EbuYRY1KfEPCX3,7,5
R_3fiMnltHW0VY7HP,4,5
R_3fW7nwlGuhwYbo5,5,3
R_3g11OuFlZDreUWH,6,8
R_3HIxxqBts6Z0OZO,7,6
R_3PNeMMqpSuzFgK6,4,5
R_3QM1yoXPn1WIPIp,6,6
R_5A6WR2APgRZFueJ,9,8
R_5AVWI45K9Om73Gh,4,5
R_6nxz0eKfNc1cdKF,9,6
R_82Cae0gGCtZlvZD,9,4
R_8vUJrorD6qPhNCh,3,4
R_9Y4ZP3qLoi3t7fH,7,7
R_AFO5tTqn4Q8XmqB,8,8
R_bl5z1a8F19q4rol,3,6
R_cTMYr4InmqWqxyx,3,3
R_O22BvtbesSiM9H3,8,6
R_O9VAqYUDUshWv73,4,4
R_p59dkfQNljmhosh,8,6
R_Rfb8RkRh6RRJLTr,5,6
R_SDnvXDdPlMdrs9r,4,7
R_Ub92pGLz1xv4fbr,4,5
R_V213xJcCci8mpHj,7,7
R_vlag3f3fIWmaxeV,4,3
R_w7AV8G1eEuySSVr,8,6
R_WkD2Xf1StVlY1k5,8,7
R_Wrr9h9YwjeBoNpf,5,5
R_XYYWZaTga3BEXdL,5,5
R_yl0OHDoTCu63b7b,9,9
R_ZIyPy9Dq6G7mGIx,6,8
R_zSuKsNMuq2O2oA9,5,5
