response_id,regularly_watch_before,hours_watching_before,hours_watching_before_duplicate,hours_watching_during,hours_interacting_watching_during,hours_interacting_watching_during_duplicate
R_w7AV8G1eEuySSVr,no,NA,NA,2,NA,NA
R_3g11OuFlZDreUWH,yes,44,21,1,13,23
R_ZIyPy9Dq6G7mGIx,no,NA,NA,2,NA,NA
R_Rfb8RkRh6RRJLTr,NA,NA,NA,2,NA,NA
R_3EbuYRY1KfEPCX3,no,NA,NA,2,0,NA
R_3fW7nwlGuhwYbo5,no,NA,NA,2,NA,NA
R_vlag3f3fIWmaxeV,no,NA,NA,1,9,5
R_9Y4ZP3qLoi3t7fH,no,NA,NA,2,NA,NA
R_5AVWI45K9Om73Gh,no,NA,NA,2,NA,NA
R_0xNlcN3NDWsWFsl,NA,NA,NA,2,NA,NA
R_2ZNqbe16jkaSqDs,yes,50,52,1,61,49
R_1jwyyqW3BkMXKqC,yes,35,34,1,35,19
R_3Dhl5RDE5WPkhjZ,NA,NA,NA,1,0,NA
R_82Cae0gGCtZlvZD,no,NA,NA,2,NA,NA
R_0Iq1QihJbkIZGG5,yes,3,2,1,4,6
R_XYYWZaTga3BEXdL,yes,3,3,1,0,0
R_31BhgcJAtt4udIx,yes,15,15,1,15,15
R_O22BvtbesSiM9H3,yes,20,15,1,8,1
R_22Q9Iw4NYMriVYz,no,NA,NA,2,NA,NA
R_V213xJcCci8mpHj,no,NA,NA,2,15,NA
R_3QM1yoXPn1WIPIp,NA,NA,NA,2,30,NA
R_O9VAqYUDUshWv73,NA,NA,NA,2,NA,NA
R_2ANDY1UL9QHh0bt,no,NA,NA,2,NA,NA
R_3PNeMMqpSuzFgK6,yes,2,2,2,0,NA
R_2fjoBMWdN1ICH1c,NA,NA,NA,1,2,9
R_p59dkfQNljmhosh,NA,NA,NA,2,NA,NA
R_6nxz0eKfNc1cdKF,no,NA,NA,2,NA,NA
R_1Ghi9cuDLyS5Fvj,no,NA,NA,2,NA,NA
R_2ri38po4P4fnJtK,no,NA,NA,2,NA,NA
R_zSuKsNMuq2O2oA9,no,NA,NA,2,NA,NA
R_2Y3vSpPmQtCUg27,no,NA,NA,2,NA,NA
R_cTMYr4InmqWqxyx,NA,NA,NA,2,NA,NA
R_Ub92pGLz1xv4fbr,no,NA,NA,1,NA,NA
R_2WUWSPXQGpkoYiQ,no,NA,NA,2,0,NA
R_1GTWJReePx9Mt0Y,no,NA,NA,2,0,NA
R_3HIxxqBts6Z0OZO,no,NA,NA,2,NA,NA
R_2VsTI6YcrvQkU00,yes,35,35,1,60,60
R_bl5z1a8F19q4rol,no,NA,NA,2,NA,NA
R_2riPjmHJ1ujE2AI,no,NA,NA,2,NA,NA
R_237akAEwp1ZNQtX,yes,25,25,1,24,18
R_28YlGk4KWcNC1Hz,yes,14,33,1,10,10
R_1l3QaBdaMZAzDNc,yes,2,2,1,2,2
R_WkD2Xf1StVlY1k5,no,NA,NA,2,NA,NA
R_3e2GBC1tsXm5UH9,yes,5,5,2,0,NA
R_5A6WR2APgRZFueJ,no,NA,NA,2,NA,NA
R_1OGOApUcrgQ9PDV,NA,NA,NA,2,3,NA
R_AFO5tTqn4Q8XmqB,no,NA,NA,2,NA,NA
R_3fiMnltHW0VY7HP,no,NA,NA,2,2,NA
R_2qpx286lR9fjVMC,no,NA,NA,2,NA,NA
R_2fy7OLb5SO3rVpk,yes,9,NA,1,22,NA
R_31RjR49IX1YOJ7y,NA,NA,NA,1,0,NA
R_yl0OHDoTCu63b7b,yes,10,10,1,8,NA
R_8vUJrorD6qPhNCh,no,NA,NA,2,NA,NA
R_Wrr9h9YwjeBoNpf,no,NA,NA,2,NA,NA
R_SDnvXDdPlMdrs9r,no,NA,NA,2,NA,NA
