response_id,lockdown_period,subscale,score,id,total_hours_played,total_hours_played_s,score_ord
R_0Iq1QihJbkIZGG5,after,depression,6,1,31,0.044453274943530054,6
R_0Iq1QihJbkIZGG5,before,depression,6,1,35,0.21602731858522517,6
R_0xNlcN3NDWsWFsl,after,depression,12,2,20,-0.4273753450711315,12
R_0xNlcN3NDWsWFsl,before,depression,10,2,0,-1.2852455632796072,10
R_1Ghi9cuDLyS5Fvj,after,depression,24,3,23,-0.29869481233986017,24
R_1Ghi9cuDLyS5Fvj,before,depression,24,3,18,-0.513162366891979,24
R_1GTWJReePx9Mt0Y,after,depression,14,4,25,-0.21290779051901262,14
R_1GTWJReePx9Mt0Y,before,depression,30,4,50,0.8594299822415818,30
R_1jwyyqW3BkMXKqC,after,depression,14,5,36,0.25892082949564893,14
R_1jwyyqW3BkMXKqC,before,depression,20,5,21,-0.38448183416070775,20
R_1l3QaBdaMZAzDNc,after,depression,18,6,8,-0.9420974759962168,18
R_1l3QaBdaMZAzDNc,before,depression,14,6,9,-0.899203965085793,14
R_1OGOApUcrgQ9PDV,after,depression,24,7,87,2.4464898859272615,24
R_1OGOApUcrgQ9PDV,before,depression,34,7,0,-1.2852455632796072,34
R_22Q9Iw4NYMriVYz,after,depression,2,8,14,-0.6847364105336742,2
R_22Q9Iw4NYMriVYz,before,depression,2,8,9,-0.899203965085793,2
R_237akAEwp1ZNQtX,after,depression,4,9,75,1.9317677550021761,4
R_237akAEwp1ZNQtX,before,depression,0,9,61,1.3312586022562434,0
R_28YlGk4KWcNC1Hz,after,depression,42,10,52,0.9452170040624294,42
R_28YlGk4KWcNC1Hz,before,depression,42,10,87,2.4464898859272615,42
R_2ANDY1UL9QHh0bt,after,depression,2,11,42,0.5162818949581917,2
R_2ANDY1UL9QHh0bt,before,depression,2,11,40,0.4304948731373441,2
R_2fjoBMWdN1ICH1c,after,depression,8,12,0,-1.2852455632796072,8
R_2fjoBMWdN1ICH1c,before,depression,18,12,0,-1.2852455632796072,18
R_2fy7OLb5SO3rVpk,after,depression,22,13,15,-0.6418428996232504,22
R_2fy7OLb5SO3rVpk,before,depression,26,13,12,-0.7705234323545217,26
R_2qpx286lR9fjVMC,after,depression,14,14,30,0.0015597640331062722,14
R_2qpx286lR9fjVMC,before,depression,20,14,32,0.08734678585395383,20
R_2ri38po4P4fnJtK,after,depression,10,15,40,0.4304948731373441,10
R_2ri38po4P4fnJtK,before,depression,10,15,26,-0.17001427960858884,10
R_2riPjmHJ1ujE2AI,after,depression,32,16,0,-1.2852455632796072,32
R_2riPjmHJ1ujE2AI,before,depression,30,16,15,-0.6418428996232504,30
R_2VsTI6YcrvQkU00,after,depression,18,17,79,2.1033417986438714,18
R_2VsTI6YcrvQkU00,before,depression,12,17,52,0.9452170040624294,12
R_2WUWSPXQGpkoYiQ,after,depression,32,18,61,1.3312586022562434,32
R_2WUWSPXQGpkoYiQ,before,depression,28,18,57,1.1596845586145483,28
R_2Y3vSpPmQtCUg27,after,depression,2,19,34,0.17313380767480138,2
R_2Y3vSpPmQtCUg27,before,depression,4,19,42,0.5162818949581917,4
R_2ZNqbe16jkaSqDs,after,depression,0,20,52,0.9452170040624294,0
R_2ZNqbe16jkaSqDs,before,depression,0,20,39,0.38760136222692027,0
R_31BhgcJAtt4udIx,after,depression,42,21,47,0.7307494495103105,42
R_31BhgcJAtt4udIx,before,depression,32,21,36,0.25892082949564893,32
R_31RjR49IX1YOJ7y,after,depression,14,22,68,1.6315131786292096,14
R_31RjR49IX1YOJ7y,before,depression,0,22,0,-1.2852455632796072,0
R_3Dhl5RDE5WPkhjZ,after,depression,10,23,0,-1.2852455632796072,10
R_3Dhl5RDE5WPkhjZ,before,depression,10,23,0,-1.2852455632796072,10
R_3e2GBC1tsXm5UH9,after,depression,8,24,45,0.644962427689463,8
R_3e2GBC1tsXm5UH9,before,depression,10,24,44,0.6020689167790392,10
R_3EbuYRY1KfEPCX3,after,depression,26,25,4,-1.1136715196379119,26
R_3EbuYRY1KfEPCX3,before,depression,26,25,5,-1.0707780087274883,26
R_3fiMnltHW0VY7HP,after,depression,6,26,31,0.044453274943530054,6
R_3fiMnltHW0VY7HP,before,depression,6,26,34,0.17313380767480138,6
R_3fW7nwlGuhwYbo5,after,depression,20,27,31,0.044453274943530054,20
R_3fW7nwlGuhwYbo5,before,depression,10,27,35,0.21602731858522517,10
R_3g11OuFlZDreUWH,after,depression,24,28,41,0.47338838404776784,24
R_3g11OuFlZDreUWH,before,depression,22,28,19,-0.4702688559815553,22
R_3HIxxqBts6Z0OZO,after,depression,8,29,70,1.7173002004500573,8
R_3HIxxqBts6Z0OZO,before,depression,10,29,62,1.374152113166667,10
R_3PNeMMqpSuzFgK6,after,depression,2,30,7,-0.9849909869066407,2
R_3PNeMMqpSuzFgK6,before,depression,4,30,5,-1.0707780087274883,4
R_3QM1yoXPn1WIPIp,after,depression,14,31,0,-1.2852455632796072,14
R_3QM1yoXPn1WIPIp,before,depression,22,31,0,-1.2852455632796072,22
R_5A6WR2APgRZFueJ,after,depression,22,32,44,0.6020689167790392,22
R_5A6WR2APgRZFueJ,before,depression,22,32,40,0.4304948731373441,22
R_5AVWI45K9Om73Gh,after,depression,22,33,58,1.2025780695249721,22
R_5AVWI45K9Om73Gh,before,depression,16,33,48,0.7736429604207343,16
R_6nxz0eKfNc1cdKF,after,depression,20,34,19,-0.4702688559815553,20
R_6nxz0eKfNc1cdKF,before,depression,16,34,0,-1.2852455632796072,16
R_82Cae0gGCtZlvZD,after,depression,30,35,68,1.6315131786292096,30
R_82Cae0gGCtZlvZD,before,depression,2,35,70,1.7173002004500573,2
R_8vUJrorD6qPhNCh,after,depression,0,36,43,0.5591754058686154,0
R_8vUJrorD6qPhNCh,before,depression,2,36,41,0.47338838404776784,2
R_9Y4ZP3qLoi3t7fH,after,depression,36,37,18,-0.513162366891979,36
R_9Y4ZP3qLoi3t7fH,before,depression,40,37,29,-0.04133374687731751,40
R_AFO5tTqn4Q8XmqB,after,depression,40,38,15,-0.6418428996232504,40
R_AFO5tTqn4Q8XmqB,before,depression,30,38,20,-0.4273753450711315,30
R_bl5z1a8F19q4rol,after,depression,12,39,71,1.760193711360481,12
R_bl5z1a8F19q4rol,before,depression,10,39,71,1.760193711360481,10
R_cTMYr4InmqWqxyx,after,depression,20,40,0,-1.2852455632796072,20
R_cTMYr4InmqWqxyx,before,depression,14,40,0,-1.2852455632796072,14
R_O22BvtbesSiM9H3,after,depression,28,41,16,-0.5989493887128267,28
R_O22BvtbesSiM9H3,before,depression,24,41,22,-0.341588323250284,24
R_O9VAqYUDUshWv73,after,depression,8,42,0,-1.2852455632796072,8
R_O9VAqYUDUshWv73,before,depression,8,42,0,-1.2852455632796072,8
R_p59dkfQNljmhosh,after,depression,14,43,0,-1.2852455632796072,14
R_p59dkfQNljmhosh,before,depression,4,43,0,-1.2852455632796072,4
R_Rfb8RkRh6RRJLTr,after,depression,16,44,7,-0.9849909869066407,16
R_Rfb8RkRh6RRJLTr,before,depression,18,44,0,-1.2852455632796072,18
R_SDnvXDdPlMdrs9r,after,depression,8,45,28,-0.08422725778774129,8
R_SDnvXDdPlMdrs9r,before,depression,14,45,34,0.17313380767480138,14
R_Ub92pGLz1xv4fbr,after,depression,6,46,36,0.25892082949564893,6
R_Ub92pGLz1xv4fbr,before,depression,6,46,23,-0.29869481233986017,6
