response_id,lockdown_period,score,id,total_hours_played,total_hours_played_s,score_ord
R_0Iq1QihJbkIZGG5,before,6,1,35,0.21602731858522517,6
R_0Iq1QihJbkIZGG5,after,4,1,31,0.044453274943530054,4
R_0xNlcN3NDWsWFsl,before,5,2,0,-1.2852455632796072,5
R_0xNlcN3NDWsWFsl,after,5,2,20,-0.4273753450711315,5
R_1Ghi9cuDLyS5Fvj,before,10,3,18,-0.513162366891979,10
R_1Ghi9cuDLyS5Fvj,after,11,3,23,-0.29869481233986017,11
R_1GTWJReePx9Mt0Y,before,9,4,50,0.8594299822415818,9
R_1GTWJReePx9Mt0Y,after,7,4,25,-0.21290779051901262,7
R_1jwyyqW3BkMXKqC,before,9,5,21,-0.38448183416070775,9
R_1jwyyqW3BkMXKqC,after,10,5,36,0.25892082949564893,10
R_1l3QaBdaMZAzDNc,before,6,6,9,-0.899203965085793,6
R_1l3QaBdaMZAzDNc,after,6,6,8,-0.9420974759962168,6
R_1OGOApUcrgQ9PDV,before,6,7,0,-1.2852455632796072,6
R_1OGOApUcrgQ9PDV,after,7,7,87,2.4464898859272615,7
R_22Q9Iw4NYMriVYz,before,4,8,9,-0.899203965085793,4
R_22Q9Iw4NYMriVYz,after,3,8,14,-0.6847364105336742,3
R_237akAEwp1ZNQtX,before,4,9,61,1.3312586022562434,4
R_237akAEwp1ZNQtX,after,4,9,75,1.9317677550021761,4
R_28YlGk4KWcNC1Hz,before,9,10,87,2.4464898859272615,9
R_28YlGk4KWcNC1Hz,after,7,10,52,0.9452170040624294,7
R_2ANDY1UL9QHh0bt,before,6,11,40,0.4304948731373441,6
R_2ANDY1UL9QHh0bt,after,8,11,42,0.5162818949581917,8
R_2fjoBMWdN1ICH1c,before,6,12,0,-1.2852455632796072,6
R_2fjoBMWdN1ICH1c,after,6,12,0,-1.2852455632796072,6
R_2fy7OLb5SO3rVpk,before,9,13,12,-0.7705234323545217,9
R_2fy7OLb5SO3rVpk,after,9,13,15,-0.6418428996232504,9
R_2qpx286lR9fjVMC,before,7,14,32,0.08734678585395383,7
R_2qpx286lR9fjVMC,after,8,14,30,0.0015597640331062722,8
R_2ri38po4P4fnJtK,before,6,15,26,-0.17001427960858884,6
R_2ri38po4P4fnJtK,after,5,15,40,0.4304948731373441,5
R_2riPjmHJ1ujE2AI,before,11,16,15,-0.6418428996232504,11
R_2riPjmHJ1ujE2AI,after,11,16,0,-1.2852455632796072,11
R_2VsTI6YcrvQkU00,before,8,17,52,0.9452170040624294,8
R_2VsTI6YcrvQkU00,after,10,17,79,2.1033417986438714,10
R_2WUWSPXQGpkoYiQ,before,10,18,57,1.1596845586145483,10
R_2WUWSPXQGpkoYiQ,after,9,18,61,1.3312586022562434,9
R_2Y3vSpPmQtCUg27,before,10,19,42,0.5162818949581917,10
R_2Y3vSpPmQtCUg27,after,8,19,34,0.17313380767480138,8
R_2ZNqbe16jkaSqDs,before,0,20,39,0.38760136222692027,0
R_2ZNqbe16jkaSqDs,after,0,20,52,0.9452170040624294,0
R_31BhgcJAtt4udIx,before,10,21,36,0.25892082949564893,10
R_31BhgcJAtt4udIx,after,8,21,47,0.7307494495103105,8
R_31RjR49IX1YOJ7y,before,7,22,0,-1.2852455632796072,7
R_31RjR49IX1YOJ7y,after,10,22,68,1.6315131786292096,10
R_3Dhl5RDE5WPkhjZ,before,2,23,0,-1.2852455632796072,2
R_3Dhl5RDE5WPkhjZ,after,1,23,0,-1.2852455632796072,1
R_3e2GBC1tsXm5UH9,before,7,24,44,0.6020689167790392,7
R_3e2GBC1tsXm5UH9,after,9,24,45,0.644962427689463,9
R_3EbuYRY1KfEPCX3,before,4,25,5,-1.0707780087274883,4
R_3EbuYRY1KfEPCX3,after,4,25,4,-1.1136715196379119,4
R_3fiMnltHW0VY7HP,before,2,26,34,0.17313380767480138,2
R_3fiMnltHW0VY7HP,after,2,26,31,0.044453274943530054,2
R_3fW7nwlGuhwYbo5,before,6,27,35,0.21602731858522517,6
R_3fW7nwlGuhwYbo5,after,9,27,31,0.044453274943530054,9
R_3g11OuFlZDreUWH,before,11,28,19,-0.4702688559815553,11
R_3g11OuFlZDreUWH,after,10,28,41,0.47338838404776784,10
R_3HIxxqBts6Z0OZO,before,9,29,62,1.374152113166667,9
R_3HIxxqBts6Z0OZO,after,7,29,70,1.7173002004500573,7
R_3PNeMMqpSuzFgK6,before,5,30,5,-1.0707780087274883,5
R_3PNeMMqpSuzFgK6,after,6,30,7,-0.9849909869066407,6
R_3QM1yoXPn1WIPIp,before,10,31,0,-1.2852455632796072,10
R_3QM1yoXPn1WIPIp,after,11,31,0,-1.2852455632796072,11
R_5A6WR2APgRZFueJ,before,11,32,40,0.4304948731373441,11
R_5A6WR2APgRZFueJ,after,11,32,44,0.6020689167790392,11
R_5AVWI45K9Om73Gh,before,6,33,48,0.7736429604207343,6
R_5AVWI45K9Om73Gh,after,5,33,58,1.2025780695249721,5
R_6nxz0eKfNc1cdKF,before,9,34,0,-1.2852455632796072,9
R_6nxz0eKfNc1cdKF,after,11,34,19,-0.4702688559815553,11
R_82Cae0gGCtZlvZD,before,7,35,70,1.7173002004500573,7
R_82Cae0gGCtZlvZD,after,9,35,68,1.6315131786292096,9
R_8vUJrorD6qPhNCh,before,2,36,41,0.47338838404776784,2
R_8vUJrorD6qPhNCh,after,3,36,43,0.5591754058686154,3
R_9Y4ZP3qLoi3t7fH,before,10,37,29,-0.04133374687731751,10
R_9Y4ZP3qLoi3t7fH,after,10,37,18,-0.513162366891979,10
R_AFO5tTqn4Q8XmqB,before,9,38,20,-0.4273753450711315,9
R_AFO5tTqn4Q8XmqB,after,11,38,15,-0.6418428996232504,11
R_bl5z1a8F19q4rol,before,3,39,71,1.760193711360481,3
R_bl5z1a8F19q4rol,after,3,39,71,1.760193711360481,3
R_cTMYr4InmqWqxyx,before,3,40,0,-1.2852455632796072,3
R_cTMYr4InmqWqxyx,after,4,40,0,-1.2852455632796072,4
R_O22BvtbesSiM9H3,before,10,41,22,-0.341588323250284,10
R_O22BvtbesSiM9H3,after,10,41,16,-0.5989493887128267,10
R_O9VAqYUDUshWv73,before,6,42,0,-1.2852455632796072,6
R_O9VAqYUDUshWv73,after,4,42,0,-1.2852455632796072,4
R_p59dkfQNljmhosh,before,10,43,0,-1.2852455632796072,10
R_p59dkfQNljmhosh,after,11,43,0,-1.2852455632796072,11
R_Rfb8RkRh6RRJLTr,before,8,44,0,-1.2852455632796072,8
R_Rfb8RkRh6RRJLTr,after,10,44,7,-0.9849909869066407,10
R_SDnvXDdPlMdrs9r,before,3,45,34,0.17313380767480138,3
R_SDnvXDdPlMdrs9r,after,6,45,28,-0.08422725778774129,6
R_Ub92pGLz1xv4fbr,before,4,46,23,-0.29869481233986017,4
R_Ub92pGLz1xv4fbr,after,5,46,36,0.25892082949564893,5
R_V213xJcCci8mpHj,before,6,47,52,0.9452170040624294,6
R_V213xJcCci8mpHj,after,6,47,74,1.8888742440917523,6
R_vlag3f3fIWmaxeV,before,5,48,4,-1.1136715196379119,5
R_vlag3f3fIWmaxeV,after,7,48,21,-0.38448183416070775,7
R_w7AV8G1eEuySSVr,before,6,49,35,0.21602731858522517,6
R_w7AV8G1eEuySSVr,after,6,49,35,0.21602731858522517,6
R_WkD2Xf1StVlY1k5,before,11,50,19,-0.4702688559815553,11
R_WkD2Xf1StVlY1k5,after,10,50,23,-0.29869481233986017,10
R_Wrr9h9YwjeBoNpf,before,5,51,8,-0.9420974759962168,5
R_Wrr9h9YwjeBoNpf,after,3,51,8,-0.9420974759962168,3
