Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.031243787049338233,0.010312102910737078,0.015127092766234865,0.05445643336228721
b_Intercept[2],0.16194206848477738,0.0371101524587379,0.09683917772728852,0.24054013927312798
b_Intercept[3],0.3446854883399116,0.0575488898296523,0.23490313655136213,0.45992879090090405
b_Intercept[4],0.4944399622268277,0.06277873270668051,0.36524428420088545,0.6160578353088371
b_Intercept[5],0.7054098778534822,0.053136125794819904,0.5957489058409265,0.8033573068638419
b_Intercept[6],0.8153196987773124,0.03979826718229488,0.7322417533089076,0.8851486820928136
b_Intercept[7],0.8926814751064872,0.0266477090031961,0.8337204843082547,0.9380331892471926
b_Intercept[8],0.9487596614887451,0.01481883432494038,0.9152151818736934,0.9738711232852519
b_Intercept[9],0.9745320521863254,0.008270485362960414,0.9553901316695815,0.987821148263743
b_Intercept[10],0.9872698903315064,0.004533803305869901,0.9769256622814984,0.994485676065438
b_Intercept[11],0.9944207391562355,0.0022948239242691973,0.9891017609316576,0.9978312306897491
b_Intercept[12],0.996719415425744,0.0014694488193317508,0.9932301550951234,0.9988295082937433
b_Intercept[13],0.9977336223600615,0.00109127181891307,0.9951028246812844,0.9992458224277961
b_Intercept[14],0.9987278168429347,6.8798369174331e-4,0.9970754461099266,0.9996480918885204
b_Intercept[15],0.9993533187122677,4.13412885342321e-4,0.9983266413015349,0.9998521669720392
b_Intercept[16],0.9997130758510039,2.2435976997513678e-4,0.9991233358099815,0.9999584813986032
b_Intercept[17],0.9998439592758156,1.4393679976445664e-4,0.9994655648248025,0.999986348907927
b_Intercept[18],0.9999454906344979,6.626107917478898e-5,0.9997690912083326,0.9999984888034235
b_lockdown_period1,0.2074577525595,0.09921363672719728,0.010613957500000002,0.40279945000000006
b_total_hours_played_s,0.26378238516695,0.1755351848640455,-0.0780672425,0.604389575
b_lockdown_period1:total_hours_played_s,-0.059835822479125,0.10703371005958352,-0.269233,0.1508074
