effect,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,Intercept[1],0.65964823485315,0.43245589519866057,-0.176644575,1.5202504999999995,1.0006882887962685,9896,7050
fixed,Intercept[2],1.4980993336125,0.43668300388953457,0.6574490000000001,2.3646409999999998,1.0002629801112874,9594,6663
fixed,Intercept[3],2.099590051875,0.4452682082094024,1.2574715,2.980079,1.0000435261045604,9397,6743
fixed,Intercept[4],2.3692729605,0.45286130346322206,1.5125125000000004,3.281069,1.0003499809009118,9295,7151
fixed,Intercept[5],2.75859586925,0.4647269289443126,1.8834870000000001,3.6963529999999998,1.0002827475771099,9092,7253
fixed,Intercept[6],2.94421862625,0.4702800809506157,2.0563075000000004,3.8914899999999997,1.0002211250708934,9030,7200
fixed,Intercept[7],3.28646122875,0.48142620142645454,2.3605305000000003,4.257174999999999,1.0001543924425274,9100,7151
fixed,Intercept[8],3.7605489175,0.49410962621089205,2.8094192500000004,4.759683999999999,1.0002171863407558,9122,7015
fixed,Intercept[9],4.19704794125,0.5065708474626343,3.2158654999999996,5.213638250000001,1.0007380557404826,8848,6441
fixed,Intercept[10],4.5562198325,0.5196051680250608,3.5484962500000004,5.609356999999999,1.0005994319294051,8996,6610
fixed,Intercept[11],5.138695705,0.5499478310096623,4.07717625,6.258736249999999,1.000248223961479,8796,6870
fixed,Intercept[12],5.56696704125,0.5724524248514876,4.47808825,6.72816,1.0000380081448186,9499,6926
fixed,Intercept[13],5.8413825075,0.5933485819752408,4.71432175,7.03797375,1.0004430303742597,10120,6930
fixed,Intercept[14],6.472809135,0.6500256875222752,5.246183,7.787484,0.9997419810564995,10264,6811
fixed,Intercept[15],7.0832082775,0.7357906906999933,5.713909500000001,8.57671075,1.0002293001994014,10651,6968
fixed,Intercept[16],7.721849945,0.873621319430102,6.132954,9.59005225,1.0006608105666184,10737,6622
fixed,Intercept[17],8.86706880625,1.2254023111548347,6.831835000000001,11.660422499999997,1.000691226141202,12393,6346
fixed,hours_diff,0.03014213279885,0.02201532173748961,-0.011594002499999999,0.07344169999999998,1.000696912689251,8528,6298
fixed,loneliness_during,0.39787755825,0.07646013515195706,0.250383375,0.5505693999999999,1.0004508628417932,9196,6575
fixed,hours_diff:loneliness_during,-0.002992344401275875,0.0037709927870152498,-0.010328132499999998,0.004404199499999996,1.0001483728627134,8450,6130
