Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.010243277712480663,0.004276794158617229,0.0032919242036799,0.01983816685926155
b_Intercept[2],0.035308558571215794,0.011920137418238922,0.014655072345927713,0.06182039970308718
b_Intercept[3],0.06857859452502012,0.020340511592881225,0.03250200736536542,0.11261482679685143
b_Intercept[4],0.10867789245507933,0.029042177679066337,0.056036236999194994,0.169875632366384
b_Intercept[5],0.20418966427310525,0.04481389352036558,0.12118871213366779,0.29642487939428963
b_Intercept[6],0.34517829817776896,0.059008977824306474,0.2333189007338608,0.46145315364088485
b_Intercept[7],0.4598985794210431,0.0635336806856127,0.33662205620381186,0.5834107232724729
b_Intercept[8],0.5902626967275029,0.06159245509548518,0.46544467353846525,0.704302878642965
b_Intercept[9],0.7119663900666188,0.05314884939423467,0.60231854857138,0.8101848147443099
b_Intercept[10],0.7992230316567613,0.04286394508470752,0.709055334808648,0.8763081591837796
b_Intercept[11],0.8544886185464883,0.03463871715250958,0.7798470876094457,0.9154753321425014
b_Intercept[12],0.9036894984216927,0.025693727555457607,0.8481535009815978,0.9482623642402616
b_Intercept[13],0.9295729208530751,0.020409861775622824,0.8847686137465015,0.964323986228805
b_Intercept[14],0.9441955190306603,0.016948425708444695,0.9071497659261306,0.9729075625013021
b_Intercept[15],0.964283200032734,0.011971199721541278,0.9371405945148339,0.9838442169348894
b_Intercept[16],0.9828658993279201,0.006565799727297687,0.968267729284834,0.9934304893674468
b_Intercept[17],0.9883790902361573,0.004723099356432294,0.9774739120239118,0.9958010552328012
b_Intercept[18],0.99322085403470906,0.003046813749548458,0.9861271027111931,0.997827105742653
b_Intercept[19],0.9961489608268935,0.0019480536600718645,0.9915135786569068,0.9989334640925688
b_Intercept[20],0.9979149191368505,0.0011855157896322264,0.9950071224058352,0.9995204751678661
b_Intercept[21],0.9991775957305344,5.506307365661574e-4,0.9977863578624655,0.999862093846189
b_lockdown_period1,0.4729942746875,0.11243940351985166,0.257377325,0.7062207
b_total_hours_played_s,0.36634703647625,0.1780357972189395,0.019397890000000008,0.7171076999999997
b_lockdown_period1:total_hours_played_s,-0.0780588002611375,0.10905468456907241,-0.29291382499999996,0.13198417499999995
