Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.5772168216269128,0.1050046452755111,0.3631583614326126,0.7677796811504556
b_Intercept[2],0.6912167968990987,0.09000280494348473,0.49516714748662455,0.8447893391897795
b_Intercept[3],0.7592522677207008,0.07701269824254034,0.5892125204384555,0.8840734648822024
b_Intercept[4],0.8262222803212275,0.06143810114045613,0.6842405981754478,0.9217952326972666
b_Intercept[5],0.8743384167815602,0.048123310280463356,0.7616218231738737,0.9465385932284363
b_Intercept[6],0.9107991825841577,0.03656402819525059,0.8230153709741985,0.9640115678941812
b_Intercept[7],0.9354165573550002,0.027924520395561085,0.8673244840375778,0.9749716082160984
b_Intercept[8],0.9563112098750396,0.019906939920011784,0.9082201890924346,0.9837329359413661
b_Intercept[9],0.9655745514534252,0.016188727579713656,0.9255165627783017,0.9873571750886652
b_Intercept[10],0.9768639155162859,0.011330681147253045,0.9479624466253814,0.9918946615378597
b_Intercept[11],0.9834816328375343,0.008339469681420401,0.9623783668772807,0.9944780707692485
b_Intercept[12],0.9867149298026229,0.006823578145609758,0.9692639052072454,0.9955835484545528
b_Intercept[13],0.9918958122897455,0.004356281306910786,0.9806990108897661,0.9974480854888629
b_Intercept[14],0.9941556915096336,0.003217972262372349,0.9859900323933112,0.9981906818305066
b_Intercept[15],0.9957105623240202,0.0024159555169862065,0.9896477787518733,0.998716316696042
b_Intercept[16],0.9964154382710847,0.0020455642377721138,0.9911467606857576,0.9989463952382469
b_Intercept[17],0.9970606401170129,0.0016980199851525982,0.9927499871331913,0.9991430684792711
b_Intercept[18],0.9983304465536298,0.001025045533829183,0.9956485100767014,0.9995590892975185
b_Intercept[19],0.9991821461234508,5.618956549159721e-4,0.9977359433934815,0.9998162316896373
b_Intercept[20],0.9996061978790778,3.216241906155867e-4,0.9987563265603664,0.9999412727482443
b_Intercept[21],0.9998765305328773,1.4609030433033676e-4,0.9995074240752324,0.9999953635176236
b_hours_diff,0.0251399144707325,0.02164213233435262,-0.0173824525,0.06795045249999998
b_loneliness_during,0.530620353625,0.0757042126346259,0.38272175,0.681506925
b_hours_diff:loneliness_during,-0.0023758451709575,0.003663734555164374,-0.009636769,0.004818987249999998
