effect,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,Intercept[1],-1.2444529744,0.6589208130072669,-2.5961399999999997,-0.018518782500000313,0.9999428727578625,10853,5950
fixed,Intercept[2],-0.06883019785251375,0.5326831061880883,-1.1066347499999998,0.9808056249999998,0.9999427453154542,13733,6713
fixed,Intercept[3],0.879631586524125,0.5136987719990977,-0.11138402499999946,1.9060274999999993,1.0002287620304466,12442,7269
fixed,Intercept[4],1.189699483060125,0.5173824254277227,0.189027525,2.2355527499999996,1.0001407415532932,11996,6713
fixed,Intercept[5],1.67297998861625,0.5310995789822383,0.6548962500000001,2.74640125,1.000281968162879,11571,6694
fixed,Intercept[6],2.0495935801875,0.5460655238784748,1.0008062500000001,3.141616499999999,1.0006497397349325,11302,6751
fixed,Intercept[7],2.340494983,0.5578404807111693,1.2817345000000002,3.47657025,1.0003878574365366,11073,6564
fixed,Intercept[8],2.744639496,0.5733121656975757,1.6625562500000004,3.8981974999999998,1.000454951829053,10780,6730
fixed,Intercept[9],3.10590027575,0.5891003592696875,1.9875202500000002,4.27845825,1.000417609887184,10749,6856
fixed,Intercept[10],3.292698125,0.5957680166484199,2.1496952499999997,4.485896250000001,1.0002372748970405,10698,6430
fixed,Intercept[11],3.48665857125,0.6047832740795847,2.32862325,4.699213999999999,1.0004222040007857,10824,6582
fixed,Intercept[12],3.68887746,0.6138996095580085,2.5233665000000003,4.9246415,1.0003739683950132,10863,6528
fixed,Intercept[13],4.05081303625,0.6368528796261188,2.8444782500000003,5.32033325,1.0002246294713042,10790,6298
fixed,Intercept[14],4.3729860625,0.657181775374901,3.123038,5.676006749999999,1.0003999686325769,10813,6327
fixed,Intercept[15],4.54638722875,0.6708571543029989,3.2635212500000006,5.87779775,1.000191625981172,10826,6406
fixed,Intercept[16],4.8170146475,0.6901786536034253,3.52061025,6.190918999999999,1.0000303520174343,11065,6552
fixed,Intercept[17],5.22633317,0.7131367047701039,3.87367875,6.659100499999999,1.0003502336634822,11219,6580
fixed,Intercept[18],5.74985853125,0.7551508616468872,4.318629250000001,7.27892675,1.0004161879683573,11672,6783
fixed,Intercept[19],6.09013112875,0.7822884811800482,4.606915,7.671817,1.0002352411319222,11577,6981
fixed,Intercept[20],7.27016951625,0.9884385757730791,5.4946095,9.39969575,1.0000090551767509,12680,6389
fixed,hours_diff,-0.008250004939594375,0.02743664897466616,-0.06133640249999997,0.044802104999999995,1.0006458821348907,10144,6248
fixed,loneliness_during,0.35013514623750003,0.06954635603012731,0.21885902500000004,0.488159725,1.0006245667607732,12083,6958
fixed,hours_diff:loneliness_during,0.00261159993703425,0.003280938303855217,-0.003747235249999997,0.009098430999999997,1.0008106490131754,10310,6272
