Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.0066291903190713606,0.005488089389516991,7.5574355425771e-4,0.0212137756023655
b_Intercept[2],0.04604931697950084,0.028261130663101954,0.008767473346739775,0.11502939250891686
b_Intercept[3],0.19360662043174487,0.08290357366117702,0.060116788003352344,0.37649906554505846
b_Intercept[4],0.46516042663278756,0.12229587320788761,0.22541552540651477,0.6981184393850455
b_Intercept[5],0.6595639773113555,0.11051029479023838,0.42127221056388175,0.8458844298803679
b_Intercept[6],0.8460433053707598,0.0675277431683057,0.687815225708167,0.9460061538218771
b_Intercept[7],0.8893160311748691,0.05246012265894818,0.7657183249270484,0.9643805709005615
b_Intercept[8],0.9489596467263659,0.02811690086367046,0.8786417663126126,0.9869120695667469
b_Intercept[9],0.97063861164043,0.01792014228962925,0.9259641099655549,0.993342192454853
b_Intercept[10],0.9812243571237975,0.012515735322316748,0.9491196102589335,0.9964048949992226
b_Intercept[11],0.9911599246610899,0.00661774328329658,0.9741943029226003,0.9986727929921965
b_Intercept[12],0.9971679249368676,0.002582289268845216,0.9901869061246948,0.9997367005404973
b_Intercept[13],0.9979811562760987,0.0019270242863845854,0.9927320751111722,0.999840053824995
b_Intercept[14],0.9992793636963784,8.155323699690817e-4,0.9970937347463456,0.9999616348312484
b_Intercept[15],0.9995961761605371,5.025094418847679e-4,0.9981891952962346,0.9999840783884224
b_Intercept[16],0.9999040887879692,1.704044600806632e-4,0.9994532908444325,0.9999992439649799
b_lockdown_period1,0.10648623791489625,0.1670624651137181,-0.21571882499999998,0.43917172499999996
b_total_hours_played_s,0.59049009280775,0.27257717482007016,0.06172964000000001,1.1453545
b_lockdown_period1:total_hours_played_s,0.200791408749125,0.18244236907727052,-0.14429267499999998,0.5592796749999999
