Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],5.208501359298436e-4,5.923964097503854e-4,3.431538769997096e-5,0.001986262619530315
b_Intercept[2],0.004360420604061142,0.003584024822716963,5.727566249260985e-4,0.013426529611231074
b_Intercept[3],0.01843716325140231,0.012177409256853547,0.0036568385306724603,0.0496265886962077
b_Intercept[4],0.05358499678547059,0.02957691017390288,0.0137598939215794,0.12632649873282306
b_Intercept[5],0.11918757960799073,0.05379606570346517,0.03707844614819067,0.24524218043448912
b_Intercept[6],0.2482615787276528,0.08835372702792063,0.09757184874765068,0.4402451294275273
b_Intercept[7],0.4390249933331045,0.11056326593839143,0.2231436046414827,0.6537000087846958
b_Intercept[8],0.584600649098119,0.10781741754230802,0.3574224957035799,0.7748270360665986
b_Intercept[9],0.6986534695017176,0.09483915651311126,0.4970049486087951,0.8548359978477105
b_Intercept[10],0.7617980025009184,0.08325700015685678,0.574775434995115,0.8949712727698519
b_Intercept[11],0.8176766064967967,0.07009898290060051,0.655036376826286,0.9241104069840969
b_Intercept[12],0.8380871735707084,0.06463539297496056,0.6866201455285138,0.935011296831135
b_Intercept[13],0.918005150705745,0.038887482911350656,0.8225164758018828,0.9728013338846594
b_Intercept[14],0.9596659670890031,0.02207686606614789,0.9058965941019188,0.988659128818152
b_Intercept[15],0.9788427557765337,0.012969420309472564,0.9469496517344118,0.9949760164388135
b_Intercept[16],0.9884247679797005,0.007750197168441979,0.9685197781459387,0.9976734242325618
b_Intercept[17],0.9931766619676271,0.004897156381672746,0.9805689058065892,0.9987563230686823
b_Intercept[18],0.9957761883805957,0.0032562855255598233,0.9872439563691177,0.9993145972158524
b_Intercept[19],0.9976608583943783,0.001944522280244882,0.9926271079890714,0.9996815812381956
b_Intercept[20],0.9983747790935505,0.001427412369113594,0.9945898526031156,0.9997940592702655
b_Intercept[21],0.9995970833355868,4.7365471396361707e-4,0.9983153063023834,0.9999744326133835
b_lockdown_period1,0.17445279017045,0.15254714738692265,-0.12005199999999999,0.4748011750000001
b_total_hours_played_s,0.8458839636975,0.27989365539301225,0.319253575,1.3848085
b_lockdown_period1:total_hours_played_s,0.008496242376125,0.17242053097224877,-0.33256574999999994,0.347314475
