Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.23751978057061687,0.10609469618937528,0.06968711685296747,0.4812705762999119
b_Intercept[2],0.4630936756128834,0.12089394070727544,0.23074387048150632,0.7011208310067629
b_Intercept[3],0.665554231094792,0.10635098561476601,0.43473872949108855,0.8489570321389792
b_Intercept[4],0.7220303016220802,0.09818256653399149,0.5029434253717991,0.882904367071079
b_Intercept[5],0.7969302071009201,0.08137709429216279,0.6057210950766811,0.9231560809814823
b_Intercept[6],0.8437115857889339,0.0682179606379416,0.680689981379707,0.9454079101122486
b_Intercept[7],0.8735133123943776,0.058425565031223294,0.7308671038086538,0.9582281002473889
b_Intercept[8],0.9065410675217811,0.046247100507788276,0.793192690222113,0.9707900602452842
b_Intercept[9],0.9292183982268973,0.03682784498238109,0.841476732890482,0.9787575567340622
b_Intercept[10],0.9387383574975264,0.0326827675842063,0.8596370865098949,0.9823644218934225
b_Intercept[11],0.9473966780925964,0.02878595550491409,0.8770861789106156,0.9854256650129103
b_Intercept[12],0.9551510172669081,0.02537622100860828,0.8929973913630324,0.98803999146424
b_Intercept[13],0.9664658883725384,0.019916774824227,0.9162431815104456,0.9915704066858116
b_Intercept[14],0.9740940193815832,0.015937430757927244,0.9326285365514788,0.9937841628423095
b_Intercept[15],0.9774862610747016,0.014168156962907468,0.940402830676492,0.9947654234313944
b_Intercept[16],0.9820873401008607,0.011612235740403286,0.9518799641359644,0.9960116118567636
b_Intercept[17],0.9872867682185593,0.008800549302112572,0.963338685190502,0.9973731759653897
b_Intercept[18],0.99180263920099,0.006035042832009339,0.976221910092116,0.9984876801013784
b_Intercept[19],0.9938801591158806,0.0047021581393962356,0.9815439397483123,0.9989425863909472
b_Intercept[20],0.9976218676893344,0.0022685461806929543,0.9912087211801834,0.99978257064707865
b_hours_diff,-0.0065575842608250005,0.026682901782325325,-0.057629702500000005,0.046227460000000005
b_loneliness_during,0.314547281925,0.0689042121500182,0.1795136,0.452562275
b_hours_diff:loneliness_during,0.0021236715439975,0.0031850171838296686,-0.0040929895,0.008294827000000001
