Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.24236476675555704,0.11179687168401437,0.06938725734939206,0.4953704367022744
b_Intercept[2],0.48383405582494304,0.12482697935537705,0.24849881103523427,0.7272680400898656
b_Intercept[3],0.6963894916953938,0.10334485779333273,0.47218274897392226,0.870572197721485
b_Intercept[4],0.7548235498314996,0.09203154352736274,0.5471166693268746,0.9033970380560974
b_Intercept[5],0.8297393233080028,0.07312726668790552,0.6581129712140465,0.9397097838857498
b_Intercept[6],0.8745933922370415,0.0591458788879565,0.7312170674426326,0.9585771131793631
b_Intercept[7],0.9020351521412531,0.04904959553033848,0.7827448781658445,0.9700137191412839
b_Intercept[8],0.9313599630316068,0.037042193559825735,0.8405808351805494,0.9801246112719433
b_Intercept[9],0.9504613748424903,0.028611063877676847,0.879480539267366,0.9863255620101429
b_Intercept[10],0.9582937167694635,0.024717330844421907,0.8956402953979116,0.98885874102464
b_Intercept[11],0.9651523808623208,0.021166450075574345,0.9112200229698443,0.9909796777074595
b_Intercept[12],0.971150444509225,0.017978471422778003,0.9257637495650652,0.992787073794266
b_Intercept[13],0.9793953294472314,0.013619534434321108,0.9450325536600653,0.9951326831600067
b_Intercept[14],0.9847707890934456,0.010497027057517603,0.9578331002962632,0.9965844885971885
b_Intercept[15],0.9870481787718619,0.009118482477118404,0.9631559487304078,0.9972068764404449
b_Intercept[16],0.9899557817574861,0.007313429702244377,0.9712685383866682,0.9979562416411225
b_Intercept[17],0.993197083967381,0.005141690495568503,0.9796413120597158,0.99871934290294
b_Intercept[18],0.9958410208480188,0.0033432547774724917,0.9868569143941025,0.9993105500304346
b_Intercept[19],0.9969852566128284,0.0024836461858319353,0.9901160995085716,0.999534446089855
b_Intercept[20],0.9989191153314534,0.001127363885979972,0.9959079529554663,0.9999172576082871
b_hours_diff,-0.008250004939594375,0.02743664897466616,-0.06133640249999999,0.044802104999999995
b_loneliness_during,0.35013514623750003,0.06954635603012731,0.218859025,0.488159725
b_hours_diff:loneliness_during,0.00261159993703425,0.003280938303855217,-0.0037472352499999997,0.009098430999999997
