Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],1.0689378692232293e-4,1.971553906935383e-4,9.403013663886938e-7,6.593876159890834e-4
b_Intercept[2],0.001014151119474953,0.0011445947485732735,5.754177153315104e-5,0.0040331882650193485
b_Intercept[3],0.006282813657157923,0.0054692851063432016,7.747988369311702e-4,0.020813572334029907
b_Intercept[4],0.04118618919747678,0.026627872696643535,0.008770246779941421,0.110397795136955
b_Intercept[5],0.08754065602122116,0.04865606187035103,0.02287688276211544,0.2093039304623108
b_Intercept[6],0.22035070647228008,0.09468133491176497,0.0727851548187289,0.43714546100349355
b_Intercept[7],0.3708521316961004,0.12292024188492791,0.15495535340521602,0.6314359959553956
b_Intercept[8],0.7107078920258496,0.11088519666189223,0.4599525808234345,0.8895692065492216
b_Intercept[9],0.8662581397923647,0.06745154117875796,0.6948273468086013,0.9606275425799516
b_Intercept[10],0.957093213067313,0.02671915918491947,0.8877239736887033,0.9900768167734123
b_Intercept[11],0.9942914096364068,0.004489584736553135,0.982649270850681,0.9990730148594077
b_lockdown_period1,0.1568547625932,0.15614028183466958,-0.15056935,0.462611125
b_total_hours_played_s,0.2282708175884475,0.27124809786960496,-0.2966487,0.759750675
b_lockdown_period1:total_hours_played_s,0.0011867823420990003,0.1757435188773816,-0.351241375,0.3365032500000001
