Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.001374086417471714,0.0013337481238880505,1.2617196131306418e-4,0.005001564270238282
b_Intercept[2],0.004129569425289826,0.0033656746548647114,6.04376893751588e-4,0.013149687850848869
b_Intercept[3],0.012453831850099762,0.00829265226151847,0.0024925473698654047,0.0344862815300473
b_Intercept[4],0.03307051744984901,0.018401489075165523,0.008357309972108477,0.0794856234952517
b_Intercept[5],0.0834164959705733,0.03882755758255927,0.025884387876628227,0.1780247060410126
b_Intercept[6],0.15699006528804435,0.06068647657344876,0.060114988655612045,0.29719322149331634
b_Intercept[7],0.34565597729113534,0.09580302079964864,0.17266195138599896,0.5482366084804744
b_Intercept[8],0.41427725806538906,0.1017731344154975,0.22564714350718698,0.621554641055008
b_Intercept[9],0.6069936546804527,0.10018829013433399,0.40012071035827346,0.788323643343289
b_Intercept[10],0.7301546394057787,0.08436580556805678,0.5385924784762351,0.872701895545928
b_Intercept[11],0.8595271775463497,0.055363897078808566,0.7312333495843342,0.9453097517635132
b_Intercept[12],0.925201488344033,0.03360166251074199,0.8455033199864086,0.9735408621396553
b_Intercept[13],0.9455057070779289,0.025830687869086537,0.882188589857597,0.9820331156851675
b_Intercept[14],0.9732074299093554,0.014054520285836838,0.9388481839724584,0.992338947284206
b_Intercept[15],0.9886171733087342,0.006827113419733866,0.9718108147476096,0.9971990015080621
b_Intercept[16],0.992280419136208,0.004924493246273132,0.979904886164596,0.998297865103044
b_Intercept[17],0.9964073171496376,0.0025387865804070825,0.9897483210834763,0.9993496357431902
b_Intercept[18],0.9974567800402212,0.0019157129607340695,0.9924294829726462,0.9995782102648437
b_Intercept[19],0.9987430996385271,0.0011113699999530035,0.9957622254245836,0.9998541012799108
b_Intercept[20],0.9996667880231489,4.1843278568252804e-4,0.9985486743165521,0.9999925985680702
b_lockdown_period1,0.00489276742075,0.13832475898680913,-0.26889607499999996,0.272612575
b_total_hours_played_s,0.64066506431,0.2742591767740242,0.12083190000000002,1.1859805
b_lockdown_period1:total_hours_played_s,0.33610790833975,0.1636342240326414,0.021336167500000006,0.6624635000000001
