Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],6.792014578968529e-4,8.562711386915691e-4,3.412479974377311e-5,0.002823558522075853
b_Intercept[2],0.002671518252276504,0.002541771322170721,2.6364373300214204e-4,0.009175086719953844
b_Intercept[3],0.007880899701783635,0.0062593777837401995,0.001138846378240977,0.02385045538040197
b_Intercept[4],0.025490795071054364,0.016520627199264927,0.005254615385661066,0.06746132205823545
b_Intercept[5],0.07562081089370785,0.03959179145209104,0.02031344630261193,0.17240639934592028
b_Intercept[6],0.14978210630159688,0.06574152240169974,0.04963571589863186,0.3044332672623332
b_Intercept[7],0.35630542714113556,0.1066143303269134,0.1648189058112928,0.577524369743473
b_Intercept[8],0.4373014850461751,0.11346676296229143,0.22562206891694775,0.6611950933113122
b_Intercept[9],0.6125882725294096,0.10959719220856103,0.3829847547413617,0.8096643589802822
b_Intercept[10],0.7533302229422986,0.08911828142909638,0.5522766180769371,0.8976738451783205
b_Intercept[11],0.8835980543359404,0.053153293660949265,0.7550006389116543,0.9598976116959064
b_Intercept[12],0.9351351444367625,0.033310779652318434,0.853854049176301,0.9804954562451292
b_Intercept[13],0.9525251670474171,0.025720262553706543,0.8876696395809018,0.9864945101210263
b_Intercept[14],0.9762132060839104,0.014384411514975824,0.939726013106763,0.9939887175482043
b_Intercept[15],0.9910325011653458,0.006244610662406272,0.9744012708361578,0.9982168538393411
b_Intercept[16],0.9942921553787964,0.004277746508310401,0.9832788808359566,0.9989676144618703
b_Intercept[17],0.9977171908411114,0.0019897481406459688,0.9921742234533415,0.9997021756132957
b_Intercept[18],0.9985308317998102,0.0013921369209202975,0.9948118333758332,0.9998420355368607
b_Intercept[19],0.9991564309498379,9.071251236788658e-4,0.9967567409797373,0.9999351693829951
b_Intercept[20],0.9997980966936153,3.263600798764976e-4,0.9989534952129603,0.9999974854127207
b_lockdown_period1,-0.0674790173328375,0.15347617845367745,-0.364630825,0.2329113
b_total_hours_played_s,0.62042586004375,0.2628122422730763,0.10979515000000001,1.1384244999999997
b_lockdown_period1:total_hours_played_s,0.2623092733270125,0.17297900055171828,-0.078975555,0.60380084999999994
