effect,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,-1.75100117585,0.5934499317259184,-2.9658239999999996,-0.6269431249999999,1.0008609596446854,5318,2710
fixed,-1.14050884691125,0.5366562932376168,-2.2358909999999996,-0.09820276749999975,1.0013203262615413,6787,3150
fixed,-0.65659571313575,0.5074858489894378,-1.660973,0.32905327500000014,1.0004169546683492,6468,3262
fixed,-0.058736422997,0.5006525328366247,-1.0277739999999997,0.9374761250000002,1.0010423745102046,6916,3031
fixed,0.4376823139255,0.4926866349156856,-0.5249331749999999,1.4121732500000002,1.0006446077772124,6834,3147
fixed,0.69598508543665,0.49237122470095523,-0.27210807499999984,1.6620022500000002,1.0001878521010652,6851,2980
fixed,1.07210590835,0.49678789260702455,0.09259900500000008,2.0706690000000005,0.9995639976731946,6700,3279
fixed,1.1637960032575,0.49646987010841215,0.18704965000000043,2.153192,0.9996213023476985,6720,3178
fixed,1.488266495725,0.5068708685376833,0.5016227750000002,2.4784232499999996,0.9997643880060426,6801,3245
fixed,1.77949886975,0.5198254750151723,0.7694350250000002,2.8102992500000004,0.9997833398618433,6690,3206
fixed,1.88328716925,0.5264658170725803,0.8771002250000004,2.95268125,0.9998924786021568,6654,3211
fixed,2.2007126545,0.5387811393191094,1.1553977500000001,3.2783477500000004,0.9995453941965096,6586,3100
fixed,2.42718555325,0.5479650637641976,1.3673937500000002,3.5010605000000004,0.99999039900809,6486,3011
fixed,2.8893717365,0.5740094040900371,1.781799,4.0551235000000005,1.0001868869488058,6455,2962
fixed,3.4015647225,0.6065943158600989,2.259822,4.63983775,1.0006286032823313,6471,3062
fixed,3.740311875,0.6332117456061422,2.5600095,5.02107825,1.000940100561844,6573,3265
fixed,4.20338454,0.6859206824202645,2.913605,5.60392425,1.0003879426737181,6675,3279
fixed,4.6354952025,0.747540593570689,3.2939227499999997,6.1746185,1.001000483184604,6857,3466
fixed,5.959365715,1.1281380479741212,4.05902325,8.52656525,1.0002030220278002,7594,3196
fixed,0.045704501385275,0.024623144602003808,-0.002160588,0.09442233,1.0008784517376879,5627,3245
fixed,0.187831821055725,0.06444503338901197,0.06146086,0.3144716,0.9998573975235842,6990,3004
fixed,-0.0039748154086615,0.0030234754458448115,-0.0098176125,0.0019688637500000004,1.0006621547698158,5617,3176
