effect,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,0.43907225668575,0.6994517396046711,-0.9152900499999999,1.813694,1.0002474168521291,5053,2887
fixed,0.9612386596,0.7024665579862286,-0.4014058499999999,2.37511225,1.0000825651918321,5129,3008
fixed,1.39983496560775,0.7218108275127517,-0.011415994999999523,2.8512890000000004,0.9998002165907444,4970,3287
fixed,1.74237524832425,0.7362118214203008,0.2884528500000004,3.2325682500000004,0.9996400389388527,4998,3159
fixed,1.941885798425,0.7440688381531245,0.5124982499999999,3.4229645,0.9997505447617203,4938,3098
fixed,2.33848290377225,0.7595194443265697,0.8435583250000002,3.8476435,1.0001914883581662,4631,3000
fixed,2.537978603,0.7680792067684855,1.04969475,4.084432250000001,1.0002344174171116,4653,3052
fixed,2.886330483,0.7838934330474413,1.3649762500000002,4.4659692500000006,1.000992382819614,4589,2980
fixed,3.1943304035,0.7980019670740672,1.652801750000001,4.801352,1.0010394948401096,4556,3155
fixed,3.36483777625,0.8077857649568279,1.8212535,4.989752500000001,1.0005269346639107,4554,3157
fixed,3.553659436,0.8208127926697744,1.9717382500000002,5.226175750000001,1.0006262318317325,4667,3184
fixed,3.87429593975,0.8392797884276765,2.2731465,5.5695055,1.0005587390149848,4666,3028
fixed,4.284404045,0.86632074960807,2.6530375000000004,6.019879750000001,1.001133898366169,4714,2889
fixed,4.6619828475,0.9045247929616619,2.97908975,6.469134250000001,1.0009786232974816,4817,3058
fixed,6.210608785,1.2317129738696526,4.044275750000001,8.911736,1.00019093015441,5347,3226
fixed,-0.027973983908525,0.07094490822170772,-0.17482812499999995,0.10878105000000002,1.0020310994941575,2878,2477
fixed,0.27145873852325,0.0931890896274989,0.08822191250000001,0.45854845,1.0006442737756165,4487,2978
fixed,0.00291344498639,0.008303475987063413,-0.01331285,0.020254602500000007,1.0019959843347719,2805,2542
