Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.5975910506732736,0.15272417799787869,0.2859185542256547,0.8598077348607034
b_Intercept[2],0.7043872739064968,0.13492203823787952,0.4009746171131784,0.9149096874844036
b_Intercept[3],0.7798378131374678,0.11664852286568711,0.4971460327588963,0.9453852596925304
b_Intercept[4],0.8287200832830109,0.09998635181102074,0.5716173135350986,0.9620416488721169
b_Intercept[5],0.8531357691116626,0.09020478554647786,0.625391939732625,0.9684145751252562
b_Intercept[6],0.8933143031663306,0.07212521893276613,0.6992141101425795,0.9791155233868865
b_Intercept[7],0.9096760776845637,0.06346396914717362,0.7407162784460186,0.983445954184087
b_Intercept[8],0.9330569115379548,0.049898969715936346,0.7965672763466709,0.9886370503168898
b_Intercept[9],0.9489590595776801,0.04010898411540517,0.8392692780300194,0.9918483672649002
b_Intercept[10],0.9561231960522898,0.035571188579148615,0.8607164686666926,0.9932386756438213
b_Intercept[11],0.9628969443221573,0.031145788870202067,0.877797687687226,0.9946546838572258
b_Intercept[12],0.9722177225823029,0.02461181293349482,0.9066284809272926,0.9962021137005825
b_Intercept[13],0.9808928038915397,0.017665629750883278,0.9341979402585752,0.9975759282428762
b_Intercept[14],0.9863757572245877,0.013419944977562633,0.9516204808153691,0.9984518329755856
b_Intercept[15],0.996161700929775,0.005081620952527853,0.9827793558213334,0.9998652205216879
b_hours_diff,-0.027973983908525,0.07094490822170772,-0.174828125,0.10878105000000002
b_loneliness_during,0.27145873852325,0.0931890896274989,0.08822191250000001,0.45854845
b_hours_diff:loneliness_during,0.00291344498639,0.008303475987063413,-0.013312850000000001,0.020254602500000007
