Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.6541842913736059,0.14827333204937485,0.33068593630250087,0.8953193327750937
b_Intercept[2],0.7576230315288385,0.12409208354029184,0.46803665404205375,0.939218002581626
b_Intercept[3],0.8294313640524433,0.1006292306030038,0.584170871212215,0.9625401194117653
b_Intercept[4],0.8738470886434822,0.08209091988856769,0.6674555974067976,0.9746463295578255
b_Intercept[5],0.8949404649167444,0.07188071824493396,0.7118650885381048,0.9801707951090027
b_Intercept[6],0.9284257094009122,0.054070945775320504,0.7890189036751583,0.9880771511955592
b_Intercept[7],0.9412980437865259,0.046136073002810814,0.8192903589957803,0.9907539518934894
b_Intercept[8],0.9591931900815684,0.03416370402978351,0.8685620327011203,0.9942128544496288
b_Intercept[9],0.9705747172449428,0.02614102376591638,0.9016871825289794,0.9961442930677542
b_Intercept[10],0.9754463570186136,0.022440797800862698,0.9142976357615502,0.9968252432048186
b_Intercept[11],0.9799120409964167,0.018832163512809436,0.9300512102282505,0.9975306176557086
b_Intercept[12],0.9857099473199382,0.013955925925857636,0.9486119875507477,0.9983704215290611
b_Intercept[13],0.9907184678407767,0.00966052526444861,0.9645422058387276,0.9990377534699062
b_Intercept[14],0.9936549978016912,0.006880446685686224,0.975185335125117,0.9994318629009448
b_Intercept[15],0.9984303014496979,0.0024529199877389753,0.9921262284320032,0.9999612141970088
b_hours_diff,-0.024368613209675,0.07282649760898632,-0.171346125,0.11453959999999999
b_loneliness_during,0.31155479328375,0.09700111882501392,0.1256205,0.5030011249999999
b_hours_diff:loneliness_during,0.00237583052504375,0.00848894585810086,-0.013771740000000001,0.019719519999999987
