Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],3.709108062153399e-4,6.971287893036008e-4,1.6395195721722482e-6,0.002312932045036336
b_Intercept[2],0.0010258082255064894,0.0015215139448229854,1.8410300089108424e-5,0.005271033561902248
b_Intercept[3],0.004803034774935797,0.005209970157080113,2.8871089340129724e-4,0.018510198547049887
b_Intercept[4],0.0207296215284862,0.01584375455122477,0.0029955918548893864,0.06232804059943029
b_Intercept[5],0.06720252320491515,0.03953046684390958,0.015114014026310813,0.16392715365047217
b_Intercept[6],0.16833676492687463,0.07580112415882913,0.05353736144002258,0.3487803523827341
b_Intercept[7],0.5112499091039624,0.1197172090362645,0.28252677360688916,0.7443889994032726
b_Intercept[8],0.7032038016498587,0.10242628199796149,0.4866464100568254,0.8795567063327622
b_Intercept[9],0.830610122996082,0.07337110276954827,0.6631494008728829,0.945175722526466
b_Intercept[10],0.9450898062471527,0.032304793782475236,0.865863460163065,0.9880658253227209
b_Intercept[11],0.9937337833203315,0.005689683090675808,0.9781947596680276,0.9993413854382611
b_lockdown_period1,0.1621943074406875,0.1885339796492831,-0.204731,0.5380041249999997
b_total_hours_played_s,0.2530402230877,0.34697790924736255,-0.424598575,0.9358810499999998
b_lockdown_period1:total_hours_played_s,-0.0891565767154625,0.1940648051950992,-0.470367525,0.2856285249999999
