Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.25465537557567974,0.132012927535696,0.060996558245168045,0.5585733976620898
b_Intercept[2],0.4029497623852963,0.15234809536881633,0.13715227319098097,0.709892693331489
b_Intercept[3],0.4901163590142092,0.15598040993688286,0.19456236230342897,0.7834848091368913
b_Intercept[4],0.5792459325680844,0.1519530481976143,0.2712610170366104,0.8416675529057747
b_Intercept[5],0.6156773776178661,0.14803764188073013,0.3045907000441639,0.8608337195947754
b_Intercept[6],0.6918347980258045,0.13469799744661046,0.3880003739143209,0.8985580991286539
b_Intercept[7],0.7295114042783271,0.12596674663326657,0.44554721031745065,0.913442146767367
b_Intercept[8],0.7828104817408007,0.11004419291008014,0.5219447446431034,0.9389193127704955
b_Intercept[9],0.8182763533768164,0.09834608132695175,0.5810065938328806,0.9537744051363126
b_Intercept[10],0.8492457615803886,0.08737228051321039,0.6358060052109314,0.963783609171669
b_Intercept[11],0.8764523143422135,0.07604613327402855,0.6870501927535219,0.9716028600403334
b_Intercept[12],0.9148309156248374,0.057391945952138895,0.7646945920546689,0.9818985420292811
b_Intercept[13],0.9241856863227556,0.05222659864894433,0.7889698105687968,0.9843638106031701
b_Intercept[14],0.9450327020652187,0.04018818210143553,0.839645112525882,0.9898429448400587
b_Intercept[15],0.956220685224545,0.03343099221420328,0.8668938317913382,0.9923863741145913
b_Intercept[16],0.976057187217239,0.020053442440967493,0.920022295239137,0.9963055881090803
b_Intercept[17],0.9820579081502906,0.01574723514826694,0.9382178277232532,0.9976147447172279
b_Intercept[18],0.9878066293252605,0.011435070928703139,0.9566123276709901,0.9986342111926625
b_Intercept[19],0.993094308758609,0.0073985055186084085,0.9716919742368828,0.9994864089694264
b_hours_diff,-0.007498437522625,0.07186031892853652,-0.14940885,0.1334134750000001
b_loneliness_during,0.24992687789375,0.08912570652913185,0.0765584925,0.42098930000000007
b_hours_diff:loneliness_during,1.057273803075e-4,0.008212685393492259,-0.016031987499999997,0.01612492
