effect,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,Intercept[1],-1.280526394725,0.8072335717626115,-2.9055964999999992,0.2706058499999998,1.00024717552333,6995,6070
fixed,Intercept[2],-0.452268457326375,0.7425945284646993,-1.9453832499999997,0.9828956249999992,1.0000241950044826,8609,6642
fixed,Intercept[3],-0.0230448151514375,0.7233668582683027,-1.47025725,1.4016369999999991,1.0000608848363859,8587,6431
fixed,Intercept[4],0.420444202209125,0.7153609428377807,-0.995250375,1.8198399999999997,0.9999023721594578,8235,6887
fixed,Intercept[5],0.611014852943,0.7122362575253945,-0.7836720749999998,2.0186264999999994,0.9997900194192345,8351,6816
fixed,Intercept[6],1.0270172578699062,0.7067129296003992,-0.3471596999999994,2.4228789999999996,0.9997106384274997,8324,7044
fixed,Intercept[7],1.25106158280375,0.7103252076328986,-0.13202654999999988,2.6268317499999974,0.9997002878017307,8185,6848
fixed,Intercept[8],1.612210772455125,0.7175141956327583,0.2165422250000001,3.0350379999999992,0.9997030005870771,8109,6684
fixed,Intercept[9],1.89371070423875,0.7254175131720774,0.49839377500000004,3.3375007499999993,0.9997150995542381,8095,6717
fixed,Intercept[10],2.1812340009375,0.7423423497033164,0.7431660500000001,3.665563,0.9997291072857724,8229,7112
fixed,Intercept[11],2.46929465480375,0.7550521667049872,1.0020802250000005,3.976223499999999,0.9997361207154981,8026,6840
fixed,Intercept[12],2.98084170035,0.7768512387389617,1.466152,4.561578499999999,0.9998671331033164,7995,6887
fixed,Intercept[13],3.1356059615,0.7850229952263759,1.6136535,4.735470500000001,0.9998052057021887,7960,6821
fixed,Intercept[14],3.56373207275,0.8023978623646563,2.0295187500000003,5.21360525,0.9998829371625274,7619,6802
fixed,Intercept[15],3.85834775375,0.8214000258636945,2.2880437500000004,5.53291025,0.9998743120551814,7432,6546
fixed,Intercept[16],4.6502125225,0.8793507638171415,2.9314305,6.434173499999999,0.9999891423082872,7397,6530
fixed,Intercept[17],5.03151003625,0.9199828028608639,3.2535415,6.888523,0.9998366554668159,7749,6433
fixed,Intercept[18],5.5260032775,0.9762986081020656,3.6421605000000006,7.477335499999999,0.9999368716080649,8033,6598
fixed,Intercept[19],6.2688878225,1.0997715232038492,4.204568,8.498118499999999,1.0001617782831285,8661,6772
fixed,hours_diff,-0.003856569414325,0.07600420151187141,-0.15741794999999997,0.13802594999999995,1.0003463364010412,5265,5555
fixed,loneliness_during,0.2839365747875,0.09307165648505664,0.10410510000000008,0.46879212499999995,1.0000927403773956,7989,6554
fixed,hours_diff:loneliness_during,-3.738338065578375e-4,0.00857201898368259,-0.0169528,0.016683332499999988,1.0004023716474515,5281,5921
